"Tag","Plot","Racemes","Infl_spread","Twist_ties","Note","Last_Record","Status_Jun_11"
1090,48,1,5,"wh","tt added","6/8/20",
1036,48,4,9,"wh-open","","6/8/20",
1012,48,4,13,"wh-open","old tt","6/8/20",
1121,49,2,3,"wh3","4 pres. pollen; Bombus on tt","6/5/20",
1104,49,1,2,"wh2","Bomb (red back) on Th outside plot","6/5/20",
1031,47,3,6,"wh2","trampled; new tt","6/5/20",
1029,46,2,2,"wh-open","1yv","6/5/20",
1115,46,1,3,"wh1","","6/5/20",
1087,46,3,0,"wh","2b","6/2/20",
