Sensor_ID, Unixtime_UTC, Year_UTC, Month_UTC, Day_UTC, Hour_UTC, Minute, Second, Reading_type, Reading_raw
pyran, 1625355070, 2021, 7, 3, 23, 31, 10, volt, 0.02
board, 1625355070, 2021, 7, 3, 23, 31, 10, temp, 18.50
pyran, 1625355080, 2021, 7, 3, 23, 31, 20, bits, 3
pyran, 1625355080, 2021, 7, 3, 23, 31, 20, volt, 0.02
board, 1625355080, 2021, 7, 3, 23, 31, 20, temp, 18.50
pyran, 1625355090, 2021, 7, 3, 23, 31, 30, bits, 3
pyran, 1625355090, 2021, 7, 3, 23, 31, 30, volt, 0.02
board, 1625355090, 2021, 7, 3, 23, 31, 30, temp, 18.50
pyran, 1625355100, 2021, 7, 3, 23, 31, 40, bits, 3
pyran, 1625355100, 2021, 7, 3, 23, 31, 40, volt, 0.02
board, 1625355100, 2021, 7, 3, 23, 31, 40, temp, 18.50
pyran, 1625355110, 2021, 7, 3, 23, 31, 50, bits, 4
pyran, 1625355110, 2021, 7, 3, 23, 31, 50, volt, 0.03
board, 1625355110, 2021, 7, 3, 23, 31, 50, temp, 18.75
pyran, 1625355120, 2021, 7, 3, 23, 32, 0, bits, 4
pyran, 1625355120, 2021, 7, 3, 23, 32, 0, volt, 0.03
board, 1625355120, 2021, 7, 3, 23, 32, 0, temp, 18.50
pyran, 1625355130, 2021, 7, 3, 23, 32, 10, bits, 4
pyran, 1625355130, 2021, 7, 3, 23, 32, 10, volt, 0.03
board, 1625355130, 2021, 7, 3, 23, 32, 10, temp, 18.50
pyran, 1625355140, 2021, 7, 3, 23, 32, 20, bits, 3
pyran, 1625355140, 2021, 7, 3, 23, 32, 20, volt, 0.02
board, 1625355140, 2021, 7, 3, 23, 32, 20, temp, 18.50
pyran, 1625355150, 2021, 7, 3, 23, 32, 30, bits, 3
pyran, 1625355150, 2021, 7, 3, 23, 32, 30, volt, 0.02
board, 1625355150, 2021, 7, 3, 23, 32, 30, temp, 18.50
pyran, 1625355160, 2021, 7, 3, 23, 32, 40, bits, 4
pyran, 1625355160, 2021, 7, 3, 23, 32, 40, volt, 0.03
board, 1625355160, 2021, 7, 3, 23, 32, 40, temp, 18.50
pyran, 1625355170, 2021, 7, 3, 23, 32, 50, bits, 3
pyran, 1625355170, 2021, 7, 3, 23, 32, 50, volt, 0.02
board, 1625355170, 2021, 7, 3, 23, 32, 50, temp, 18.50
pyran, 1625355180, 2021, 7, 3, 23, 33, 0, bits, 4
pyran, 1625355180, 2021, 7, 3, 23, 33, 0, volt, 0.03
board, 1625355180, 2021, 7, 3, 23, 33, 0, temp, 18.50
pyran, 1625355190, 2021, 7, 3, 23, 33, 10, bits, 4
pyran, 1625355190, 2021, 7, 3, 23, 33, 10, volt, 0.03
board, 1625355190, 2021, 7, 3, 23, 33, 10, temp, 18.50
pyran, 1625355200, 2021, 7, 3, 23, 33, 20, bits, 4
pyran, 1625355200, 2021, 7, 3, 23, 33, 20, volt, 0.03
board, 1625355200, 2021, 7, 3, 23, 33, 20, temp, 18.50
pyran, 1625355210, 2021, 7, 3, 23, 33, 30, bits, 4
pyran, 1625355210, 2021, 7, 3, 23, 33, 30, volt, 0.03
board, 1625355210, 2021, 7, 3, 23, 33, 30, temp, 18.50
pyran, 1625355220, 2021, 7, 3, 23, 33, 40, bits, 4
pyran, 1625355220, 2021, 7, 3, 23, 33, 40, volt, 0.03
board, 1625355220, 2021, 7, 3, 23, 33, 40, temp, 18.50
pyran, 1625355230, 2021, 7, 3, 23, 33, 50, bits, 5
pyran, 1625355230, 2021, 7, 3, 23, 33, 50, volt, 0.04
board, 1625355230, 2021, 7, 3, 23, 33, 50, temp, 18.50
pyran, 1625355240, 2021, 7, 3, 23, 34, 0, bits, 7
pyran, 1625355240, 2021, 7, 3, 23, 34, 0, volt, 0.05
board, 1625355240, 2021, 7, 3, 23, 34, 0, temp, 18.50
pyran, 1625355250, 2021, 7, 3, 23, 34, 10, bits, 9
pyran, 1625355250, 2021, 7, 3, 23, 34, 10, volt, 0.07
board, 1625355250, 2021, 7, 3, 23, 34, 10, temp, 18.50
pyran, 1625355260, 2021, 7, 3, 23, 34, 20, bits, 9
pyran, 1625355260, 2021, 7, 3, 23, 34, 20, volt, 0.07
board, 1625355260, 2021, 7, 3, 23, 34, 20, temp, 18.25
pyran, 1625355270, 2021, 7, 3, 23, 34, 30, bits, 10
pyran, 1625355270, 2021, 7, 3, 23, 34, 30, volt, 0.08
board, 1625355270, 2021, 7, 3, 23, 34, 30, temp, 18.50
pyran, 1625355280, 2021, 7, 3, 23, 34, 40, bits, 10
pyran, 1625355280, 2021, 7, 3, 23, 34, 40, volt, 0.08
board, 1625355280, 2021, 7, 3, 23, 34, 40, temp, 18.50
pyran, 1625355290, 2021, 7, 3, 23, 34, 50, bits, 9
pyran, 1625355290, 2021, 7, 3, 23, 34, 50, volt, 0.07
board, 1625355290, 2021, 7, 3, 23, 34, 50, temp, 18.25
pyran, 1625355300, 2021, 7, 3, 23, 35, 0, bits, 10
pyran, 1625355300, 2021, 7, 3, 23, 35, 0, volt, 0.08
board, 1625355300, 2021, 7, 3, 23, 35, 0, temp, 18.25
pyran, 1625355310, 2021, 7, 3, 23, 35, 10, bits, 11
pyran, 1625355310, 2021, 7, 3, 23, 35, 10, volt, 0.09
board, 1625355310, 2021, 7, 3, 23, 35, 10, temp, 18.25
pyran, 1625355320, 2021, 7, 3, 23, 35, 20, bits, 11
pyran, 1625355320, 2021, 7, 3, 23, 35, 20, volt, 0.09
board, 1625355320, 2021, 7, 3, 23, 35, 20, temp, 18.25
pyran, 1625355330, 2021, 7, 3, 23, 35, 30, bits, 12
pyran, 1625355330, 2021, 7, 3, 23, 35, 30, volt, 0.09
board, 1625355330, 2021, 7, 3, 23, 35, 30, temp, 18.25
pyran, 1625355340, 2021, 7, 3, 23, 35, 40, bits, 13
pyran, 1625355340, 2021, 7, 3, 23, 35, 40, volt, 0.10
board, 1625355340, 2021, 7, 3, 23, 35, 40, temp, 18.25
pyran, 1625355350, 2021, 7, 3, 23, 35, 50, bits, 14
pyran, 1625355350, 2021, 7, 3, 23, 35, 50, volt, 0.11
board, 1625355350, 2021, 7, 3, 23, 35, 50, temp, 18.25
pyran, 1625355360, 2021, 7, 3, 23, 36, 0, bits, 15
pyran, 1625355360, 2021, 7, 3, 23, 36, 0, volt, 0.12
board, 1625355360, 2021, 7, 3, 23, 36, 0, temp, 18.25
pyran, 1625355370, 2021, 7, 3, 23, 36, 10, bits, 15
pyran, 1625355370, 2021, 7, 3, 23, 36, 10, volt, 0.12
board, 1625355370, 2021, 7, 3, 23, 36, 10, temp, 18.25
pyran, 1625355380, 2021, 7, 3, 23, 36, 20, bits, 16
pyran, 1625355380, 2021, 7, 3, 23, 36, 20, volt, 0.13
board, 1625355380, 2021, 7, 3, 23, 36, 20, temp, 18.00
pyran, 1625355390, 2021, 7, 3, 23, 36, 30, bits, 17
pyran, 1625355390, 2021, 7, 3, 23, 36, 30, volt, 0.13
board, 1625355390, 2021, 7, 3, 23, 36, 30, temp, 18.25
pyran, 1625355400, 2021, 7, 3, 23, 36, 40, bits, 18
pyran, 1625355400, 2021, 7, 3, 23, 36, 40, volt, 0.14
board, 1625355400, 2021, 7, 3, 23, 36, 40, temp, 18.25
pyran, 1625355410, 2021, 7, 3, 23, 36, 50, bits, 18
pyran, 1625355410, 2021, 7, 3, 23, 36, 50, volt, 0.14
board, 1625355410, 2021, 7, 3, 23, 36, 50, temp, 18.00
pyran, 1625355420, 2021, 7, 3, 23, 37, 0, bits, 20
pyran, 1625355420, 2021, 7, 3, 23, 37, 0, volt, 0.16
board, 1625355420, 2021, 7, 3, 23, 37, 0, temp, 18.00
pyran, 1625355430, 2021, 7, 3, 23, 37, 10, bits, 21
pyran, 1625355430, 2021, 7, 3, 23, 37, 10, volt, 0.16
board, 1625355430, 2021, 7, 3, 23, 37, 10, temp, 18.00
pyran, 1625355440, 2021, 7, 3, 23, 37, 20, bits, 22
pyran, 1625355440, 2021, 7, 3, 23, 37, 20, volt, 0.17
board, 1625355440, 2021, 7, 3, 23, 37, 20, temp, 18.00
pyran, 1625355450, 2021, 7, 3, 23, 37, 30, bits, 22
pyran, 1625355450, 2021, 7, 3, 23, 37, 30, volt, 0.17
board, 1625355450, 2021, 7, 3, 23, 37, 30, temp, 18.00
pyran, 1625355460, 2021, 7, 3, 23, 37, 40, bits, 23
pyran, 1625355460, 2021, 7, 3, 23, 37, 40, volt, 0.18
