Date,Plot,Tag,N_infl,Fl_open,Fl_done,Q,Page,Notes
6/16/22,104,2019,1,1,3,,5,
6/16/22,104,2026,1,1,1,,5,yv
6/16/22,104,2049,1,0,2,,5,
6/16/22,111,2028,1,2,0,,5,
6/16/22,118,2007,1,1,2,,5,
6/16/22,118,2016,3,9,6,,5,accidentally knocked off 2 done (counted)
6/16/22,118,2024,7,18,15,,5,
6/16/22,118,2025,2,4,1,,5,
6/16/22,118,2029,1,4,0,,5,
6/16/22,118,2041,2,4,0,,5,
6/16/22,127,2001,1,1,0,,5,2yv
6/16/22,127,2027,1,2,0,,5,1 yv; weevil picture
6/16/22,152,2018,1,3,0,,5,
6/16/22,152,2030,1,1,0,,5,
6/16/22,152,2033,1,2,0,,5,
6/16/22,154,2043,0,0,0,,5,2yv
6/16/22,154,2047,0,0,0,,5,yv
6/16/22,163,2035,0,0,0,,5,
6/16/22,163,2038,0,0,0,,5,
6/16/22,164,2003,1,3,0,,5,
6/16/22,164,2020,3,6,0,,5,
6/16/22,164,2031,2,12,0,,5,
6/16/22,164,2036,1,3,0,,5,obs pol (black bee)
6/16/22,164,2039,1,2,0,,5,
6/16/22,164,2045,1,3,0,,5,
6/16/22,164,2046,,,,,5,can't find
6/16/22,164,2048,1,3,0,,5,
6/16/22,164,2050,1,1,0,,5,
6/16/22,169,2004,1,0,5,,5,
6/16/22,169,2006,3,8,2,,5,
6/16/22,169,2014,3,12,2,,6,
6/16/22,169,2021,2,6,2,,6,
6/16/22,169,2022,1,1,0,,6,
6/16/22,169,2023,,,,,6,can't find
6/16/22,169,2034,1,2,0,,6,ant
6/16/22,170,2002,2,3,0,,6,2yv
6/16/22,170,2005,1,5,0,,6,
6/16/22,170,2008,1,2,0,,6,
6/16/22,170,2011,0,0,0,,6,3yv
6/16/22,170,2012,1,3,1,,6,
6/16/22,170,2013,0,0,0,TRUE,6,
6/16/22,170,2017,2,7,2,,6,
6/16/22,170,2032,2,4,1,,6,
6/16/22,170,2037,1,1,0,,6,
6/16/22,170,2040,3,4,2,TRUE,6,
6/16/22,170,2042,0,0,0,,6,
6/16/22,170,2044,1,6,0,,6,
