Date,Plot,Tag,N_infl,Fl_open,Fl_done,Q,Page,Notes
7/4/22,104,2089,1,0,2,,22,
7/4/22,104,2091,1,0,2,,22,
7/4/22,105,2101,1,2,0,,22,
7/4/22,105,2114,1,5,0,,22,
7/4/22,105,2129,0,0,0,,22,yv
7/4/22,105,2142,1,3,0,,22,
7/4/22,105,2149,1,1,0,,22,
7/4/22,107,2118,1,2,5,,22,
7/4/22,109,2107,,,,,22,can't find
7/4/22,118,2041,2,0,11,,22,
7/4/22,123,2097,1,1,4,,22,
7/4/22,127,2001,3,3,19,,22,
7/4/22,127,2027,2,0,18,,22,knocked one off
7/4/22,130,2112,1,7,0,,22,
7/4/22,130,2140,1,2,0,,22,
7/4/22,138,2053,1,7,0,,22,
7/4/22,146,2141,1,5,0,,22,
7/4/22,146,2145,1,5,0,,22,yv
7/4/22,146,2148,0,0,0,,22,yv
7/4/22,147,2099,1,6,2,,22,
7/4/22,149,2056,2,5,6,,22,
7/4/22,149,2059,1,0,4,,22,
7/4/22,149,2061,1,0,1,,22,
7/4/22,149,2069,4,1,18,,22,
7/4/22,149,2093,1,0,2,,23,
7/4/22,149,2094,1,0,4,,23,
7/4/22,149,2111,1,1,0,,23,
7/4/22,149,2133,1,3,0,,23,
7/4/22,150,2128,1,3,0,,23,
7/4/22,151,2110,1,7,0,,23,
7/4/22,151,2121,1,1,0,,23,yv
7/4/22,152,2033,1,0,6,,23,
7/4/22,152,2051,2,1,7,,23,
7/4/22,152,2063,2,0,8,,23,
7/4/22,152,2065,2,0,10,,23,
7/4/22,152,2070,2,0,8,,23,
7/4/22,152,2072,2,0,10,,23,
7/4/22,152,2073,1,0,3,,23,unable to find second infl
7/4/22,152,2095,1,0,3,,23,
7/4/22,152,2100,1,0,2,,23,
7/4/22,152,2108,1,0,1,,23,
7/4/22,152,2119,1,0,3,,23,
7/4/22,152,2127,1,3,0,,23,
7/4/22,152,2132,1,5,0,,23,
7/4/22,153,2115,1,7,0,,23,
7/4/22,154,2043,2,1,12,,23,
7/4/22,154,2047,1,0,9,,23,
7/4/22,154,2074,1,0,3,,23,
7/4/22,154,2090,1,0,5,,23,
7/4/22,154,2102,1,0,2,,23,
7/4/22,154,2130,1,3,0,,23,one uncounted fl is dead
7/4/22,154,2134,1,1,0,,23,
7/4/22,162,2026,1,1,0,,24,yv
7/4/22,163,2009,1,0,4,,24,
7/4/22,163,2035,1,0,6,,24,
7/4/22,163,2038,1,0,7,,24,
7/4/22,163,2064,2,2,7,,24,
7/4/22,163,2075,2,0,13,,24,
7/4/22,163,2076,3,2,5,,24,
7/4/22,163,2082,2,0,8,,24,
7/4/22,163,2084,2,0,7,,24,
7/4/22,163,2087,1,1,4,,24,
7/4/22,163,2098,3,0,7,,24,
7/4/22,163,2103,1,0,1,,24,
7/4/22,163,2106,1,2,6,,24,
7/4/22,163,2117,1,0,1,,24,
7/4/22,163,2122,2,3,3,,24,broke one off
7/4/22,163,2125,1,0,3,,24,
7/4/22,163,2150,1,1,0,,24,
7/4/22,164,2003,1,0,11,,24,
7/4/22,164,2015,3,1,15,,24,
7/4/22,164,2020,3,0,21,,24,
7/4/22,164,2039,1,0,8,,24,
7/4/22,164,2045,2,0,17,,24,
7/4/22,164,2050,1,0,8,,24,
7/4/22,164,2054,3,0,15,,24,
7/4/22,164,2058,1,1,5,,24,
7/4/22,164,2071,2,1,8,,24,
7/4/22,164,2081,1,0,8,,24,
7/4/22,164,2083,3,0,21,,24,
7/4/22,164,2116,1,0,2,,24,
7/4/22,166,2104,1,1,0,,25,one fl eaten
7/4/22,166,2120,1,0,1,,25,
7/4/22,166,2144,0,0,0,,25,grazed
7/4/22,168,2088,1,1,4,,25,
7/4/22,169,2011,,,,,25,
7/4/22,169,2034,1,0,9,,25,
7/4/22,169,2086,1,0,8,,25,
7/4/22,170,2002,3,0,13,,25,
7/4/22,170,2011,1,0,5,,25,
7/4/22,170,2013,3,0,11,,25,
7/4/22,170,2037,1,0,4,,25,
7/4/22,170,2052,2,0,5,,25,
7/4/22,170,2066,1,0,5,,25,one falling off
7/4/22,170,2077,1,0,6,,25,
7/4/22,170,2085,2,0,5,TRUE,25,prev should all have 2 inflorescences
7/4/22,170,2092,1,0,1,,25,
7/4/22,170,2105,1,0,1,,25,
