Date,Plot,Tag,N_infl,Fl_open,Fl_done,Q,Page,Notes
6/27/22,104,2026,2,0,3,,13,
6/27/22,104,2055,1,0,1,,13,
6/27/22,104,2060,1,0,2,,13,
6/27/22,104,2062,1,0,4,,13,
6/27/22,104,2089,1,2,0,,13,
6/27/22,104,2091,1,1,0,,13,
6/27/22,107,2118,1,5,0,,13,
6/27/22,111,2028,1,0,3,,13,
6/27/22,118,2029,1,0,6,,13,
6/27/22,118,2041,2,3,8,,13,
6/27/22,123,2097,1,4,0,,13,
6/27/22,127,2001,3,14,6,,13,
6/27/22,127,2027,2,7,11,,13,
6/27/22,138,2053,1,1,0,,13,
6/27/22,147,2099,1,3,0,,13,
6/27/22,149,2056,1,2,4,,13,yv; florivory (anthers eaten)
6/27/22,149,2059,1,2,2,,13,
6/27/22,149,2061,1,1,0,,13,
6/27/22,149,2068,2,0,9,,13,
6/27/22,149,2069,4,7,8,,13,florivory
6/27/22,149,2093,1,1,2,,13,
6/27/22,149,2094,1,3,1,,13,
6/27/22,152,2018,1,0,8,,13,
6/27/22,152,2030,1,0,1,,13,stem kinked
6/27/22,152,2033,1,1,6,,13,
6/27/22,152,2051,2,8,0,,13,
6/27/22,152,2063,2,5,3,,13,
6/27/22,152,2065,2,9,1,,14,
6/27/22,152,2070,2,6,2,,14,
6/27/22,152,2072,2,0,6,,14,
6/27/22,152,2073,2,1,3,,14,
6/27/22,152,2095,1,3,0,,14,
6/27/22,152,2100,1,1,0,,14,
6/27/22,152,2108,1,1,0,,14,
6/27/22,152,2119,1,3,0,,14,
6/27/22,153,2115,0,0,0,,14,yv
6/27/22,154,2043,2,8,4,,14,
6/27/22,154,2047,1,5,4,,14,
6/27/22,154,2074,1,3,0,,14,
6/27/22,154,2090,1,4,2,TRUE,14,prev was mistake? 132? Fix
6/27/22,154,2102,1,1,0,,14,florivorized
6/27/22,163,2009,1,4,0,,14,
6/27/22,163,2035,1,2,4,,14,yv
6/27/22,163,2038,1,4,3,,14,
6/27/22,163,2064,1,2,5,,14,
6/27/22,163,2075,2,3,4,,14,black spider
6/27/22,163,2076,2,5,2,,14,yv
6/27/22,163,2082,2,4,2,,14,
6/27/22,163,2084,2,8,1,,14,
6/27/22,163,2087,1,3,1,,14,florivorized
6/27/22,163,2098,3,7,1,,14,
6/27/22,163,2103,1,1,0,,14,
6/27/22,163,2106,1,6,0,,14,
6/27/22,163,2117,1,1,0,,14,
6/27/22,163,2122,1,1,0,,14,yv
6/27/22,163,2125,1,2,0,,14,
6/27/22,164,2003,1,6,5,,14,
6/27/22,164,2015,3,12,0,,15,
6/27/22,164,2020,3,8,14,,15,
6/27/22,164,2031,1,0,5,,15,two stems grazed
6/27/22,164,2036,2,0,4,,15,
6/27/22,164,2039,1,2,7,,15,
6/27/22,164,2045,2,8,10,,15,
6/27/22,164,2048,,,,,15,eaten? collected
6/27/22,164,2050,1,3,5,,15,
6/27/22,164,2054,3,11,4,,15,
6/27/22,164,2058,1,4,1,,15,
6/27/22,164,2071,2,8,4,,15,
6/27/22,164,2081,1,5,3,,15,
6/27/22,164,2083,3,10,11,,15,
6/27/22,164,2116,1,3,0,,15,
6/27/22,166,2120,1,1,0,,15,
6/27/22,166,2144,1,1,0,,15,
6/27/22,169,2022,1,0,10,,15,
6/27/22,169,2034,1,2,7,,15,
6/27/22,169,2046,7,0,19,,15,
6/27/22,169,2067,1,0,3,,15,
6/27/22,169,2078,1,0,9,,15,
6/27/22,169,2080,1,0,4,,15,one fl gone (empty calyx) not counted
6/27/22,169,2086,1,8,0,,15,
6/27/22,169,2124,1,0,6,,15,
6/27/22,170,2002,3,3,11,,15,
6/27/22,170,2005,1,0,7,,15,
6/27/22,170,2008,1,0,5,,15,
6/27/22,170,2011,1,2,3,,15,
6/27/22,170,2012,1,0,8,,15,
6/27/22,170,2013,3,4,9,,15,broke one off
6/27/22,170,2017,,,,,15,can't find
6/27/22,170,2032,3,0,15,,16,
6/27/22,170,2037,1,1,3,TRUE,16,fix prev
6/27/22,170,2040,3,0,11,TRUE,16,prev? [confirmed prev on datasheet 6/29]
6/27/22,170,2042,1,0,7,,16,
6/27/22,170,2044,1,0,9,,16,
6/27/22,170,2052,2,1,4,,16,
6/27/22,170,2057,1,0,1,,16,
6/27/22,170,2066,1,1,4,,16,obs. Poll (bb)
6/27/22,170,2077,1,2,4,,16,
6/27/22,170,2079,,,,,16,uprooted and collected
6/27/22,170,2085,1,2,3,,16,
6/27/22,170,2092,1,1,1,,16,
6/27/22,170,2096,,,,,16,uprooted and collected
6/27/22,170,2105,0,0,0,,16,yv
