Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
151,,,,,,-105.54257454,40.03105774,2994.330,0.010,0.010,0.011,0.014,1.934,m,FIX,2023-05-28 13:54:42.4 UTC-06:00,2023-05-28 13:54:42.4 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,25.475,Global CS
152,,,,,,-105.54295068,40.03117203,3002.946,0.010,0.010,0.014,0.014,1.934,m,FIX,2023-05-28 13:56:34.8 UTC-06:00,2023-05-28 13:56:34.8 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,33.449,Global CS
149,,,,,tags 2057 2059,-105.54288306,40.03134843,3002.404,0.010,0.010,0.010,0.014,1.934,m,FIX,2023-05-28 13:58:11.2 UTC-06:00,2023-05-28 13:58:11.2 UTC-06:00,1,1.8,,,,-105.54259751,40.03128593,2997.870,26.166,Global CS
153,,,,,,-105.54308325,40.03128471,3005.831,0.010,0.010,0.018,0.014,1.934,m,FIX,2023-05-28 13:59:06.0 UTC-06:00,2023-05-28 13:59:06.0 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,42.644,Global CS
153S,,,,,sensor 2 cm sw,-105.54307750,40.03128793,3005.762,0.010,0.010,0.020,0.014,1.934,m,FIX,2023-05-28 13:59:48.0 UTC-06:00,2023-05-28 13:59:48.0 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,42.151,Global CS
158,,,,,,-105.54348806,40.03104438,3011.658,0.010,0.010,0.013,0.014,1.934,m,FIX,2023-05-28 14:03:41.4 UTC-06:00,2023-05-28 14:03:41.4 UTC-06:00,1,1.8,,,,-105.54259751,40.03128593,2997.870,82.162,Global CS
157,,,,,,-105.54340759,40.03094284,3011.367,0.078,0.054,0.180,0.095,1.934,m,FLOAT,2023-05-28 14:05:15.0 UTC-06:00,2023-05-28 14:05:15.0 UTC-06:00,1,1.6,,,,-105.54259751,40.03128593,2997.870,80.475,Global CS
155,,,,,,-105.54309167,40.03094518,3006.844,0.043,0.042,0.130,0.060,1.934,m,FLOAT,2023-05-28 14:07:43.2 UTC-06:00,2023-05-28 14:07:43.2 UTC-06:00,1,2.3,,,,-105.54259751,40.03128593,2997.870,57.729,Global CS
156,,,,,,-105.54321182,40.03092210,3006.437,0.010,0.010,0.023,0.014,1.934,m,FIX,2023-05-28 14:08:44.2 UTC-06:00,2023-05-28 14:08:44.2 UTC-06:00,1,1.8,,,,-105.54259751,40.03128593,2997.870,67.051,Global CS
134,,,,,,-105.54207959,40.03118845,2984.131,0.010,0.010,0.011,0.014,1.934,m,FIX,2023-05-28 14:25:13.6 UTC-06:00,2023-05-28 14:25:13.6 UTC-06:00,1,1.5,,,,-105.54259751,40.03128593,2997.870,47.039,Global CS
