Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
67,,,,,,-105.5423988,40.03081164,2991.333,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-05-23 11:39:53.2 UTC-06:00,2023-05-23 11:39:53.2 UTC-06:00,1,2,,,,-105.5420967,40.03054309,2987.568,39.848,Global CS
66,,,,,[was originally shot as 68; corrected 5/28/23],-105.5423908,40.0309275,2991.529,0.01,0.01,0.024,0.014,1.934,m,FIX,2023-05-23 11:40:48.8 UTC-06:00,2023-05-23 11:40:48.8 UTC-06:00,1,1.7,,,,-105.5420967,40.03054309,2987.568,49.892,Global CS
154,,,,,,-105.5425022,40.03094304,2994.054,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-05-23 11:42:12.2 UTC-06:00,2023-05-23 11:42:12.2 UTC-06:00,1,2.1,,,,-105.5420967,40.03054309,2987.568,56.958,Global CS
133,,,,,,-105.5421523,40.03078436,2986.511,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 11:51:44.2 UTC-06:00,2023-05-23 11:51:44.2 UTC-06:00,1,1.9,,,,-105.5420967,40.03054309,2987.568,27.234,Global CS
133S,,,,,sensor 1 cm w,-105.5421451,40.03078765,2986.478,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-05-23 11:52:16.8 UTC-06:00,2023-05-23 11:52:16.8 UTC-06:00,1,1.9,,,,-105.5420967,40.03054309,2987.568,27.493,Global CS
72,,,,,Q loc uncertain due to snow,-105.5421431,40.03081028,2986.218,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 11:54:29.0 UTC-06:00,2023-05-23 11:54:29.0 UTC-06:00,1,1.9,,,,-105.5420967,40.03054309,2987.568,29.951,Global CS
132,,,,,Q loc uncertain due to snow,-105.541733,40.03082488,2977.747,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-05-23 12:19:23.0 UTC-06:00,2023-05-23 12:19:23.0 UTC-06:00,1,1.3,,,,-105.5420967,40.03054309,2987.568,44.799,Global CS
130S,,,,,sensor 5cm north,-105.5416359,40.03077812,2974.962,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-05-23 12:21:15.6 UTC-06:00,2023-05-23 12:21:15.6 UTC-06:00,1,1.6,,,,-105.5420967,40.03054309,2987.568,48.419,Global CS
131,,,,,,-105.5417771,40.03088597,2978.73,0.01,0.01,0.019,0.014,1.934,m,FIX,2023-05-23 12:22:12.8 UTC-06:00,2023-05-23 12:22:12.8 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,47.364,Global CS
35,,,,,,-105.5415977,40.03089682,2973.453,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-05-23 12:24:35.8 UTC-06:00,2023-05-23 12:24:35.8 UTC-06:00,1,1.2,,,,-105.5420967,40.03054309,2987.568,59.23,Global CS
36,,,,,,-105.5417648,40.03108883,2978.917,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-05-23 12:29:30.4 UTC-06:00,2023-05-23 12:29:30.4 UTC-06:00,1,1.4,,,,-105.5420967,40.03054309,2987.568,67.258,Global CS
