Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
120,,,,,,-105.54105631,40.03186715,2965.627,0.010,0.010,0.013,0.014,1.934,m,FIX,2023-05-23 13:02:25.0 UTC-06:00,2023-05-23 13:02:25.0 UTC-06:00,1,1.4,,,,-105.54104029,40.03182983,2966.535,4.485,Global CS
122,,,,,,-105.54104097,40.03205224,2971.998,0.054,0.061,0.120,0.081,1.934,m,FLOAT,2023-05-23 13:04:28.4 UTC-06:00,2023-05-23 13:04:28.4 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,25.791,Global CS
44,,,,,,-105.54106614,40.03188781,2967.915,0.059,0.076,0.150,0.096,1.934,m,FLOAT,2023-05-23 13:05:45.0 UTC-06:00,2023-05-23 13:05:45.0 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,7.572,Global CS
123,,,,,,-105.54117688,40.03213696,2977.146,0.017,0.019,0.040,0.025,1.934,m,FLOAT,2023-05-23 13:08:37.6 UTC-06:00,2023-05-23 13:08:37.6 UTC-06:00,1,1.3,,,,-105.54104029,40.03182983,2966.535,38.176,Global CS
124,,,,,Q tag 2907,-105.54122357,40.03192996,2969.880,0.061,0.075,0.150,0.097,1.934,m,FLOAT,2023-05-23 13:14:44.4 UTC-06:00,2023-05-23 13:14:44.4 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,19.914,Global CS
45,,,,,,-105.54114879,40.03206547,2970.883,0.010,0.010,0.019,0.014,1.934,m,FIX,2023-05-23 13:16:02.8 UTC-06:00,2023-05-23 13:16:02.8 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,28.469,Global CS
38,,,,,Q id tag 1808 1224,-105.54153518,40.03138070,2975.406,0.010,0.010,0.016,0.014,1.934,m,FLOAT,2023-05-23 13:23:28.0 UTC-06:00,2023-05-23 13:23:28.0 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,66.273,Global CS
37,,,,,,-105.54171504,40.03131691,2973.043,0.010,0.010,0.013,0.014,1.934,m,FIX,2023-05-23 13:25:06.2 UTC-06:00,2023-05-23 13:25:06.2 UTC-06:00,1,1.3,,,,-105.54104029,40.03182983,2966.535,81.474,Global CS
40,,,,,,-105.54174347,40.03149909,2978.654,0.055,0.058,0.140,0.080,1.934,m,FLOAT,2023-05-23 13:26:39.4 UTC-06:00,2023-05-23 13:26:39.4 UTC-06:00,1,1.6,,,,-105.54104029,40.03182983,2966.535,71.785,Global CS
136,,,,,,-105.54163490,40.03159348,2976.977,0.029,0.031,0.078,0.042,1.934,m,FLOAT,2023-05-23 13:28:31.0 UTC-06:00,2023-05-23 13:28:31.0 UTC-06:00,1,1.5,,,,-105.54104029,40.03182983,2966.535,58.487,Global CS
