Label,X/Easting,Y/Northing,Z/Altitude
outerSE,453870.912,4431230.292,2967.208
outerE,453919.659,4431336.338,2954.779
innerSE,453827.56,4431315.164,2974.591
innerNE,453812.96,4431380.29,2978.752
outerNE,453829.795,4431454.49,2980.579
innerNW,453690.669,4431382.483,3009.834
outerNW,453640.734,4431413.014,3021.752
outerW,453573.872,4431360.367,3028.616
innerSW,453721.01,4431284.242,3002.542
outerSW,453694.145,4431209.505,3000.817
takeoff,453912.399,4431223.102,2958.341
p1,453852.7759,4431345.889,2968.4104
p2,453839.6569,4431352.146,2970.87915
p3,453853.8054,4431367.034,2967.186523
p4,453819.1589,4431343.349,2976.290039
p5,453827.7169,4431323.569,2974.448486
p6,453838.9127,4431335.458,2972.030762
p15,453852.5132,4431380.906,2969.401873
p16,453836.0099,4431364.153,2971.49292
p13,453842.1132,4431319.5,2972.414795
p14,453859.8179,4431330.71,2968.779297
p17,453849.4617,4431328.984,2970.675781
p74,453851.8736,4431335.854,2973.246826
p71,453835.3377,4431315.309,2973.414551
p72,453831.9239,4431301.741,2974.431152
p73,453831.646,4431293.833,2983.982178
p7,453798.0549,4431363.852,2984.474854
p75,453811.4581,4431381.382,2980.766602
p8,453809.7871,4431369.904,2980.534249
p18,453807.654,4431347.436,2980.069717
p9,453798.8932,4431374.75,2991.030257
p19,453787.3372,4431377.975,2987.852295
p20,453771.765,4431387.119,2990.921631
p76,453780.2462,4431399.991,2994.856934
p77,453777.111,4431418.258,2991.783203
p10,453776.5922,4431372.48,2989.781006
p11,453757.9966,4431376.847,2992.985352
p12,453741.6494,4431377.392,2998.144531
p21,453716.3947,4431369.651,3004.039062
p22,453704.8899,4431350.016,3006.062744
p23,453706.6128,4431360.103,3005.967041
p24,453701.7471,4431386.747,3008.739258
p78,453717.6148,4431399.099,3005.487549
p25,453683.8018,4431381.002,3013.010986
p26,453680.1755,4431364.826,3013.179199
p27,453676.8216,4431399.863,3015.147949
p28,453661.361,4431396.867,3018.258789
p29,453688.3182,4431350.716,3010.141602
p30,453694.709,4431362.408,3009.343018
p31,453703.5496,4431371.665,3007.461914
p32,453709.6726,4431314.164,3003.930908
p33,453723.2474,4431324.962,3000.68042
p34,453727.3724,4431302.883,2998.303223
p41,453745.5764,4431328.019,2995.4021
p42,453760.8811,4431311.731,2991.884033
p43,453742.2282,4431299.468,2996.005859
p44,453763.0534,4431294.726,2990.974121
p45,453765.2044,4431276.757,2987.508301
p46,453747.9289,4431280.029,2994.445557
p47,453741.9327,4431274.075,3003.144043
p48,453734.9548,4431285.151,2996.77124
p49,453714.9037,4431283.546,3001.017822
p50,453701.0022,4431291.299,3004.80957
p51,453688.588,4431284.33,3007.54541
p52,453706.3016,4431272.994,3002.486084
p53,453712.6205,4431296.715,3004.903715
p86,453748.2979,4431343.688,2995.72998
p81,453746.1165,4431368.132,2996.169678
p82,453729.8159,4431364.239,3000.355225
p87,453743.1129,4431357.752,2996.756836
p85,453731.997,4431338.263,2999.236328
p83,453737.3497,4431348.421,3005.091553
p84,453726.1493,4431352.066,3000.987035
p88,453717.0678,4431353.161,3010.626383
p68,453756.0866,4431336.272,3001.779319
p61,453799.6943,4431337.707,2989.301773
p62,453793.6341,4431337.904,2983.628167
p64,453800.3788,4431321.973,2979.657333
p65,453810.1096,4431316.478,2986.227649
p66,453791.3202,4431310.594,2991.512989
p69,453757.4048,4431354.432,2993.311454
p63,453785.6493,4431330.896,2992.046875
p67,453773.8754,4431321.845,2996.773682
