Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
96,8/6/20,Campanula rotundifolia,1,1504,,0,0,3,,one lost/gone
96,8/6/20,Campanula rotundifolia,1,1533,,0,0,4,,
96,8/6/20,Campanula rotundifolia,1,1548,,0,0,2,,
96,8/6/20,Campanula rotundifolia,1,1565,,0,0,1,,lost/grazed
96,8/6/20,Campanula rotundifolia,1,1667,,0,0,4,,
96,8/6/20,Campanula rotundifolia,1,1724,,0,0,2,,
96,8/6/20,Campanula rotundifolia,1,1837,,0,0,1,,
96,8/6/20,Campanula rotundifolia,1,1854,,0,0,1,,
96,8/6/20,Campanula rotundifolia,2,1506,,0,0,2,,
96,8/6/20,Campanula rotundifolia,2,1513,5,0,0,6,,
96,8/6/20,Campanula rotundifolia,2,1570,2,0,0,2,x,wide diameter - missd pla is 2nd stem?
96,8/6/20,Campanula rotundifolia,2,1588,,0,0,1,,
96,8/6/20,Campanula rotundifolia,2,1590,,0,0,2,,
96,8/6/20,Campanula rotundifolia,2,1669,,,,,,
96,8/6/20,Campanula rotundifolia,2,1727,,0,0,1,,
96,8/6/20,Campanula rotundifolia,3,1541,2,1,0,2,,
96,8/6/20,Campanula rotundifolia,3,1596,,0,0,1,,other stems grazed
96,8/6/20,Campanula rotundifolia,3,1607,,0,0,0,,grazed
96,8/6/20,Campanula rotundifolia,3,1690,,0,1,5,,
96,8/6/20,Campanula rotundifolia,3,1691,,0,1,5,,1 done today/yesterday
96,8/6/20,Campanula rotundifolia,3,1692,,0,0,3,,
96,8/6/20,Campanula rotundifolia,3,1693,,,,,,no plant
96,8/6/20,Campanula rotundifolia,3,1694,,0,3,1,,
96,8/6/20,Campanula rotundifolia,3,1695,,0,0,4,,
96,8/6/20,Campanula rotundifolia,3,1698,3,1,0,6,,
96,8/6/20,Campanula rotundifolia,3,1700,,,,,,no plant; collected
96,8/6/20,Campanula rotundifolia,3,1716,,0,0,1,,
96,8/6/20,Campanula rotundifolia,3,1830,2,0,1,0,,1pv
96,8/6/20,Campanula rotundifolia,5,1549,,,,,,gone
96,8/6/20,Campanula rotundifolia,5,1605,2,0,2,2,,
97,8/6/20,Campanula rotundifolia,5,1637,,,,,,no plant; grazed?
97,8/6/20,Campanula rotundifolia,5,1680,,0,0,1,,
97,8/6/20,Campanula rotundifolia,5,1684,,0,0,1,,
97,8/6/20,Campanula rotundifolia,5,1738,,0,0,0,,grazed
97,8/6/20,Campanula rotundifolia,5,1758,,0,0,1,,
97,8/6/20,Campanula rotundifolia,5,1789,,0,0,2,,
97,8/6/20,Campanula rotundifolia,5,1871,,0,0,0,,grazed
97,8/6/20,Campanula rotundifolia,6,1515,,0,0,2,,
97,8/6/20,Campanula rotundifolia,6,1526,1,0,0,6,,is 1563? Merge?
97,8/6/20,Campanula rotundifolia,6,1563,,0,1,24,,counted 7 stems (remember one was lost); 1 brown stem
97,8/6/20,Campanula rotundifolia,6,1689,,0,0,2,,
97,8/6/20,Campanula rotundifolia,8,1639,,0,0,15,x,prev. record was only 1 stem
97,8/6/20,Campanula rotundifolia,9,1613,,0,0,2,,mc was dud
97,8/6/20,Campanula rotundifolia,9,1658,,,,,,grazed
97,8/6/20,Campanula rotundifolia,9,1661,,0,0,1,,
97,8/6/20,Campanula rotundifolia,9,1783,,0,1,1,,
97,8/6/20,Campanula rotundifolia,10,1525,,0,0,1,,
97,8/6/20,Campanula rotundifolia,11,1836,,0,0,1,,pv
97,8/6/20,Campanula rotundifolia,13,1699,,0,0,2,,
97,8/6/20,Campanula rotundifolia,14,1511,,0,0,4,,
97,8/6/20,Campanula rotundifolia,17,1594,,0,0,6,,
97,8/6/20,Campanula rotundifolia,17,1681,,0,0,1,,
97,8/6/20,Campanula rotundifolia,18,1566,,,,,,found unattached outside plot; gone
97,8/6/20,Campanula rotundifolia,18,1575,,0,0,0,,grazed; is 1725; collected
97,8/6/20,Campanula rotundifolia,18,1652,,,,,,found unattached outside plot
97,8/6/20,Campanula rotundifolia,18,1655,,1,2,5,,
97,8/6/20,Campanula rotundifolia,18,1665,,0,0,1,,
97,8/6/20,Campanula rotundifolia,18,1673,,0,0,6,,pv
97,8/6/20,Campanula rotundifolia,18,1685,,0,0,2,,
97,8/6/20,Campanula rotundifolia,18,1687,,,,,,can't find
97,8/6/20,Campanula rotundifolia,18,1697,,0,1,1,,
98,8/6/20,Campanula rotundifolia,18,1703,,1,1,1,,
98,8/6/20,Campanula rotundifolia,18,1725,,0,0,2,,
98,8/6/20,Campanula rotundifolia,18,1808,,0,0,1,,
98,8/6/20,Campanula rotundifolia,19,1657,,0,0,6,,
98,8/6/20,Campanula rotundifolia,20,1772,,0,0,1,,
98,8/6/20,Campanula rotundifolia,20,1797,,0,0,1,,tag is correct
98,8/6/20,Campanula rotundifolia,21,1845,,0,2,0,,
