"plot","Month","Day","Hour","Minute","Half_min","volt","east","north"
75,10,3,10,32,1,0.266666666666667,453694.052311188,4431277.71074123
75,10,3,10,42,0,0.2,453694.052311188,4431277.71074123
75,10,3,10,48,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,49,0,0.163333333333333,453694.052311188,4431277.71074123
75,10,3,10,33,0,0.273333333333333,453694.052311188,4431277.71074123
75,10,3,10,48,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,31,1,0.3,453694.052311188,4431277.71074123
75,10,3,10,32,0,0.283333333333333,453694.052311188,4431277.71074123
75,10,3,10,49,1,0.18,453694.052311188,4431277.71074123
75,10,3,10,41,0,0.2,453694.052311188,4431277.71074123
75,10,3,10,41,1,0.2,453694.052311188,4431277.71074123
75,10,3,10,33,1,0.263333333333333,453694.052311188,4431277.71074123
75,10,3,10,40,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,42,1,0.176666666666667,453694.052311188,4431277.71074123
75,10,3,10,50,0,0.226666666666667,453694.052311188,4431277.71074123
75,10,3,10,43,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,34,0,0.253333333333333,453694.052311188,4431277.71074123
75,10,3,10,44,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,44,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,45,1,0.176666666666667,453694.052311188,4431277.71074123
75,10,3,10,46,0,0.18,453694.052311188,4431277.71074123
75,10,3,10,46,1,0.173333333333333,453694.052311188,4431277.71074123
75,10,3,10,47,0,0.166666666666667,453694.052311188,4431277.71074123
75,10,3,10,47,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,40,1,0.18,453694.052311188,4431277.71074123
75,10,3,10,59,1,4.39333333333333,453694.052311188,4431277.71074123
75,10,3,10,34,1,0.286666666666667,453694.052311188,4431277.71074123
75,10,3,10,35,0,0.27,453694.052311188,4431277.71074123
75,10,3,10,35,1,0.263333333333333,453694.052311188,4431277.71074123
75,10,3,10,43,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,30,0,0.27,453694.052311188,4431277.71074123
75,10,3,10,30,1,0.266666666666667,453694.052311188,4431277.71074123
75,10,3,10,31,0,0.286666666666667,453694.052311188,4431277.71074123
75,10,3,10,52,0,0.313333333333333,453694.052311188,4431277.71074123
75,10,3,10,52,1,0.353333333333333,453694.052311188,4431277.71074123
75,10,3,10,53,0,0.776666666666667,453694.052311188,4431277.71074123
75,10,3,10,53,1,2.05666666666667,453694.052311188,4431277.71074123
75,10,3,10,59,0,3.46,453694.052311188,4431277.71074123
75,10,3,10,36,0,0.223333333333333,453694.052311188,4431277.71074123
75,10,3,10,54,0,3.96,453694.052311188,4431277.71074123
75,10,3,10,54,1,4.71333333333333,453694.052311188,4431277.71074123
75,10,3,10,55,0,4.06,453694.052311188,4431277.71074123
75,10,3,10,38,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,36,1,0.2,453694.052311188,4431277.71074123
75,10,3,10,37,0,0.173333333333333,453694.052311188,4431277.71074123
75,10,3,10,37,1,0.163333333333333,453694.052311188,4431277.71074123
75,10,3,10,51,0,0.276666666666667,453694.052311188,4431277.71074123
75,10,3,10,38,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,39,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,39,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,58,1,1.45,453694.052311188,4431277.71074123
75,10,3,10,55,1,2.60333333333333,453694.052311188,4431277.71074123
75,10,3,10,56,0,0.363333333333333,453694.052311188,4431277.71074123
75,10,3,10,50,1,0.26,453694.052311188,4431277.71074123
75,10,3,10,56,1,0.353333333333333,453694.052311188,4431277.71074123
75,10,3,10,45,0,0.163333333333333,453694.052311188,4431277.71074123
75,10,3,10,51,1,0.266666666666667,453694.052311188,4431277.71074123
75,10,3,10,58,0,1.80333333333333,453694.052311188,4431277.71074123
75,10,3,10,57,0,1.50333333333333,453694.052311188,4431277.71074123
75,10,3,10,57,1,2.46333333333333,453694.052311188,4431277.71074123
75,10,3,10,22,0,1.45333333333333,453694.052311188,4431277.71074123
75,10,3,10,27,0,0.163333333333333,453694.052311188,4431277.71074123
75,10,3,10,27,1,0.176666666666667,453694.052311188,4431277.71074123
75,10,3,10,28,0,0.22,453694.052311188,4431277.71074123
75,10,3,10,28,1,0.27,453694.052311188,4431277.71074123
75,10,3,10,29,0,0.3,453694.052311188,4431277.71074123
75,10,3,10,26,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,26,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,20,0,0.286666666666667,453694.052311188,4431277.71074123
75,10,3,10,20,1,0.346666666666667,453694.052311188,4431277.71074123
75,10,3,10,21,0,2.38333333333333,453694.052311188,4431277.71074123
75,10,3,10,22,1,0.293333333333333,453694.052311188,4431277.71074123
75,10,3,10,23,0,0.216666666666667,453694.052311188,4431277.71074123
75,10,3,10,25,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,25,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,12,0,0.156666666666667,453694.052311188,4431277.71074123
75,10,3,10,24,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,6,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,6,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,7,0,0.153333333333333,453694.052311188,4431277.71074123
75,10,3,10,12,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,8,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,23,1,0.166666666666667,453694.052311188,4431277.71074123
75,10,3,10,24,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,7,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,10,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,11,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,11,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,18,1,0.236666666666667,453694.052311188,4431277.71074123
75,10,3,10,19,0,0.253333333333333,453694.052311188,4431277.71074123
75,10,3,10,19,1,0.27,453694.052311188,4431277.71074123
75,10,3,10,13,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,0,0,0.153333333333333,453694.052311188,4431277.71074123
75,10,3,10,0,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,21,1,3.16666666666667,453694.052311188,4431277.71074123
75,10,3,10,1,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,2,0,0.15,453694.052311188,4431277.71074123
75,10,3,10,2,1,0.15,453694.052311188,4431277.71074123
75,10,3,10,3,0,0.153333333333333,453694.052311188,4431277.71074123
75,10,3,10,3,1,0.156666666666667,453694.052311188,4431277.71074123
75,10,3,10,4,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,4,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,5,0,0.16,453694.052311188,4431277.71074123
75,10,3,10,5,1,0.16,453694.052311188,4431277.71074123
75,10,3,10,15,0,0.156666666666667,453694.052311188,4431277.71074123
75,10,3,10,13,1,0.156666666666667,453694.052311188,4431277.71074123
75,10,3,10,14,0,0.156666666666667,453694.052311188,4431277.71074123
75,10,3,10,14,1,0.15,453694.052311188,4431277.71074123
75,10,3,10,10,0,0.163333333333333,453694.052311188,4431277.71074123
75,10,3,10,29,1,0.29,453694.052311188,4431277.71074123
75,10,3,10,9,0,0.163333333333333,453694.052311188,4431277.71074123
