"plot","Month","Day","Hour","Minute","Half_min","volt","east","north"
77,10,3,10,40,1,0.263333333333333,453667.437828354,4431303.65060665
77,10,3,10,47,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,49,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,49,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,32,0,0.296666666666667,453667.437828354,4431303.65060665
77,10,3,10,48,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,48,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,39,1,0.26,453667.437828354,4431303.65060665
77,10,3,10,33,1,0.293333333333333,453667.437828354,4431303.65060665
77,10,3,10,32,1,0.276666666666667,453667.437828354,4431303.65060665
77,10,3,10,40,0,0.26,453667.437828354,4431303.65060665
77,10,3,10,31,0,0.333333333333333,453667.437828354,4431303.65060665
77,10,3,10,31,1,0.33,453667.437828354,4431303.65060665
77,10,3,10,41,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,30,1,0.336666666666667,453667.437828354,4431303.65060665
77,10,3,10,46,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,46,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,38,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,47,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,34,1,0.256666666666667,453667.437828354,4431303.65060665
77,10,3,10,35,0,0.256666666666667,453667.437828354,4431303.65060665
77,10,3,10,59,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,34,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,30,0,0.316666666666667,453667.437828354,4431303.65060665
77,10,3,10,51,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,38,0,0.263333333333333,453667.437828354,4431303.65060665
77,10,3,10,52,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,53,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,53,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,33,0,0.29,453667.437828354,4431303.65060665
77,10,3,10,35,1,0.26,453667.437828354,4431303.65060665
77,10,3,10,54,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,54,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,55,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,52,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,36,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,36,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,37,0,0.26,453667.437828354,4431303.65060665
77,10,3,10,39,0,0.266666666666667,453667.437828354,4431303.65060665
77,10,3,10,58,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,58,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,59,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,43,0,0.26,453667.437828354,4431303.65060665
77,10,3,10,41,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,42,0,0.27,453667.437828354,4431303.65060665
77,10,3,10,42,1,0.263333333333333,453667.437828354,4431303.65060665
77,10,3,10,45,1,0.27,453667.437828354,4431303.65060665
77,10,3,10,43,1,0.263333333333333,453667.437828354,4431303.65060665
