"Month","Day","Hour","Minute","Half_min","fn","volt"
8,16,17,33,0,"plot57",0.14
8,16,17,33,1,"plot57",0.136666666666667
8,16,17,34,0,"plot57",0.133333333333333
8,16,17,34,1,"plot57",0.133333333333333
8,16,17,35,0,"plot57",0.13
8,16,17,35,1,"plot57",0.13
8,16,17,36,0,"plot57",0.13
8,16,17,36,1,"plot57",0.13
8,16,17,37,0,"plot57",0.13
8,16,17,37,1,"plot57",0.13
8,16,17,38,0,"plot57",0.13
8,16,17,38,1,"plot57",0.13
8,16,17,39,0,"plot57",0.13
8,16,17,39,1,"plot57",0.13
8,16,17,40,0,"plot57",0.13
8,16,17,41,0,"plot57",0.13
8,16,17,41,1,"plot57",0.13
8,16,17,42,0,"plot57",0.13
8,16,17,42,1,"plot57",0.13
8,16,17,43,0,"plot57",0.13
8,16,17,43,1,"plot57",0.13
8,16,17,44,0,"plot57",0.13
8,16,17,44,1,"plot57",0.13
8,16,17,45,0,"plot57",0.13
8,16,17,45,1,"plot57",0.13
8,16,17,46,0,"plot57",0.13
8,16,17,46,1,"plot57",0.126666666666667
8,16,17,47,0,"plot57",0.126666666666667
8,16,17,47,1,"plot57",0.123333333333333
8,16,17,48,0,"plot57",0.123333333333333
8,16,17,48,1,"plot57",0.12
8,16,17,49,0,"plot57",0.12
8,16,17,49,1,"plot57",0.12
8,16,17,50,0,"plot57",0.12
8,16,17,50,1,"plot57",0.12
8,16,17,51,0,"plot57",0.12
8,16,17,51,1,"plot57",0.12
8,16,17,52,0,"plot57",0.12
8,16,17,52,1,"plot57",0.12
8,16,17,53,0,"plot57",0.12
8,16,17,54,1,"plot57",0.11
8,16,17,55,0,"plot57",0.11
8,16,17,55,1,"plot57",0.11
8,16,17,56,0,"plot57",0.11
8,16,17,56,1,"plot57",0.11
8,16,17,57,0,"plot57",0.11
8,16,17,57,1,"plot57",0.11
8,16,17,58,0,"plot57",0.11
8,16,17,58,1,"plot57",0.11
8,16,17,59,0,"plot57",0.11
8,16,17,59,1,"plot57",0.11
8,17,8,0,0,"plot57",2.80333333333333
8,17,8,0,1,"plot57",3.07333333333333
8,17,8,1,0,"plot57",1.60666666666667
8,17,8,1,1,"plot57",0.356666666666667
8,17,8,2,0,"plot57",1.43333333333333
8,17,8,2,1,"plot57",3.31666666666667
8,17,8,3,0,"plot57",4.28333333333333
8,17,8,3,1,"plot57",3.87666666666667
8,17,8,4,0,"plot57",2.52
8,17,8,5,0,"plot57",4.375
8,17,8,5,1,"plot57",6.34
8,17,8,6,0,"plot57",7.4
8,17,8,6,1,"plot57",6.71333333333333
8,17,8,7,0,"plot57",4.95666666666667
8,17,8,7,1,"plot57",2.57
8,17,8,8,0,"plot57",0.366666666666667
8,17,8,8,1,"plot57",0.323333333333333
8,17,8,9,0,"plot57",0.336666666666667
8,17,8,9,1,"plot57",0.34
8,17,8,10,0,"plot57",0.333333333333333
8,17,8,10,1,"plot57",0.313333333333333
8,17,8,11,0,"plot57",0.26
8,17,8,11,1,"plot57",0.253333333333333
8,17,8,12,0,"plot57",0.266666666666667
8,17,8,12,1,"plot57",0.273333333333333
8,17,8,13,0,"plot57",0.293333333333333
8,17,8,13,1,"plot57",0.326666666666667
8,17,8,14,0,"plot57",0.343333333333333
8,17,8,14,1,"plot57",0.33
8,17,8,15,0,"plot57",0.313333333333333
8,17,8,15,1,"plot57",0.45
8,17,8,16,0,"plot57",2.12666666666667
8,17,8,16,1,"plot57",2.56
8,17,8,17,0,"plot57",2.24
8,17,8,18,0,"plot57",0.265
8,17,8,18,1,"plot57",0.273333333333333
8,17,8,19,0,"plot57",0.323333333333333
8,17,8,19,1,"plot57",0.34
8,17,8,20,0,"plot57",0.326666666666667
8,17,8,20,1,"plot57",0.29
8,17,8,21,0,"plot57",0.243333333333333
8,17,8,21,1,"plot57",0.213333333333333
8,17,8,22,0,"plot57",0.216666666666667
8,17,8,22,1,"plot57",0.226666666666667
8,17,8,23,0,"plot57",0.23
8,17,8,23,1,"plot57",0.23
8,17,8,24,0,"plot57",0.23
8,17,8,24,1,"plot57",0.226666666666667
8,17,8,25,0,"plot57",0.223333333333333
8,17,8,25,1,"plot57",0.23
8,17,8,26,0,"plot57",0.23
8,17,8,26,1,"plot57",0.23
8,17,8,27,0,"plot57",0.23
8,17,8,27,1,"plot57",0.23
8,17,8,28,0,"plot57",0.23
8,17,8,28,1,"plot57",0.23
8,17,8,29,0,"plot57",0.23
8,17,8,29,1,"plot57",0.23
8,17,8,30,0,"plot57",0.23
8,17,8,31,0,"plot57",0.23
8,17,8,31,1,"plot57",0.23
8,17,8,32,0,"plot57",0.23
8,17,8,32,1,"plot57",0.23
8,17,8,33,0,"plot57",0.23
8,17,8,33,1,"plot57",0.236666666666667
8,17,8,34,0,"plot57",0.24
8,17,8,34,1,"plot57",0.24
8,17,8,35,0,"plot57",0.24
8,17,8,35,1,"plot57",0.24
8,17,8,36,0,"plot57",0.24
8,17,8,36,1,"plot57",0.24
8,17,8,37,0,"plot57",0.24
8,17,8,37,1,"plot57",0.25
8,17,8,38,0,"plot57",0.25
8,17,8,38,1,"plot57",0.256666666666667
8,17,8,39,0,"plot57",0.256666666666667
8,17,8,39,1,"plot57",0.26
8,17,8,40,0,"plot57",0.26
8,17,8,40,1,"plot57",0.26
8,17,8,41,0,"plot57",0.26
8,17,8,41,1,"plot57",0.27
8,17,8,42,0,"plot57",0.27
8,17,8,42,1,"plot57",0.27
8,17,8,43,0,"plot57",0.27
8,17,8,44,0,"plot57",0.26
8,17,8,44,1,"plot57",0.26
8,17,8,45,0,"plot57",0.26
8,17,8,45,1,"plot57",0.26
8,17,8,46,0,"plot57",0.26
8,17,8,46,1,"plot57",0.26
8,17,8,47,0,"plot57",0.263333333333333
8,17,8,47,1,"plot57",0.266666666666667
8,17,8,48,0,"plot57",0.256666666666667
8,17,8,48,1,"plot57",0.263333333333333
8,17,8,49,0,"plot57",0.266666666666667
8,17,8,49,1,"plot57",0.266666666666667
8,17,8,50,0,"plot57",0.27
8,17,8,50,1,"plot57",0.27
8,17,8,51,0,"plot57",0.27
8,17,8,51,1,"plot57",0.27
8,17,8,52,0,"plot57",0.27
8,17,8,52,1,"plot57",0.27
8,17,8,53,0,"plot57",0.27
8,17,8,53,1,"plot57",0.27
8,17,8,54,0,"plot57",0.27
8,17,8,54,1,"plot57",0.27
8,17,8,55,0,"plot57",0.27
8,17,8,55,1,"plot57",0.27
8,17,8,56,0,"plot57",0.27
8,17,8,57,0,"plot57",0.27
8,17,8,57,1,"plot57",0.27
8,17,8,58,0,"plot57",0.276666666666667
8,17,8,58,1,"plot57",0.28
8,17,8,59,0,"plot57",0.28
8,17,8,59,1,"plot57",0.28
8,17,9,0,0,"plot57",0.28
8,17,9,0,1,"plot57",0.28
8,17,9,1,0,"plot57",0.28
8,17,9,1,1,"plot57",0.283333333333333
8,17,9,2,0,"plot57",0.283333333333333
8,17,9,2,1,"plot57",0.286666666666667
8,17,9,3,0,"plot57",0.29
8,17,9,3,1,"plot57",0.29
8,17,9,4,0,"plot57",0.29
8,17,9,4,1,"plot57",0.29
8,17,9,5,0,"plot57",0.29
8,17,9,5,1,"plot57",0.29
8,17,9,6,0,"plot57",0.3
8,17,9,6,1,"plot57",0.3
8,17,9,7,0,"plot57",0.3
8,17,9,7,1,"plot57",0.3
8,17,9,8,0,"plot57",0.3
8,17,9,8,1,"plot57",0.3
8,17,9,9,0,"plot57",0.3
8,17,9,10,0,"plot57",0.3
8,17,9,10,1,"plot57",0.3
8,17,9,11,0,"plot57",0.3
8,17,9,11,1,"plot57",0.3
8,17,9,12,0,"plot57",0.303333333333333
8,17,9,12,1,"plot57",0.3
8,17,9,13,0,"plot57",0.306666666666667
8,17,9,13,1,"plot57",0.303333333333333
8,17,9,14,0,"plot57",0.31
8,17,9,14,1,"plot57",0.31
8,17,9,15,0,"plot57",0.31
8,17,9,15,1,"plot57",0.31
8,17,9,16,0,"plot57",0.31
8,17,9,16,1,"plot57",0.31
8,17,9,17,0,"plot57",0.32
8,17,9,17,1,"plot57",0.32
8,17,9,18,0,"plot57",0.32
8,17,9,18,1,"plot57",0.313333333333333
8,17,9,19,0,"plot57",0.313333333333333
8,17,9,19,1,"plot57",0.323333333333333
8,17,9,20,0,"plot57",0.33
8,17,9,20,1,"plot57",0.33
8,17,9,21,0,"plot57",0.33
8,17,9,21,1,"plot57",0.33
8,17,9,22,0,"plot57",0.33
8,17,9,23,0,"plot57",0.34
8,17,9,23,1,"plot57",0.34
8,17,9,24,0,"plot57",0.333333333333333
8,17,9,24,1,"plot57",0.333333333333333
8,17,9,25,0,"plot57",0.34
8,17,9,25,1,"plot57",0.34
8,17,9,26,0,"plot57",0.34
8,17,9,26,1,"plot57",0.34
8,17,9,27,0,"plot57",0.34
8,17,9,27,1,"plot57",0.343333333333333
8,17,9,28,0,"plot57",0.353333333333333
8,17,9,28,1,"plot57",0.36
8,17,9,29,0,"plot57",0.363333333333333
8,17,9,29,1,"plot57",0.38
8,17,9,30,0,"plot57",0.486666666666667
8,17,9,30,1,"plot57",0.383333333333333
8,17,9,31,0,"plot57",0.473333333333333
8,17,9,31,1,"plot57",0.36
8,17,9,32,0,"plot57",0.36
8,17,9,32,1,"plot57",0.36
8,17,9,33,0,"plot57",0.376666666666667
8,17,9,33,1,"plot57",1.98
8,17,9,34,0,"plot57",3.64333333333333
