"Month","Day","Hour","Half_hour","Minute","fn","volt"
10,3,10,0,36,"plot25",10.43
10,3,10,0,44,"plot25",0.3
10,3,10,0,45,"plot25",0.3
10,3,10,0,46,"plot25",3.48333333333333
10,3,10,0,48,"plot25",13.2333333333333
10,3,10,0,49,"plot25",9.17166666666667
10,3,10,0,37,"plot25",19.6416666666667
10,3,10,0,47,"plot25",9.72833333333333
10,3,10,0,39,"plot25",6.185
10,3,10,0,40,"plot25",1.65666666666667
10,3,10,0,41,"plot25",0.31
10,3,10,0,42,"plot25",0.295
10,3,10,0,43,"plot25",0.286666666666667
10,3,10,0,30,"plot25",12.73
10,3,10,0,31,"plot25",18.1216666666667
10,3,10,0,32,"plot25",26.11
10,3,10,0,33,"plot25",27.4466666666667
10,3,10,0,34,"plot25",17.565
10,3,10,0,35,"plot25",7.035
10,3,10,0,53,"plot25",0.3
10,3,10,0,50,"plot25",3.31166666666667
10,3,10,0,38,"plot25",15.6966666666667
10,3,10,0,52,"plot25",0.301666666666667
10,3,10,0,57,"plot25",0.3
10,3,10,0,54,"plot25",0.3
10,3,10,0,55,"plot25",0.305
10,3,10,0,56,"plot25",0.305
10,3,10,0,58,"plot25",0.3
10,3,10,0,59,"plot25",0.3
10,3,10,0,51,"plot25",0.318333333333333
10,3,10,30,1,"plot25",0.288333333333333
10,3,10,30,2,"plot25",0.29
10,3,10,30,3,"plot25",0.29
10,3,10,30,0,"plot25",0.288333333333333
10,3,10,30,5,"plot25",0.305
10,3,10,30,6,"plot25",0.321666666666667
10,3,10,30,7,"plot25",0.303333333333333
10,3,10,30,4,"plot25",0.296666666666667
10,3,10,30,9,"plot25",0.303333333333333
10,3,10,30,22,"plot25",27.12
10,3,10,30,10,"plot25",0.335
10,3,10,30,8,"plot25",0.298333333333333
10,3,10,30,12,"plot25",0.32
10,3,10,30,13,"plot25",0.308333333333333
10,3,10,30,14,"plot25",0.3
10,3,10,30,15,"plot25",0.3
10,3,10,30,16,"plot25",0.3
10,3,10,30,17,"plot25",0.773333333333333
10,3,10,30,18,"plot25",6.175
