"plot","Month","Day","Hour","Minute","Half_min","volt","east","north"
63,10,3,10,46,0,23.1,453642.152058452,4431348.61824676
63,10,3,10,44,1,26.85,453642.152058452,4431348.61824676
63,10,3,10,31,1,28.8466666666667,453642.152058452,4431348.61824676
63,10,3,10,32,0,28.8266666666667,453642.152058452,4431348.61824676
63,10,3,10,45,0,27.4566666666667,453642.152058452,4431348.61824676
63,10,3,10,45,1,25.1,453642.152058452,4431348.61824676
63,10,3,10,31,0,28.85,453642.152058452,4431348.61824676
63,10,3,10,38,1,29.4866666666667,453642.152058452,4431348.61824676
63,10,3,10,39,0,29.6533333333333,453642.152058452,4431348.61824676
63,10,3,10,32,1,28.89,453642.152058452,4431348.61824676
63,10,3,10,42,1,25.7333333333333,453642.152058452,4431348.61824676
63,10,3,10,49,1,21.4466666666667,453642.152058452,4431348.61824676
63,10,3,10,41,1,29.34,453642.152058452,4431348.61824676
63,10,3,10,43,1,24.6166666666667,453642.152058452,4431348.61824676
63,10,3,10,44,0,25.07,453642.152058452,4431348.61824676
63,10,3,10,38,0,29.62,453642.152058452,4431348.61824676
63,10,3,10,51,1,13.9533333333333,453642.152058452,4431348.61824676
63,10,3,10,52,0,11.26,453642.152058452,4431348.61824676
63,10,3,10,39,1,29.71,453642.152058452,4431348.61824676
63,10,3,10,40,0,29.59,453642.152058452,4431348.61824676
63,10,3,10,40,1,29.7466666666667,453642.152058452,4431348.61824676
63,10,3,10,41,0,29.9533333333333,453642.152058452,4431348.61824676
63,10,3,10,42,0,27.52,453642.152058452,4431348.61824676
63,10,3,10,49,0,25.0533333333333,453642.152058452,4431348.61824676
63,10,3,10,48,1,22.27,453642.152058452,4431348.61824676
63,10,3,10,43,0,24.3533333333333,453642.152058452,4431348.61824676
63,10,3,10,50,0,23.38,453642.152058452,4431348.61824676
63,10,3,10,50,1,16.6733333333333,453642.152058452,4431348.61824676
63,10,3,10,51,0,15.0566666666667,453642.152058452,4431348.61824676
63,10,3,10,37,1,29.6833333333333,453642.152058452,4431348.61824676
63,10,3,10,57,1,31.8066666666667,453642.152058452,4431348.61824676
63,10,3,10,52,1,8.30666666666667,453642.152058452,4431348.61824676
63,10,3,10,53,0,8.22666666666667,453642.152058452,4431348.61824676
63,10,3,10,46,1,22.13,453642.152058452,4431348.61824676
63,10,3,10,47,0,23.04,453642.152058452,4431348.61824676
63,10,3,10,47,1,23.2,453642.152058452,4431348.61824676
63,10,3,10,48,0,20.46,453642.152058452,4431348.61824676
63,10,3,10,34,1,28.9066666666667,453642.152058452,4431348.61824676
63,10,3,10,35,0,29.1066666666667,453642.152058452,4431348.61824676
63,10,3,10,36,0,29.38,453642.152058452,4431348.61824676
63,10,3,10,36,1,29.28,453642.152058452,4431348.61824676
63,10,3,10,37,0,29.44,453642.152058452,4431348.61824676
63,10,3,10,30,0,28.61,453642.152058452,4431348.61824676
63,10,3,10,30,1,28.6566666666667,453642.152058452,4431348.61824676
63,10,3,10,59,1,31.8866666666667,453642.152058452,4431348.61824676
63,10,3,10,58,0,31.78,453642.152058452,4431348.61824676
63,10,3,10,33,0,28.8766666666667,453642.152058452,4431348.61824676
63,10,3,10,33,1,28.9733333333333,453642.152058452,4431348.61824676
63,10,3,10,35,1,29.2066666666667,453642.152058452,4431348.61824676
63,10,3,10,34,0,28.9,453642.152058452,4431348.61824676
63,10,3,10,56,0,26.6566666666667,453642.152058452,4431348.61824676
63,10,3,10,54,0,22.8333333333333,453642.152058452,4431348.61824676
63,10,3,10,57,0,31.4733333333333,453642.152058452,4431348.61824676
63,10,3,10,55,1,25.0966666666667,453642.152058452,4431348.61824676
63,10,3,10,55,0,25.1966666666667,453642.152058452,4431348.61824676
63,10,3,10,56,1,28.7366666666667,453642.152058452,4431348.61824676
63,10,3,10,59,0,31.8633333333333,453642.152058452,4431348.61824676
63,10,3,10,53,1,13.39,453642.152058452,4431348.61824676
63,10,3,10,58,1,31.7666666666667,453642.152058452,4431348.61824676
63,10,3,10,54,1,27.43,453642.152058452,4431348.61824676
63,10,3,10,22,1,9.64666666666667,453642.152058452,4431348.61824676
63,10,3,10,24,1,22.76,453642.152058452,4431348.61824676
63,10,3,10,21,0,10.3833333333333,453642.152058452,4431348.61824676
63,10,3,10,21,1,10.5266666666667,453642.152058452,4431348.61824676
63,10,3,10,4,0,25.4566666666667,453642.152058452,4431348.61824676
63,10,3,10,26,0,28.2666666666667,453642.152058452,4431348.61824676
63,10,3,10,24,0,16.9633333333333,453642.152058452,4431348.61824676
63,10,3,10,25,0,26.6833333333333,453642.152058452,4431348.61824676
63,10,3,10,25,1,27.96,453642.152058452,4431348.61824676
63,10,3,10,22,0,9.91666666666667,453642.152058452,4431348.61824676
63,10,3,10,10,1,19.7766666666667,453642.152058452,4431348.61824676
63,10,3,10,4,1,25.46,453642.152058452,4431348.61824676
63,10,3,10,26,1,28.32,453642.152058452,4431348.61824676
63,10,3,10,10,0,19.9566666666667,453642.152058452,4431348.61824676
63,10,3,10,20,1,11.86,453642.152058452,4431348.61824676
63,10,3,10,0,0,25.0433333333333,453642.152058452,4431348.61824676
63,10,3,10,29,0,28.5533333333333,453642.152058452,4431348.61824676
63,10,3,10,23,0,9.66333333333333,453642.152058452,4431348.61824676
63,10,3,10,23,1,12.84,453642.152058452,4431348.61824676
63,10,3,10,2,0,25.28,453642.152058452,4431348.61824676
63,10,3,10,3,0,25.2666666666667,453642.152058452,4431348.61824676
63,10,3,10,3,1,25.34,453642.152058452,4431348.61824676
63,10,3,10,17,0,20.1666666666667,453642.152058452,4431348.61824676
63,10,3,10,17,1,16.56,453642.152058452,4431348.61824676
63,10,3,10,11,0,21.4433333333333,453642.152058452,4431348.61824676
63,10,3,10,11,1,20.6466666666667,453642.152058452,4431348.61824676
63,10,3,10,27,0,28.38,453642.152058452,4431348.61824676
63,10,3,10,27,1,28.29,453642.152058452,4431348.61824676
63,10,3,10,28,0,28.3833333333333,453642.152058452,4431348.61824676
63,10,3,10,0,1,25.17,453642.152058452,4431348.61824676
63,10,3,10,1,0,25.23,453642.152058452,4431348.61824676
63,10,3,10,1,1,25.2533333333333,453642.152058452,4431348.61824676
63,10,3,10,29,1,28.5166666666667,453642.152058452,4431348.61824676
63,10,3,10,2,1,25.2866666666667,453642.152058452,4431348.61824676
63,10,3,10,9,0,24.26,453642.152058452,4431348.61824676
63,10,3,10,9,1,20.9766666666667,453642.152058452,4431348.61824676
63,10,3,10,19,1,13.0333333333333,453642.152058452,4431348.61824676
63,10,3,10,18,0,11.3633333333333,453642.152058452,4431348.61824676
63,10,3,10,18,1,8.97333333333333,453642.152058452,4431348.61824676
63,10,3,10,19,0,11.0533333333333,453642.152058452,4431348.61824676
63,10,3,10,8,0,26.0233333333333,453642.152058452,4431348.61824676
63,10,3,10,20,0,14.4033333333333,453642.152058452,4431348.61824676
63,10,3,10,28,1,28.5066666666667,453642.152058452,4431348.61824676
63,10,3,10,7,1,25.8966666666667,453642.152058452,4431348.61824676
63,10,3,10,16,1,19.5,453642.152058452,4431348.61824676
63,10,3,10,15,0,13.55,453642.152058452,4431348.61824676
63,10,3,10,8,1,25.8766666666667,453642.152058452,4431348.61824676
63,10,3,10,16,0,16.28,453642.152058452,4431348.61824676
63,10,3,10,5,0,25.47,453642.152058452,4431348.61824676
63,10,3,10,5,1,25.57,453642.152058452,4431348.61824676
63,10,3,10,6,0,25.5866666666667,453642.152058452,4431348.61824676
63,10,3,10,6,1,25.7366666666667,453642.152058452,4431348.61824676
63,10,3,10,7,0,25.7133333333333,453642.152058452,4431348.61824676
63,10,3,10,13,1,21.2033333333333,453642.152058452,4431348.61824676
63,10,3,10,14,0,21.2733333333333,453642.152058452,4431348.61824676
63,10,3,10,15,1,13.9,453642.152058452,4431348.61824676
63,10,3,10,14,1,18.2566666666667,453642.152058452,4431348.61824676
63,10,3,10,13,0,20.6533333333333,453642.152058452,4431348.61824676
63,10,3,10,12,0,21.0533333333333,453642.152058452,4431348.61824676
63,10,3,10,12,1,20.9566666666667,453642.152058452,4431348.61824676
63,10,3,11,23,0,30.77,453642.152058452,4431348.61824676
63,10,3,11,5,0,15.28,453642.152058452,4431348.61824676
63,10,3,11,26,1,34.2466666666667,453642.152058452,4431348.61824676
63,10,3,11,22,0,24.4566666666667,453642.152058452,4431348.61824676
63,10,3,11,22,1,27.03,453642.152058452,4431348.61824676
63,10,3,11,18,1,14.26,453642.152058452,4431348.61824676
63,10,3,11,21,1,8.08666666666667,453642.152058452,4431348.61824676
