"plot","Month","Day","Hour","Minute","Half_min","volt","east","north"
70,10,3,10,46,0,29.82,453753.697674169,4431276.62277253
70,10,3,10,45,1,29.86,453753.697674169,4431276.62277253
70,10,3,10,44,1,29.67,453753.697674169,4431276.62277253
70,10,3,10,45,0,29.7333333333333,453753.697674169,4431276.62277253
70,10,3,10,44,0,29.6433333333333,453753.697674169,4431276.62277253
70,10,3,10,31,1,28.4,453753.697674169,4431276.62277253
70,10,3,10,32,0,28.5233333333333,453753.697674169,4431276.62277253
70,10,3,10,39,0,29.2133333333333,453753.697674169,4431276.62277253
70,10,3,10,32,1,28.35,453753.697674169,4431276.62277253
70,10,3,10,31,0,28.2533333333333,453753.697674169,4431276.62277253
70,10,3,10,38,1,29.1166666666667,453753.697674169,4431276.62277253
70,10,3,10,41,1,29.3366666666667,453753.697674169,4431276.62277253
70,10,3,10,43,1,29.5133333333333,453753.697674169,4431276.62277253
70,10,3,10,30,1,28.1933333333333,453753.697674169,4431276.62277253
70,10,3,10,38,0,29.0866666666667,453753.697674169,4431276.62277253
70,10,3,10,51,1,30.55,453753.697674169,4431276.62277253
70,10,3,10,52,0,30.7,453753.697674169,4431276.62277253
70,10,3,10,39,1,29.22,453753.697674169,4431276.62277253
70,10,3,10,40,0,29.2733333333333,453753.697674169,4431276.62277253
70,10,3,10,40,1,29.12,453753.697674169,4431276.62277253
70,10,3,10,41,0,29.23,453753.697674169,4431276.62277253
70,10,3,10,42,0,29.44,453753.697674169,4431276.62277253
70,10,3,10,49,0,30.17,453753.697674169,4431276.62277253
70,10,3,10,42,1,29.56,453753.697674169,4431276.62277253
70,10,3,10,43,0,29.4133333333333,453753.697674169,4431276.62277253
70,10,3,10,50,0,30.36,453753.697674169,4431276.62277253
70,10,3,10,50,1,30.46,453753.697674169,4431276.62277253
70,10,3,10,51,0,30.36,453753.697674169,4431276.62277253
70,10,3,10,37,1,28.9533333333333,453753.697674169,4431276.62277253
70,10,3,10,57,1,31.0866666666667,453753.697674169,4431276.62277253
70,10,3,10,52,1,30.6733333333333,453753.697674169,4431276.62277253
70,10,3,10,53,0,30.7133333333333,453753.697674169,4431276.62277253
70,10,3,10,46,1,29.77,453753.697674169,4431276.62277253
70,10,3,10,47,0,29.8766666666667,453753.697674169,4431276.62277253
70,10,3,10,47,1,30,453753.697674169,4431276.62277253
70,10,3,10,48,0,30.2033333333333,453753.697674169,4431276.62277253
70,10,3,10,48,1,30.2,453753.697674169,4431276.62277253
70,10,3,10,49,1,30.27,453753.697674169,4431276.62277253
70,10,3,10,36,0,28.48,453753.697674169,4431276.62277253
70,10,3,10,36,1,28.5066666666667,453753.697674169,4431276.62277253
70,10,3,10,37,0,28.78,453753.697674169,4431276.62277253
70,10,3,10,30,0,28.0833333333333,453753.697674169,4431276.62277253
70,10,3,10,57,0,31.02,453753.697674169,4431276.62277253
70,10,3,10,59,1,31.45,453753.697674169,4431276.62277253
70,10,3,10,58,0,30.78,453753.697674169,4431276.62277253
70,10,3,10,33,0,28.52,453753.697674169,4431276.62277253
70,10,3,10,33,1,28.66,453753.697674169,4431276.62277253
70,10,3,10,35,1,28.4966666666667,453753.697674169,4431276.62277253
70,10,3,10,34,0,28.8266666666667,453753.697674169,4431276.62277253
70,10,3,10,34,1,28.83,453753.697674169,4431276.62277253
70,10,3,10,35,0,28.7066666666667,453753.697674169,4431276.62277253
70,10,3,10,59,0,31.1933333333333,453753.697674169,4431276.62277253
70,10,3,10,55,1,30.6433333333333,453753.697674169,4431276.62277253
70,10,3,10,56,0,30.67,453753.697674169,4431276.62277253
70,10,3,10,56,1,30.7633333333333,453753.697674169,4431276.62277253
70,10,3,10,54,0,30.7866666666667,453753.697674169,4431276.62277253
70,10,3,10,53,1,30.7533333333333,453753.697674169,4431276.62277253
70,10,3,10,55,0,30.6333333333333,453753.697674169,4431276.62277253
70,10,3,10,58,1,31.03,453753.697674169,4431276.62277253
70,10,3,10,54,1,30.6866666666667,453753.697674169,4431276.62277253
70,10,3,10,24,1,27.1533333333333,453753.697674169,4431276.62277253
70,10,3,10,21,0,27.2833333333333,453753.697674169,4431276.62277253
70,10,3,10,25,1,27.7166666666667,453753.697674169,4431276.62277253
70,10,3,10,4,0,25.0566666666667,453753.697674169,4431276.62277253
70,10,3,10,26,0,27.7433333333333,453753.697674169,4431276.62277253
70,10,3,10,24,0,27.3033333333333,453753.697674169,4431276.62277253
70,10,3,10,25,0,27.4066666666667,453753.697674169,4431276.62277253
70,10,3,10,3,1,24.9833333333333,453753.697674169,4431276.62277253
70,10,3,10,22,0,27.5033333333333,453753.697674169,4431276.62277253
70,10,3,10,10,1,25.66,453753.697674169,4431276.62277253
70,10,3,10,4,1,25.19,453753.697674169,4431276.62277253
70,10,3,10,26,1,27.9033333333333,453753.697674169,4431276.62277253
70,10,3,10,10,0,24.9366666666667,453753.697674169,4431276.62277253
70,10,3,10,20,1,27.0066666666667,453753.697674169,4431276.62277253
70,10,3,10,0,0,24.4566666666667,453753.697674169,4431276.62277253
70,10,3,10,22,1,27.5066666666667,453753.697674169,4431276.62277253
70,10,3,10,23,0,27.5266666666667,453753.697674169,4431276.62277253
70,10,3,10,23,1,27.4366666666667,453753.697674169,4431276.62277253
70,10,3,10,2,0,24.5766666666667,453753.697674169,4431276.62277253
70,10,3,10,3,0,24.94,453753.697674169,4431276.62277253
70,10,3,10,9,1,25.6066666666667,453753.697674169,4431276.62277253
70,10,3,10,17,0,26.5333333333333,453753.697674169,4431276.62277253
70,10,3,10,17,1,26.3333333333333,453753.697674169,4431276.62277253
70,10,3,10,11,0,25.6766666666667,453753.697674169,4431276.62277253
70,10,3,10,11,1,25.79,453753.697674169,4431276.62277253
70,10,3,10,27,0,27.9266666666667,453753.697674169,4431276.62277253
70,10,3,10,27,1,27.9333333333333,453753.697674169,4431276.62277253
70,10,3,10,28,0,28,453753.697674169,4431276.62277253
70,10,3,10,0,1,24.69,453753.697674169,4431276.62277253
70,10,3,10,21,1,27.48,453753.697674169,4431276.62277253
70,10,3,10,1,1,24.54,453753.697674169,4431276.62277253
70,10,3,10,29,1,28.1333333333333,453753.697674169,4431276.62277253
70,10,3,10,2,1,24.61,453753.697674169,4431276.62277253
70,10,3,10,9,0,25.57,453753.697674169,4431276.62277253
70,10,3,10,16,1,26.3866666666667,453753.697674169,4431276.62277253
70,10,3,10,19,1,26.6533333333333,453753.697674169,4431276.62277253
70,10,3,10,18,0,26.42,453753.697674169,4431276.62277253
70,10,3,10,18,1,26.5566666666667,453753.697674169,4431276.62277253
70,10,3,10,19,0,26.6633333333333,453753.697674169,4431276.62277253
70,10,3,10,29,0,28.12,453753.697674169,4431276.62277253
70,10,3,10,20,0,26.9033333333333,453753.697674169,4431276.62277253
70,10,3,10,28,1,28.1366666666667,453753.697674169,4431276.62277253
70,10,3,10,7,1,25.6433333333333,453753.697674169,4431276.62277253
70,10,3,10,5,0,25.1666666666667,453753.697674169,4431276.62277253
70,10,3,10,8,0,25.54,453753.697674169,4431276.62277253
70,10,3,10,8,1,25.6366666666667,453753.697674169,4431276.62277253
70,10,3,10,16,0,26.3066666666667,453753.697674169,4431276.62277253
70,10,3,10,7,0,25.5866666666667,453753.697674169,4431276.62277253
70,10,3,10,5,1,25.12,453753.697674169,4431276.62277253
70,10,3,10,6,0,25.3066666666667,453753.697674169,4431276.62277253
70,10,3,10,6,1,25.4966666666667,453753.697674169,4431276.62277253
70,10,3,10,14,1,26.1033333333333,453753.697674169,4431276.62277253
70,10,3,10,1,0,24.6533333333333,453753.697674169,4431276.62277253
70,10,3,10,15,0,26.18,453753.697674169,4431276.62277253
70,10,3,10,15,1,26.3,453753.697674169,4431276.62277253
70,10,3,10,13,0,26.15,453753.697674169,4431276.62277253
70,10,3,10,12,0,25.8566666666667,453753.697674169,4431276.62277253
70,10,3,10,12,1,25.9666666666667,453753.697674169,4431276.62277253
70,10,3,10,13,1,26.2033333333333,453753.697674169,4431276.62277253
70,10,3,10,14,0,25.9966666666667,453753.697674169,4431276.62277253
70,10,3,11,5,0,31.75,453753.697674169,4431276.62277253
70,10,3,11,26,1,33.93,453753.697674169,4431276.62277253
70,10,3,11,22,0,32.8733333333333,453753.697674169,4431276.62277253
70,10,3,11,26,0,33.8966666666667,453753.697674169,4431276.62277253
70,10,3,11,18,1,32.8866666666667,453753.697674169,4431276.62277253
70,10,3,11,21,1,33.0066666666667,453753.697674169,4431276.62277253
70,10,3,11,24,1,33.4766666666667,453753.697674169,4431276.62277253
70,10,3,11,25,1,33.7366666666667,453753.697674169,4431276.62277253
70,10,3,11,4,1,31.69,453753.697674169,4431276.62277253
70,10,3,11,11,0,32.0466666666667,453753.697674169,4431276.62277253
70,10,3,11,11,1,32.1466666666667,453753.697674169,4431276.62277253
70,10,3,11,5,1,31.8433333333333,453753.697674169,4431276.62277253
70,10,3,11,27,0,33.8433333333333,453753.697674169,4431276.62277253
70,10,3,11,21,0,33.06,453753.697674169,4431276.62277253
70,10,3,11,0,1,31.33,453753.697674169,4431276.62277253
70,10,3,11,1,0,31.2266666666667,453753.697674169,4431276.62277253
70,10,3,11,23,0,32.9833333333333,453753.697674169,4431276.62277253
70,10,3,11,23,1,33.14,453753.697674169,4431276.62277253
70,10,3,11,24,0,33.2,453753.697674169,4431276.62277253
70,10,3,11,3,0,31.4466666666667,453753.697674169,4431276.62277253
70,10,3,11,25,0,33.58,453753.697674169,4431276.62277253
70,10,3,11,4,0,31.55,453753.697674169,4431276.62277253
70,10,3,11,18,0,32.7866666666667,453753.697674169,4431276.62277253
70,10,3,11,28,0,33.69,453753.697674169,4431276.62277253
70,10,3,11,12,0,32.1666666666667,453753.697674169,4431276.62277253
70,10,3,11,12,1,32.2,453753.697674169,4431276.62277253
70,10,3,11,27,1,33.84,453753.697674169,4431276.62277253
70,10,3,11,2,1,31.33,453753.697674169,4431276.62277253
70,10,3,11,28,1,33.6466666666667,453753.697674169,4431276.62277253
70,10,3,11,1,1,31.1333333333333,453753.697674169,4431276.62277253
70,10,3,11,22,1,32.9666666666667,453753.697674169,4431276.62277253
70,10,3,11,17,1,32.8066666666667,453753.697674169,4431276.62277253
70,10,3,11,29,1,33.72,453753.697674169,4431276.62277253
70,10,3,11,3,1,31.42,453753.697674169,4431276.62277253
70,10,3,11,10,1,31.8766666666667,453753.697674169,4431276.62277253
70,10,3,11,20,0,32.8533333333333,453753.697674169,4431276.62277253
70,10,3,11,20,1,33.0033333333333,453753.697674169,4431276.62277253
70,10,3,11,19,0,32.9266666666667,453753.697674169,4431276.62277253
70,10,3,11,19,1,32.8166666666667,453753.697674169,4431276.62277253
70,10,3,11,8,1,31.9133333333333,453753.697674169,4431276.62277253
70,10,3,11,9,0,31.88,453753.697674169,4431276.62277253
70,10,3,11,0,0,31.4266666666667,453753.697674169,4431276.62277253
70,10,3,11,29,0,33.6266666666667,453753.697674169,4431276.62277253
70,10,3,11,10,0,31.88,453753.697674169,4431276.62277253
70,10,3,11,6,0,31.8766666666667,453753.697674169,4431276.62277253
70,10,3,11,16,0,32.34,453753.697674169,4431276.62277253
70,10,3,11,9,1,31.83,453753.697674169,4431276.62277253
70,10,3,11,7,1,31.6733333333333,453753.697674169,4431276.62277253
70,10,3,11,8,0,31.84,453753.697674169,4431276.62277253
70,10,3,11,6,1,31.7933333333333,453753.697674169,4431276.62277253
70,10,3,11,7,0,31.8366666666667,453753.697674169,4431276.62277253
70,10,3,11,16,1,32.6933333333333,453753.697674169,4431276.62277253
70,10,3,11,17,0,32.7066666666667,453753.697674169,4431276.62277253
70,10,3,11,2,0,31.3766666666667,453753.697674169,4431276.62277253
