"Month","Day","Hour","Half_hour","Minute","fn","volt"
10,3,12,30,6,"plot39",14.295
10,3,12,30,20,"plot39",33.6916666666667
10,3,12,30,21,"plot39",34.6966666666667
10,3,12,30,22,"plot39",33.5933333333333
10,3,12,30,23,"plot39",6.59
10,3,12,30,11,"plot39",26.525
10,3,12,30,12,"plot39",27.0816666666667
10,3,12,30,13,"plot39",29.5816666666667
10,3,12,30,14,"plot39",30.45
10,3,12,30,15,"plot39",33.0016666666667
10,3,12,30,16,"plot39",37.0533333333333
10,3,12,30,17,"plot39",37.955
10,3,12,30,18,"plot39",37.8583333333333
10,3,12,30,19,"plot39",35.4833333333333
10,3,12,30,24,"plot39",17.166
10,3,12,30,25,"plot39",15.005
10,3,12,30,26,"plot39",18.9983333333333
10,3,12,30,27,"plot39",23.64
10,3,12,30,28,"plot39",26.6583333333333
10,3,12,30,29,"plot39",23.6216666666667
10,3,13,0,58,"plot39",36.0966666666667
10,3,13,0,59,"plot39",36.0683333333333
10,3,13,0,56,"plot39",36.1616666666667
10,3,13,0,57,"plot39",35.8966666666667
10,3,13,0,30,"plot39",37.84
10,3,13,0,31,"plot39",37.75
10,3,13,0,32,"plot39",37.8033333333333
10,3,13,0,33,"plot39",34.0333333333333
10,3,13,0,34,"plot39",31.905
10,3,13,0,35,"plot39",26.8083333333333
10,3,13,0,36,"plot39",20.9883333333333
10,3,13,0,37,"plot39",29.605
10,3,13,0,38,"plot39",30.5783333333333
10,3,13,0,39,"plot39",37.3466666666667
10,3,13,0,40,"plot39",37.5
10,3,13,0,41,"plot39",37.5033333333333
10,3,13,0,42,"plot39",37.2983333333333
10,3,13,0,43,"plot39",37.4316666666667
10,3,13,0,44,"plot39",37.3766666666667
10,3,13,0,45,"plot39",36.97
10,3,13,0,46,"plot39",36.8133333333333
10,3,13,0,47,"plot39",36.8983333333333
10,3,13,0,48,"plot39",36.7233333333333
10,3,13,0,49,"plot39",36.6383333333333
10,3,13,0,50,"plot39",36.7116666666667
10,3,13,0,51,"plot39",36.765
10,3,13,0,52,"plot39",36.7716666666667
10,3,13,0,53,"plot39",36.495
10,3,13,0,54,"plot39",36.205
10,3,13,0,55,"plot39",36.225
10,3,13,30,15,"plot39",32.005
10,3,13,30,16,"plot39",36.365
10,3,13,30,17,"plot39",24.42
10,3,13,30,18,"plot39",16.555
10,3,13,30,0,"plot39",7.82666666666667
10,3,13,30,1,"plot39",20.4183333333333
10,3,13,30,2,"plot39",25.7433333333333
10,3,13,30,3,"plot39",29.89
10,3,13,30,4,"plot39",26.7166666666667
10,3,13,30,5,"plot39",27.905
10,3,13,30,6,"plot39",28.8883333333333
10,3,13,30,7,"plot39",23.66
10,3,13,30,8,"plot39",37.99
10,3,13,30,9,"plot39",30.5133333333333
10,3,13,30,10,"plot39",16.935
10,3,13,30,11,"plot39",26.095
10,3,13,30,12,"plot39",35.0866666666667
10,3,13,30,13,"plot39",33.8266666666667
10,3,13,30,14,"plot39",27.6983333333333
10,3,13,30,28,"plot39",37.7933333333333
10,3,13,30,29,"plot39",37.8683333333333
10,3,13,30,21,"plot39",37.7766666666667
10,3,13,30,22,"plot39",38.0383333333333
10,3,13,30,19,"plot39",17.5966666666667
10,3,13,30,20,"plot39",30.1233333333333
10,3,13,30,25,"plot39",37.8316666666667
10,3,13,30,26,"plot39",37.4933333333333
10,3,13,30,23,"plot39",38.02
10,3,13,30,24,"plot39",37.955
10,3,13,30,27,"plot39",37.4516666666667
10,3,8,0,33,"plot39",0.29
10,3,8,0,31,"plot39",0.301666666666667
10,3,8,0,32,"plot39",0.298333333333333
10,3,8,0,45,"plot39",5.775
10,3,8,0,46,"plot39",6.855
10,3,8,0,30,"plot39",0.296666666666667
10,3,8,0,44,"plot39",2.785
10,3,8,0,36,"plot39",0.313333333333333
10,3,8,0,37,"plot39",0.306666666666667
10,3,8,0,38,"plot39",0.303333333333333
10,3,8,0,39,"plot39",0.355
10,3,8,0,40,"plot39",0.318333333333333
10,3,8,0,41,"plot39",0.303333333333333
10,3,8,0,42,"plot39",0.303333333333333
10,3,8,0,43,"plot39",0.456666666666667
10,3,8,0,56,"plot39",3.075
10,3,8,0,57,"plot39",3.25166666666667
10,3,8,0,58,"plot39",3.63333333333333
10,3,8,0,59,"plot39",3.58166666666667
10,3,8,0,34,"plot39",0.291666666666667
10,3,8,0,35,"plot39",0.305
10,3,8,0,49,"plot39",4.535
10,3,8,0,50,"plot39",2.68666666666667
10,3,8,0,51,"plot39",0.356666666666667
10,3,8,0,52,"plot39",0.43
10,3,8,0,53,"plot39",0.333333333333333
10,3,8,0,54,"plot39",0.343333333333333
10,3,8,0,55,"plot39",2.135
10,3,8,0,47,"plot39",7.69
10,3,8,0,48,"plot39",6.18166666666667
10,3,8,30,4,"plot39",0.206666666666667
10,3,8,30,5,"plot39",0.213333333333333
10,3,8,30,6,"plot39",0.214
10,3,8,30,2,"plot39",0.2
10,3,8,30,3,"plot39",0.2
10,3,8,30,0,"plot39",0.2
10,3,8,30,1,"plot39",0.2
10,3,8,30,18,"plot39",0.293333333333333
10,3,8,30,19,"plot39",0.281666666666667
10,3,8,30,16,"plot39",0.241666666666667
10,3,8,30,17,"plot39",0.25
10,3,8,30,9,"plot39",0.24
10,3,8,30,10,"plot39",0.233333333333333
10,3,8,30,11,"plot39",0.223333333333333
10,3,8,30,12,"plot39",0.233333333333333
10,3,8,30,13,"plot39",0.236666666666667
10,3,8,30,14,"plot39",0.231666666666667
10,3,8,30,15,"plot39",0.24
10,3,8,30,29,"plot39",0.3
10,3,8,30,8,"plot39",0.23
10,3,8,30,22,"plot39",0.25
10,3,8,30,23,"plot39",0.256666666666667
10,3,8,30,7,"plot39",0.22
10,3,8,30,25,"plot39",0.283333333333333
10,3,8,30,26,"plot39",0.276666666666667
10,3,8,30,27,"plot39",0.27
10,3,8,30,24,"plot39",0.27
10,3,8,30,20,"plot39",0.253333333333333
10,3,8,30,21,"plot39",0.25
10,3,8,30,28,"plot39",0.275
10,3,9,0,50,"plot39",1.385
10,3,9,0,51,"plot39",1.72
10,3,9,0,53,"plot39",4.85833333333333
10,3,9,0,58,"plot39",4.14666666666667
10,3,9,0,59,"plot39",3.79833333333333
10,3,9,0,52,"plot39",4.06
10,3,9,0,33,"plot39",5.235
10,3,9,0,34,"plot39",4.98666666666667
10,3,9,0,35,"plot39",6.38
10,3,9,0,32,"plot39",9.345
10,3,9,0,37,"plot39",7.94166666666667
10,3,9,0,38,"plot39",4.15166666666667
10,3,9,0,39,"plot39",4.35
10,3,9,0,36,"plot39",8.30833333333333
10,3,9,0,56,"plot39",4.535
10,3,9,0,57,"plot39",3.18166666666667
10,3,9,0,30,"plot39",9.67666666666667
10,3,9,0,31,"plot39",8.945
10,3,9,0,45,"plot39",1.148
10,3,9,0,46,"plot39",0.99
10,3,9,0,47,"plot39",2.05833333333333
10,3,9,0,48,"plot39",5.01333333333333
10,3,9,0,49,"plot39",5.01
10,3,9,0,41,"plot39",2.09166666666667
10,3,9,0,42,"plot39",1.70333333333333
10,3,9,0,43,"plot39",1.13666666666667
10,3,9,0,40,"plot39",2.42
10,3,9,0,54,"plot39",5.29
10,3,9,0,55,"plot39",5.29833333333333
10,3,9,0,44,"plot39",1.02333333333333
10,3,9,30,12,"plot39",0.66
10,3,9,30,13,"plot39",0.37
10,3,9,30,10,"plot39",4.40333333333333
10,3,9,30,11,"plot39",1.53666666666667
10,3,9,30,16,"plot39",1.89666666666667
10,3,9,30,17,"plot39",1.255
10,3,9,30,18,"plot39",1.31666666666667
10,3,9,30,19,"plot39",2.47666666666667
10,3,9,30,20,"plot39",4.53
10,3,9,30,21,"plot39",8.39833333333333
10,3,9,30,22,"plot39",10.6833333333333
10,3,9,30,23,"plot39",11.0566666666667
10,3,9,30,24,"plot39",8.28333333333333
10,3,9,30,25,"plot39",6.5
10,3,9,30,26,"plot39",10.4725
10,3,9,30,0,"plot39",5.26833333333333
10,3,9,30,1,"plot39",5.72
10,3,9,30,2,"plot39",4.865
10,3,9,30,3,"plot39",4.95166666666667
10,3,9,30,4,"plot39",5.2475
10,3,9,30,5,"plot39",4.12
10,3,9,30,6,"plot39",2.81166666666667
10,3,9,30,7,"plot39",1.97
10,3,9,30,8,"plot39",0.851666666666667
10,3,9,30,9,"plot39",3.09166666666667
10,3,9,30,14,"plot39",1.39
10,3,9,30,15,"plot39",2.52166666666667
10,3,9,30,28,"plot39",5.49
10,3,9,30,29,"plot39",8.59833333333333
10,3,9,30,27,"plot39",6.76666666666667
10,4,10,0,30,"plot39",12.1066666666667
10,4,10,0,31,"plot39",13.0266666666667
10,4,10,0,32,"plot39",11.6783333333333
10,4,10,0,33,"plot39",4.84666666666667
10,4,10,0,34,"plot39",0.526666666666667
10,4,10,0,35,"plot39",0.341666666666667
10,4,10,0,36,"plot39",0.345
10,4,10,0,37,"plot39",0.35
10,4,10,0,38,"plot39",0.355
10,4,10,0,39,"plot39",0.353333333333333
10,4,10,0,40,"plot39",0.346666666666667
10,4,10,0,41,"plot39",3.43666666666667
10,4,10,0,42,"plot39",14.9383333333333
10,4,10,0,43,"plot39",22
10,4,10,0,44,"plot39",27.5966666666667
10,4,10,0,45,"plot39",29.5916666666667
10,4,10,0,46,"plot39",26.0233333333333
10,4,10,0,47,"plot39",12.94
10,4,10,0,48,"plot39",5.448
10,4,10,0,49,"plot39",18.77
10,4,10,0,50,"plot39",19.505
10,4,10,0,51,"plot39",16.1366666666667
10,4,10,0,52,"plot39",14.845
10,4,10,0,53,"plot39",15.0083333333333
10,4,10,0,54,"plot39",13.6616666666667
10,4,10,0,55,"plot39",15.6616666666667
10,4,10,0,56,"plot39",19.21
10,4,10,0,57,"plot39",18.3133333333333
10,4,10,0,58,"plot39",19.2483333333333
10,4,10,0,59,"plot39",9.84333333333333
10,4,10,30,0,"plot39",15.97
10,4,10,30,1,"plot39",25.498
10,4,10,30,2,"plot39",25.675
10,4,10,30,3,"plot39",25.825
10,4,10,30,4,"plot39",25.5083333333333
10,4,10,30,5,"plot39",21.6916666666667
10,4,10,30,6,"plot39",21.605
10,4,10,30,7,"plot39",18.76
10,4,10,30,8,"plot39",18.7116666666667
10,4,10,30,9,"plot39",20.6616666666667
10,4,10,30,10,"plot39",19.9966666666667
10,4,10,30,11,"plot39",18.5516666666667
10,4,10,30,12,"plot39",17.1833333333333
10,4,10,30,13,"plot39",16.91
10,4,10,30,14,"plot39",15.4683333333333
10,4,10,30,15,"plot39",15.2116666666667
10,4,10,30,16,"plot39",16.555
10,4,10,30,17,"plot39",18.6433333333333
10,4,10,30,18,"plot39",18.4616666666667
10,4,10,30,19,"plot39",16.0466666666667
10,4,10,30,20,"plot39",11.49
10,4,10,30,21,"plot39",15.63
10,4,10,30,22,"plot39",23.41
10,4,10,30,23,"plot39",15.5466666666667
10,4,10,30,24,"plot39",15.69
10,4,10,30,25,"plot39",18.165
10,4,10,30,26,"plot39",21.7183333333333
10,4,10,30,27,"plot39",23.375
10,4,10,30,28,"plot39",23.6933333333333
10,4,10,30,29,"plot39",18.1516666666667
10,4,11,0,30,"plot39",23.3066666666667
10,4,11,0,31,"plot39",21.0616666666667
10,4,11,0,32,"plot39",19.0916666666667
10,4,11,0,33,"plot39",17.095
10,4,11,0,34,"plot39",13.5466666666667
10,4,11,0,35,"plot39",15.505
10,4,11,0,36,"plot39",18.51
10,4,11,0,37,"plot39",19.4566666666667
10,4,11,0,38,"plot39",23.1983333333333
10,4,11,0,39,"plot39",26.5333333333333
10,4,11,0,40,"plot39",26.32
10,4,11,0,41,"plot39",26.735
10,4,11,0,42,"plot39",29.68
10,4,11,0,43,"plot39",20.96
10,4,11,0,44,"plot39",25.1383333333333
10,4,11,0,45,"plot39",29.336
10,4,11,30,0,"plot39",1.00833333333333
10,4,11,30,1,"plot39",0.36
10,4,11,30,2,"plot39",0.365
10,4,11,30,3,"plot39",0.481666666666667
10,4,11,30,4,"plot39",4.98166666666667
10,4,11,30,5,"plot39",14.06
10,4,11,30,6,"plot39",21.6316666666667
10,4,11,30,7,"plot39",23.985
10,4,11,30,8,"plot39",23.9133333333333
10,4,11,30,9,"plot39",22.98
10,4,11,30,10,"plot39",19.52
10,4,11,30,11,"plot39",22.9983333333333
10,4,11,30,12,"plot39",25.14
10,4,11,30,13,"plot39",18.608
10,4,11,30,14,"plot39",25.7833333333333
10,4,11,30,15,"plot39",18.5083333333333
10,4,11,30,16,"plot39",13.24
10,4,11,30,17,"plot39",15.0966666666667
10,4,11,30,18,"plot39",14.9566666666667
10,4,11,30,19,"plot39",15.5116666666667
10,4,11,30,20,"plot39",12.995
10,4,11,30,21,"plot39",17.1533333333333
10,4,11,30,22,"plot39",27.855
10,4,11,30,23,"plot39",27.975
10,4,11,30,24,"plot39",25.5333333333333
10,4,11,30,25,"plot39",26.7783333333333
10,4,11,30,26,"plot39",29.1716666666667
10,4,11,30,27,"plot39",30.12
10,4,11,30,28,"plot39",22.4916666666667
10,4,11,30,29,"plot39",22.1716666666667
10,4,8,0,30,"plot39",2.32
10,4,8,0,31,"plot39",0.3
10,4,8,0,32,"plot39",0.318333333333333
10,4,8,0,33,"plot39",0.328333333333333
10,4,8,0,34,"plot39",2.36666666666667
10,4,8,0,35,"plot39",5.90666666666667
10,4,8,0,36,"plot39",5.72
10,4,8,0,37,"plot39",7.345
10,4,8,0,38,"plot39",7.215
10,4,8,0,39,"plot39",3.36833333333333
10,4,8,0,40,"plot39",3.04333333333333
10,4,8,0,41,"plot39",5.89333333333333
10,4,8,0,42,"plot39",7.90166666666667
10,4,8,0,43,"plot39",7.81666666666667
10,4,8,0,44,"plot39",7.53833333333333
10,4,8,0,45,"plot39",8.32
10,4,8,0,46,"plot39",9.34
10,4,8,0,47,"plot39",8.91666666666667
10,4,8,0,48,"plot39",9.32333333333333
10,4,8,0,49,"plot39",7.93666666666667
10,4,8,0,50,"plot39",6.204
10,4,8,0,51,"plot39",10.04
10,4,8,0,52,"plot39",8.995
10,4,8,0,53,"plot39",5.44833333333333
10,4,8,0,54,"plot39",2.42833333333333
10,4,8,0,55,"plot39",4.00333333333333
10,4,8,0,56,"plot39",6.63833333333333
10,4,8,0,57,"plot39",9.95166666666667
10,4,8,0,58,"plot39",11.7333333333333
10,4,8,0,59,"plot39",11.8933333333333
10,4,8,30,0,"plot39",0.195
10,4,8,30,1,"plot39",0.195
10,4,8,30,2,"plot39",0.2
10,4,8,30,3,"plot39",0.2
10,4,8,30,4,"plot39",0.2
10,4,8,30,5,"plot39",0.201666666666667
10,4,8,30,6,"plot39",0.2
10,4,8,30,7,"plot39",0.205
10,4,8,30,8,"plot39",0.213333333333333
10,4,8,30,9,"plot39",0.21
10,4,8,30,10,"plot39",0.228333333333333
10,4,8,30,11,"plot39",0.23
10,4,8,30,12,"plot39",0.22
10,4,8,30,13,"plot39",0.226666666666667
10,4,8,30,14,"plot39",0.231666666666667
10,4,8,30,15,"plot39",0.23
10,4,8,30,16,"plot39",0.235
10,4,8,30,17,"plot39",0.253333333333333
10,4,8,30,18,"plot39",0.27
10,4,8,30,19,"plot39",0.261666666666667
10,4,8,30,20,"plot39",0.243333333333333
10,4,8,30,21,"plot39",0.23
10,4,8,30,22,"plot39",0.235
10,4,8,30,23,"plot39",0.24
10,4,8,30,24,"plot39",0.26
10,4,8,30,25,"plot39",3.13666666666667
10,4,8,30,26,"plot39",8.41833333333333
10,4,8,30,27,"plot39",9.53166666666667
10,4,8,30,28,"plot39",6.27333333333333
10,4,8,30,29,"plot39",3.75833333333333
10,4,9,0,30,"plot39",6.86333333333333
10,4,9,0,31,"plot39",4.40333333333333
10,4,9,0,32,"plot39",5.185
10,4,9,0,33,"plot39",7.27
10,4,9,0,34,"plot39",8.81833333333333
10,4,9,0,35,"plot39",13.0283333333333
10,4,9,0,36,"plot39",9.435
10,4,9,0,37,"plot39",8.62166666666667
10,4,9,0,38,"plot39",12.12
10,4,9,0,39,"plot39",7.9475
10,4,9,0,40,"plot39",4.63
10,4,9,0,41,"plot39",3.875
10,4,9,0,42,"plot39",4.09333333333333
10,4,9,0,43,"plot39",1.90666666666667
10,4,9,0,44,"plot39",0.671666666666667
10,4,9,0,45,"plot39",0.361666666666667
10,4,9,0,46,"plot39",0.368333333333333
10,4,9,0,47,"plot39",0.435
10,4,9,0,48,"plot39",0.893333333333333
10,4,9,0,49,"plot39",0.351666666666667
10,4,9,0,50,"plot39",3.19333333333333
10,4,9,0,51,"plot39",6.70666666666667
10,4,9,0,52,"plot39",7.43833333333333
10,4,9,0,53,"plot39",7.43
10,4,9,0,54,"plot39",6.66333333333333
10,4,9,0,55,"plot39",5.28166666666667
10,4,9,0,56,"plot39",3.29666666666667
10,4,9,0,57,"plot39",2.14666666666667
10,4,9,0,58,"plot39",4.86
10,4,9,0,59,"plot39",13.4033333333333
10,4,9,30,0,"plot39",12.24
10,4,9,30,1,"plot39",11.4866666666667
10,4,9,30,2,"plot39",10.1166666666667
10,4,9,30,3,"plot39",6.60333333333333
10,4,9,30,4,"plot39",9.03833333333333
10,4,9,30,5,"plot39",7.02333333333333
10,4,9,30,6,"plot39",2.89833333333333
10,4,9,30,7,"plot39",4.10333333333333
10,4,9,30,8,"plot39",6.21666666666667
10,4,9,30,9,"plot39",4.08666666666667
10,4,9,30,10,"plot39",0.335
10,4,9,30,11,"plot39",0.321666666666667
10,4,9,30,12,"plot39",0.636666666666667
10,4,9,30,13,"plot39",1.948
10,4,9,30,14,"plot39",1.16
10,4,9,30,15,"plot39",3.13
10,4,9,30,16,"plot39",5.914
10,4,9,30,17,"plot39",7.565
10,4,9,30,18,"plot39",7.07166666666667
10,4,9,30,19,"plot39",7.96833333333333
10,4,9,30,20,"plot39",8.08333333333333
10,4,9,30,21,"plot39",7.23833333333333
10,4,9,30,22,"plot39",7.38333333333333
10,4,9,30,23,"plot39",10.32
10,4,9,30,24,"plot39",15.9016666666667
10,4,9,30,25,"plot39",18.4783333333333
10,4,9,30,26,"plot39",18.335
10,4,9,30,27,"plot39",16.0516666666667
10,4,9,30,28,"plot39",9.17333333333333
10,4,9,30,29,"plot39",4.875
7,26,10,0,39,"plot39",8.3875
7,26,10,0,47,"plot39",4.62666666666667
7,26,10,0,45,"plot39",6.63
7,26,10,0,37,"plot39",9.33
7,26,10,0,44,"plot39",4.72333333333333
7,26,10,0,56,"plot39",6.2
7,26,10,0,38,"plot39",10.22
7,26,10,0,46,"plot39",5.382
7,26,10,0,31,"plot39",3.79
7,26,10,0,48,"plot39",4.58333333333333
7,26,10,0,32,"plot39",3.945
7,26,10,0,30,"plot39",4.15333333333333
7,26,10,0,58,"plot39",8.10666666666667
7,26,10,0,59,"plot39",6.78666666666667
7,26,10,0,36,"plot39",12.8666666666667
7,26,10,0,33,"plot39",4.69333333333333
7,26,10,0,41,"plot39",11.615
7,26,10,0,43,"plot39",11.33
7,26,10,0,52,"plot39",12.8316666666667
7,26,10,0,35,"plot39",11.1866666666667
7,26,10,0,53,"plot39",18.62
7,26,10,0,50,"plot39",6.72
7,26,10,0,42,"plot39",12.1416666666667
7,26,10,0,57,"plot39",6.172
7,26,10,0,55,"plot39",6.53
7,26,10,0,51,"plot39",11.11
7,26,10,0,40,"plot39",5.97
7,26,10,0,54,"plot39",12.3566666666667
7,26,10,0,49,"plot39",6.26833333333333
7,26,10,30,13,"plot39",5.22166666666667
7,26,10,30,2,"plot39",7.475
7,26,10,30,26,"plot39",11.4933333333333
7,26,10,30,14,"plot39",8.61333333333333
7,26,10,30,0,"plot39",11.95
7,26,10,30,11,"plot39",7.72333333333333
7,26,10,30,29,"plot39",4.02333333333333
7,26,10,30,25,"plot39",13.4383333333333
7,26,10,30,10,"plot39",4.83333333333333
7,26,10,30,27,"plot39",12.2583333333333
7,26,10,30,9,"plot39",4.33166666666667
7,26,10,30,21,"plot39",16.0683333333333
7,26,10,30,28,"plot39",12.66
7,26,10,30,24,"plot39",17.745
7,26,10,30,4,"plot39",4.65833333333333
7,26,10,30,18,"plot39",7.68
7,26,10,30,20,"plot39",10.075
7,26,10,30,19,"plot39",9.395
7,26,10,30,6,"plot39",4.25666666666667
7,26,10,30,7,"plot39",7.71
7,26,10,30,16,"plot39",12.6783333333333
7,26,10,30,15,"plot39",14.1183333333333
7,26,10,30,22,"plot39",12.9166666666667
7,26,10,30,5,"plot39",5.035
7,26,10,30,17,"plot39",13.56
7,26,10,30,8,"plot39",6.90333333333333
7,26,10,30,3,"plot39",8.80333333333333
7,26,15,30,7,"plot39",13.5483333333333
7,26,15,30,18,"plot39",12.285
7,26,15,30,6,"plot39",25.2633333333333
7,26,15,30,23,"plot39",27.8216666666667
7,26,15,30,16,"plot39",32.022
7,26,15,30,22,"plot39",29.69
7,26,15,30,15,"plot39",14.38
