"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"07-09",53,1314,"",3,2,,,,,"OUTSIDESW"
"07-09",61,1181,"",0,1,"",-9,-9,,""
"07-09",61,1125,"",5,2,,,,,""
"07-09",61,1170,"",1,9,,,,,""
"07-09",61,1288,"",,,,,,,"can'tfind"
"07-09",61,1294,"",0,10,,,,,""
"07-09",61,1295,"",,,,,,,"can'tfind"
"07-09",61,1303,"",1,1,,,,,""
"07-05",62,1214,"",0,3,,-9,-9,,""
"07-09",62,1216,"",0,11,,-9,-9,,""
"07-05",62,1222,"",0,2,,-9,-9,,""
"07-05",62,1244,"",0,5,,-9,-9,,""
"07-09",62,1295,"",0,5,,-9,-9,,""
"07-09",65,1130,"",1,3,,,,,""
"07-09",67,1291,"",0,3,,-9,-9,,"1204is(8;1)"
"07-05",68,1175,"",0,1,,-9,-9,,"1204is(4;0)"
"07-09",68,1263,"",0,1,,-9,-9,,""
"07-09",69,1305,"",3,0,,,,,""
