"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
2020-07-21,1,1504,"",,0,0,3,,,,,""
2020-07-21,1,1532,"",,0,0,3,,,,,""
2020-07-21,1,1533,"",,0,0,3,,,,,"1 grazed"
2020-07-21,1,1536,"",,0,0,1,,,,,""
2020-07-21,1,1537,"",,0,0,1,,,,,""
2020-07-21,1,1548,"",,0,0,1,,,,,""
2020-07-21,1,1565,"",,0,0,3,,,,,""
2020-07-21,1,1568,"",,,,,,,,,""
2020-07-21,1,1582,"",,0,0,2,,,,,""
2020-07-21,1,1591,"",,0,0,1,,,,,""
2020-07-21,1,1667,"","1",1,1,0,,,,,"1 flw tomorrow"
2020-07-21,1,1694,"","2",1,0,0,,,,,""
2020-07-21,2,1506,"",,,,,,,,,""
2020-07-21,2,1513,"","4",0,1,5,,,,,""
2020-07-21,2,1561,"",,0,0,1,,,,,""
2020-07-21,2,1570,"",,1,0,1,,,,,""
2020-07-21,2,1588,"",,0,0,1,,,,,""
2020-07-21,2,1590,"",,0,0,2,,,,,""
2020-07-21,2,1598,"",,0,0,1,,,,,""
2020-07-21,2,1611,"","4",0,0,4,,,,,""
2020-07-21,2,1669,"","1",0,1,1,,,,,""
2020-07-21,2,1679,"","1",0,0,1,,,,,"poss missed; consider ig?"
2020-07-21,3,1541,"","1",0,0,0,,,,,"pv; tomorrow"
2020-07-21,3,1607,"",,0,0,1,,,,,"mc"
2020-07-21,3,1690,"","2",1,1,0,,,,,""
2020-07-21,3,1691,"","1",1,0,0,,,,,""
2020-07-21,3,1692,"","1",0,1,0,,,,,""
2020-07-21,3,1693,"","1",0,0,1,,,,,"mc"
2020-07-21,3,1695,"","3",1,1,,,,,,"1pv"
2020-07-21,3,1698,"","3",1,0,0,,,,,"pv"
2020-07-21,3,1700,"x","2",1,1,0,,,,,"separate? Meas; tagged stem is str"
2020-07-21,5,1549,"",,1,1,0,,,,,""
2020-07-21,5,1637,"",,0,0,1,,,,,"mid-shriv"
2020-07-21,5,1680,"","2",2,0,0,,,,,""
2020-07-21,5,1701,"","2",1,0,0,,,,,""
2020-07-21,6,1515,"",,0,0,3,,,,,""
2020-07-21,6,1526,"",,0,0,3,,,,,"mc"
2020-07-21,6,1563,"","9",3,3,32,,,,,""
2020-07-21,6,1689,"","1",0,0,1,,,,,""
2020-07-21,8,1639,"",,0,0,1,,,,,"mc; OUTSIDE NE"
2020-07-21,9,1613,"","2",0,0,2,,,,,"mc"
2020-07-21,9,1658,"","2",0,0,0,,,,,"1pv; tomorrow"
2020-07-21,9,1661,"","1",0,1,0,,,,,""
2020-07-21,10,1525,"",,1,0,0,,,,,""
2020-07-21,13,1699,"","2",0,1,,,,,,""
2020-07-21,14,1511,"",,0,0,4,,,,,""
2020-07-21,17,1594,"","2",0,0,2,,,,,"mc"
2020-07-21,17,1681,"","1",0,0,0,,,,,"pv tomorrow"
2020-07-21,18,1566,"","2",0,1,0,,,,,""
2020-07-21,18,1575,"",,0,1,0,,,,,""
2020-07-21,18,1652,"","1",1,0,0,,,,,""
2020-07-21,18,1655,"","2",0,0,0,,,,,"2pv 1 tomorrow"
2020-07-21,18,1673,"","3",2,1,0,,,,,""
2020-07-21,18,1685,"","2",1,0,0,,,,,"pv tomorrow"
2020-07-21,18,1687,"","2",2,0,0,,,,,""
2020-07-21,18,1697,"","1",1,0,0,,,,,""
2020-07-21,19,1657,"","3",1,0,0,,,,,"OUTSIDE SW; 2pv"
2020-07-21,20,1660,"","2",0,2,0,,,,,"OUTSIDE SE"
2020-07-21,22,1608,"",,0,0,1,,,,,""
2020-07-21,22,1643,"","2",0,0,1,,,,,""
2020-07-21,22,1654,"","1",0,0,1,,,,,""
2020-07-21,22,1656,"","3",0,1,0,,,,,"big diameter; 2pv"
2020-07-21,22,1659,"","3",1,0,0,,,,,""
2020-07-21,22,1678,"","1",0,0,2,,,,,""
2020-07-21,22,1682,"","2",0,2,0,,,,,""
2020-07-21,22,1686,"","1",0,0,1,,,,,""
2020-07-21,22,1688,"","2",0,1,1,,,,,""
2020-07-21,25,1560,"",,0,0,0,,,,,"grazed"
2020-07-21,25,1569,"",,,,,,,,,"can't find"
2020-07-21,28,1653,"","1",0,1,0,,,,,"OUTSIDE NW"
2020-07-21,31,1502,"",,0,1,0,,,,,""
2020-07-21,31,1507,"","5",0,1,4,,,,,""
