"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_notes"
104,2089,,,,,,"7/4/22","1;0;2",,""
104,2055,,,,,"done","6/30/22","1;0;1",,""
104,2062,,,,,"done","6/30/22","1;0;3",,""
104,2091,,,,,"done","7/4/22","1;0;2",,""
105,2101,,,,,,"7/4/22","1;2;0",,""
105,2114,,,,,,"7/4/22","1;5;0",,""
105,2129,,,,,,"7/4/22","0;0;0",,"yv"
105,2142,,,,,,"7/4/22","1;3;0",,""
105,2149,,,,,,"7/4/22","1;1;0",,""
107,2118,,,,,,"7/4/22","1;2;5",,""
109,2107,,,,,,"7/4/22","NA;NA;NA",,"can't find"
117,2131,,,,,,"7/4/22","0;0;0",,"yv"
118,2029,,,,,"done","6/30/22","1;0;6",,""
118,2041,,,,,"done","7/4/22","2;0;11",,""
123,2097,,,,,,"7/4/22","1;1;4",,""
127,2001,,,,,,"7/4/22","3;3;19",,""
127,2027,,,,,,"7/4/22","2;0;18",,"knocked one off"
130,2112,,,,,,"7/4/22","1;7;0",,""
130,2140,,,,,,"7/4/22","1;2;0",,""
138,2053,,,,,,"7/4/22","1;7;0",,""
146,2137,,,,,,"7/4/22","0;0;0",,"yv"
146,2141,,,,,,"7/4/22","1;5;0",,""
146,2145,,,,,,"7/4/22","1;5;0",,"yv"
146,2148,,,,,,"7/4/22","0;0;0",,"yv"
147,2099,,,,,,"7/4/22","1;6;2",,""
149,2056,,,,,,"7/4/22","2;5;6",,""
149,2059,,,,,,"7/4/22","1;0;4",,""
149,2061,,,,,,"7/4/22","1;0;1",,""
149,2069,,,,,,"7/4/22","4;1;18",,""
149,2111,,,,,,"7/4/22","1;1;0",,""
149,2133,,,,,,"7/4/22","1;3;0",,""
149,2093,,,,,"done","7/4/22","1;0;2",,""
149,2094,,,,,"done","7/4/22","1;0;4",,""
150,2123,,,,,,"7/4/22","0;0;0",,"yv"
150,2128,,,,,,"7/4/22","1;3;0",,""
150,2136,,,,,,"7/4/22","0;0;0",,"yv"
150,2143,,,,,,"7/4/22","0;0;0",,"yv"
151,2110,,,,,,"7/4/22","1;7;0",,""
151,2121,,,,,,"7/4/22","1;1;0",,"yv"
151,2135,,,,,,"7/4/22","0;0;0",,"yv"
151,2139,,,,,,"7/4/22","0;0;0",,"yv"
151,2146,,,,,,"7/4/22","0;0;0",,"yv"
152,2051,,,,,,"7/4/22","2;1;7",,""
152,2063,,,,,,"7/4/22","2;0;8",,""
152,2065,,,,,,"7/4/22","2;0;10",,""
152,2070,,,,,,"7/4/22","2;0;8",,""
152,2072,,,,,,"7/4/22","2;0;10",,""
152,2095,,,,,,"7/4/22","1;0;3",,""
152,2100,,,,,,"7/4/22","1;0;2",,""
152,2119,,,,,,"7/4/22","1;0;3",,""
152,2127,,,,,,"7/4/22","1;3;0",,""
152,2132,,,,,,"7/4/22","1;5;0",,""
152,2018,,,,,"done","6/30/22","1;0;8",,""
152,2033,,,,,"done","7/4/22","1;0;6",,""
152,2073,,,,,"done","7/4/22","1;0;3",,"unable to find second infl"
152,2108,,,,,"done","7/4/22","1;0;1",,""
153,2115,,,,,,"7/4/22","1;7;0",,""
154,2043,,,,,,"7/4/22","2;1;12",,""
154,2047,,,,,,"7/4/22","1;0;9",,""
154,2074,,,,,,"7/4/22","1;0;3",,""
154,2090,,,,,,"7/4/22","1;0;5",,""
154,2102,,,,,,"7/4/22","1;0;2",,""
154,2113,,,,,,"7/4/22","0;0;0",,"yv"
154,2130,,,,,,"7/4/22","1;3;0",,"one uncounted fl is dead"
154,2134,,,,,,"7/4/22","1;1;0",,""
