"Plot","Tag","Treatment","Extra","Treated","Flowers_treated","Flowers","Note"
105,"2101","Control","",,,,
105,"2114","Addition","",,,,
105,"2129","Control","",,,,
105,"2142","Addition","Extra9",,,,
105,"2149","Addition","",,,,
117,"2131","Control","Extra8",,,,
130,"2112","Addition","",,,,
133,"UC","Addition","Extra1",,,,
133,"UE","Control","",,,,
133,"UNE","Addition","",,,,
146,"2145","Control","Extra10",,,,
146,"2148","Addition","Extra5",,,,
149,"2056","Addition","Extra3",,,,
149,"2111","Addition","",,,,
150,"2123","Control","",,,,
150,"2128","Addition","",,,,
150,"2143","Control","",,,,
151,"2110","Control","",,,,
151,"2146","Control","",,,,
151,"USW","Control","Extra4",,,,
152,"2127","Control","",,,,
152,"2132","Control","",,,,
153,"2115","Control","Extra6",,,,
153,"UNW","Addition","",,,,
154,"2130","Control","Extra2",,,,
154,"2134","Addition","Extra7",,,,
163,"2064","Addition","",,,,
163,"2076","Addition","",,,,
164,"2071","Addition","",,,,
166,"2104","Control","",,,,
