"Plot","Tag","Treatment","Extra","Treated","Flowers_treated","Flowers","Note"
105,2101,"Control","",,,,
105,2114,"Addition","",,,,
105,2129,"Addition","",,,,
105,2142,"Addition","",,,,
123,2097,"Control","",,,,
127,2001,"Control","Extra6",,,,
130,2140,"Addition","Extra1",,,,
138,2053,"Addition","",,,,
146,2137,"Control","",,,,
146,2141,"Control","Extra10",,,,
146,2148,"Control","",,,,
147,2099,"Addition","",,,,
149,2111,"Addition","",,,,
149,2133,"Addition","",,,,
150,2123,"Control","Extra8",,,,
150,2128,"Control","",,,,
151,2110,"Addition","",,,,
151,2135,"Control","Extra4",,,,
151,2146,"Control","",,,,
152,2127,"Control","",,,,
153,2115,"Addition","Extra5",,,,
154,2043,"Control","",,,,
154,2130,"Control","",,,,
154,2134,"Addition","Extra7",,,,
158,2147,"Control","Extra2",,,,
163,2087,"Addition","Extra3",,,,
163,2106,"Control","",,,,
164,2015,"Addition","",,,,
164,2058,"Addition","",,,,
164,2071,"Addition","Extra9",,,,
