Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
77,7/28/20,Campanula rotundifolia,1,1504,2,0,1,3,,
77,7/28/20,Campanula rotundifolia,1,1532,,0,0,3,,
77,7/28/20,Campanula rotundifolia,1,1533,,0,0,2,,
77,7/28/20,Campanula rotundifolia,1,1536,,0,0,1,,
77,7/28/20,Campanula rotundifolia,1,1537,,0,0,0,,gone
77,7/28/20,Campanula rotundifolia,1,1548,2,0,1,1,,
77,7/28/20,Campanula rotundifolia,1,1565,,0,0,3,,2 grazed/gone stems; is 1582
77,7/28/20,Campanula rotundifolia,1,1568,,,,,,can't find; is 1548 or 1565 perhaps?
77,7/28/20,Campanula rotundifolia,1,1582,,,,,,is 1565; tag collected
77,7/28/20,Campanula rotundifolia,1,1591,,0,0,1,,
77,7/28/20,Campanula rotundifolia,1,1667,1,0,0,4,,
77,7/28/20,Campanula rotundifolia,1,1694,,0,0,2,,is 1565; tag collected; improve
77,7/28/20,Campanula rotundifolia,2,1506,,0,0,2,,
77,7/28/20,Campanula rotundifolia,2,1513,4,0,0,8,,
77,7/28/20,Campanula rotundifolia,2,1561,,0,0,1,,
77,7/28/20,Campanula rotundifolia,2,1570,,0,0,2,,
77,7/28/20,Campanula rotundifolia,2,1588,,0,0,1,,
77,7/28/20,Campanula rotundifolia,2,1590,1,0,0,2,,
77,7/28/20,Campanula rotundifolia,2,1598,,0,0,1,,
77,7/28/20,Campanula rotundifolia,2,1611,4,0,0,4,,
77,7/28/20,Campanula rotundifolia,2,1669,,0,0,2,,
77,7/28/20,Campanula rotundifolia,2,1679,,0,0,1,,
77,7/28/20,Campanula rotundifolia,3,1541,2,1,0,1,,
77,7/28/20,Campanula rotundifolia,3,1607,2,1,2,1,,1pv
77,7/28/20,Campanula rotundifolia,3,1690,,0,0,2,,mc
77,7/28/20,Campanula rotundifolia,3,1691,,0,0,1,,mc
77,7/28/20,Campanula rotundifolia,3,1692,,0,0,1,,1pv tomorrow
77,7/28/20,Campanula rotundifolia,3,1693,1,0,2,1,,
77,7/28/20,Campanula rotundifolia,3,1695,3,1,0,3,,poll
77,7/28/20,Campanula rotundifolia,3,1698,,0,1,1,,2pv; poll
78,7/28/20,Campanula rotundifolia,3,1700,,0,0,2,,
78,7/28/20,Campanula rotundifolia,5,1549,3,1,1,1,,
78,7/28/20,Campanula rotundifolia,5,1637,,0,0,1,,
78,7/28/20,Campanula rotundifolia,5,1680,,0,0,2,,
78,7/28/20,Campanula rotundifolia,5,1701,,1,0,1,,
78,7/28/20,Campanula rotundifolia,6,1515,3,0,0,3,,
78,7/28/20,Campanula rotundifolia,6,1526,1,0,0,5,,
78,7/28/20,Campanula rotundifolia,6,1563,,1,2,37,,8 stems counted; acc snapped one of these off (it was brown)
78,7/28/20,Campanula rotundifolia,6,1689,2,0,0,2,,
78,7/28/20,Campanula rotundifolia,8,1639,2,0,3,4,,OUTSIDE NE
78,7/28/20,Campanula rotundifolia,9,1613,,0,0,2,,
78,7/28/20,Campanula rotundifolia,9,1658,,0,0,0,,grazed
78,7/28/20,Campanula rotundifolia,9,1661,1,0,0,1,,
78,7/28/20,Campanula rotundifolia,10,1525,1,0,0,1,,
78,7/28/20,Campanula rotundifolia,13,1699,,1,0,1,,
78,7/28/20,Campanula rotundifolia,14,1511,,0,0,4,,countd 2 stems; outside 3r are 0;1;5
78,7/28/20,Campanula rotundifolia,17,1594,,1,4,2,,
78,7/28/20,Campanula rotundifolia,17,1681,,0,0,1,,
78,7/28/20,Campanula rotundifolia,18,1566,,1,2,1,,
78,7/28/20,Campanula rotundifolia,18,1575,1,1,2,1,,
78,7/28/20,Campanula rotundifolia,18,1652,,0,1,1,,
78,7/28/20,Campanula rotundifolia,18,1655,,0,1,1,,many pv
78,7/28/20,Campanula rotundifolia,18,1673,,4,0,3,,
78,7/28/20,Campanula rotundifolia,18,1685,,0,0,2,,
78,7/28/20,Campanula rotundifolia,18,1687,,0,0,2,,mc
78,7/28/20,Campanula rotundifolia,18,1697,,0,0,1,,mc
78,7/28/20,Campanula rotundifolia,19,1657,,0,1,2,,OUTSDE SW; styles…?
78,7/28/20,Campanula rotundifolia,20,1660,,,,,,iggy for 1772
78,7/28/20,Campanula rotundifolia,22,1608,,0,0,1,,1 grazed uncounted stem; 1pv
78,7/28/20,Campanula rotundifolia,22,1643,,0,0,1,,1pv
78,7/28/20,Campanula rotundifolia,22,1654,,0,0,1,,
79,7/28/20,Campanula rotundifolia,22,1656,1,0,0,1,,2 stme are actually 1784; flw data is good
79,7/28/20,Campanula rotundifolia,22,1659,,0,0,1,,
79,7/28/20,Campanula rotundifolia,22,1678,,0,0,2,,
79,7/28/20,Campanula rotundifolia,22,1682,,0,0,2,,
79,7/28/20,Campanula rotundifolia,22,1686,,0,0,1,,
79,7/28/20,Campanula rotundifolia,22,1688,,0,0,2,,
79,7/28/20,Campanula rotundifolia,25,1560,,0,0,0,,
79,7/28/20,Campanula rotundifolia,25,1569,,0,0,0,,grazed? U plant n SE corner is 1;1;0;0
79,7/28/20,Campanula rotundifolia,28,1653,,,,,,iggy; 1776 instead
79,7/28/20,Campanula rotundifolia,31,1502,1,0,0,1,,
79,7/28/20,Campanula rotundifolia,31,1507,,0,0,5,,
79,7/28/20,Campanula rotundifolia,31,1509,,0,0,1,,
79,7/28/20,Campanula rotundifolia,31,1510,,0,0,1,,
79,7/28/20,Campanula rotundifolia,31,1527,,0,0,2,,
79,7/28/20,Campanula rotundifolia,31,1530,,1,0,1,,
79,7/28/20,Campanula rotundifolia,31,1553,,0,0,1,,
79,7/28/20,Campanula rotundifolia,31,1564,,1,0,3,,
79,7/28/20,Campanula rotundifolia,31,1589,,0,0,2,,
79,7/28/20,Campanula rotundifolia,31,1631,,0,0,1,,
79,7/28/20,Campanula rotundifolia,32,1543,,0,0,1,,
79,7/28/20,Campanula rotundifolia,32,1546,,4,2,1,,
79,7/28/20,Campanula rotundifolia,32,1554,,0,1,2,,grazing at 2 spots [on stem?]
79,7/28/20,Campanula rotundifolia,32,1595,,1,1,4,,
79,7/28/20,Campanula rotundifolia,32,1614,,1,1,2,,
79,7/28/20,Campanula rotundifolia,32,1618,3,0,1,3,,
79,7/28/20,Campanula rotundifolia,32,1627,,0,1,1,,
79,7/28/20,Campanula rotundifolia,32,1635,11,4,12,8,,
79,7/28/20,Campanula rotundifolia,32,1649,,0,0,1,,
79,7/28/20,Campanula rotundifolia,32,1651,3,4,1,1,,
79,7/28/20,Campanula rotundifolia,32,1672,,0,0,1,,
79,7/28/20,Campanula rotundifolia,32,1676,2,0,0,1,,
80,7/28/20,Campanula rotundifolia,32,1696,,0,0,1,,
80,7/28/20,Campanula rotundifolia,33,1503,2,1,1,3,,
80,7/28/20,Campanula rotundifolia,33,1508,,0,0,0,,grazed
80,7/28/20,Campanula rotundifolia,33,1516,,0,0,4,,
80,7/28/20,Campanula rotundifolia,33,1518,,0,2,2,,
80,7/28/20,Campanula rotundifolia,33,1521,6,0,1,0,,3 stems grazed; 2pv
80,7/28/20,Campanula rotundifolia,33,1528,,0,2,2,,
80,7/28/20,Campanula rotundifolia,33,1529,,0,3,4,,
80,7/28/20,Campanula rotundifolia,33,1540,1,1,2,1,,
80,7/28/20,Campanula rotundifolia,33,1547,,0,1,2,,
80,7/28/20,Campanula rotundifolia,33,1550,,0,0,2,,1pv
80,7/28/20,Campanula rotundifolia,33,1552,,,,,,can't find
80,7/28/20,Campanula rotundifolia,33,1555,2,0,2,3,,
80,7/28/20,Campanula rotundifolia,33,1558,,1,1,3,,
80,7/28/20,Campanula rotundifolia,33,1576,,0,0,1,,
80,7/28/20,Campanula rotundifolia,33,1578,5,0,4,2,,
80,7/28/20,Campanula rotundifolia,33,1597,,0,0,0,,grazed
80,7/28/20,Campanula rotundifolia,33,1602,,0,0,4,,
80,7/28/20,Campanula rotundifolia,33,1616,1,0,0,1,,
80,7/28/20,Campanula rotundifolia,33,1617,,0,0,1,,
80,7/28/20,Campanula rotundifolia,33,1634,1,1,3,1,,
80,7/28/20,Campanula rotundifolia,33,1640,,0,1,1,,1pv
80,7/28/20,Campanula rotundifolia,33,1641,2,0,1,1,,
80,7/28/20,Campanula rotundifolia,33,1642,1,0,1,1,,
80,7/28/20,Campanula rotundifolia,42,1583,,0,0,1,,
80,7/28/20,Campanula rotundifolia,43,1572,,,,,,can't find
80,7/28/20,Campanula rotundifolia,43,1610,,,,,,gone
80,7/28/20,Campanula rotundifolia,43,1644,1,0,0,1,,loose tag applied to neighbor; ignore?
80,7/28/20,Campanula rotundifolia,43,1646,,,,,,gone
80,7/28/20,Campanula rotundifolia,44,1604,2,1,1,2,,OUTSIDE SW
80,7/28/20,Campanula rotundifolia,45,1531,13,0,0,9,,grazed (2 stems); many buds
81,7/28/20,Campanula rotundifolia,45,1571,,0,0,3,,
81,7/28/20,Campanula rotundifolia,45,1573,,0,0,4,,grazed
81,7/28/20,Campanula rotundifolia,45,1574,,0,0,1,,
81,7/28/20,Campanula rotundifolia,45,1592,2,5,6,1,,
81,7/28/20,Campanula rotundifolia,45,1600,2,0,0,4,,
81,7/28/20,Campanula rotundifolia,45,1601,,0,0,4,,
81,7/28/20,Campanula rotundifolia,45,1606,1,0,0,7,,mc
81,7/28/20,Campanula rotundifolia,45,1624,5,0,2,2,,buds; one stem and seed broke off (counted)
81,7/28/20,Campanula rotundifolia,45,1630,,0,0,2,,
81,7/28/20,Campanula rotundifolia,46,1562,,0,0,3,,
81,7/28/20,Campanula rotundifolia,46,1586,,1,2,5,,
