Page,Date,Species,Plot,Tag,Stms,Fl_straight,Fl_curled,Fl_done,Q,Note
137,8/27/20,Campanula rotundifolia,1,1667,,0,0,2,,
137,8/27/20,Campanula rotundifolia,1,1854,,0,0,2,,
137,8/27/20,Campanula rotundifolia,3,1691,,0,0,3,,
137,8/27/20,Campanula rotundifolia,3,1698,,0,0,7,,
137,8/27/20,Campanula rotundifolia,5,1789,,0,0,1,,
137,8/27/20,Campanula rotundifolia,6,1526,1,0,1,0,,
137,8/27/20,Campanula rotundifolia,6,1563,,,,,,
137,8/27/20,Campanula rotundifolia,8,1639,,0,0,8,,
137,8/27/20,Campanula rotundifolia,18,1655,,0,0,5,,
137,8/27/20,Campanula rotundifolia,18,1673,1,0,0,5,,grazed
137,8/27/20,Campanula rotundifolia,19,1657,,,,,,iggy for 1805
137,8/27/20,Campanula rotundifolia,19,1805,,0,0,1,,
137,8/27/20,Campanula rotundifolia,31,1507,,0,0,2,,
137,8/27/20,Campanula rotundifolia,32,1878,1,0,0,2,x,new? 2nd flow on shorter pedicil; check prev
137,8/27/20,Campanula rotundifolia,33,1641,,0,0,0,,grazed
137,8/27/20,Campanula rotundifolia,33,1735,,0,0,1,,
137,8/27/20,Campanula rotundifolia,33,1890,,0,0,1,,
137,8/27/20,Campanula rotundifolia,50,1771,,,,,,can't find
137,8/27/20,Campanula rotundifolia,50,1811,,0,0,1,,
137,8/27/20,Campanula rotundifolia,64,1674,,0,0,3,,
137,8/27/20,Campanula rotundifolia,67,1829,,0,0,1,,
137,8/27/20,Campanula rotundifolia,71,1512,,0,0,7,,
137,8/27/20,Campanula rotundifolia,71,1580,,0,0,1,x,check prev - mistaken 1?
137,8/27/20,Campanula rotundifolia,74,1638,,0,0,0,x,check prev - grazed
137,8/27/20,Campanula rotundifolia,75,1632,3,0,0,3,x,3 were likely prev missed; 1 white not new; 2 are purple
137,8/27/20,Campanula rotundifolia,78,1884,,,,,,no plant; collected
137,8/27/20,Campanula rotundifolia,83,1755,,0,0,4,,
137,8/27/20,Campanula rotundifolia,86,1625,,0,0,0,,grazed
