Month,Day,Hour,Zenith,Azimuth,Sunrise,sunset
6,22,9,53.4041306722915,88.6637578884544,5.55998700328616,20.5762035010449
6,22,10,41.964671741961,99.0472747985339,5.55998700328616,20.5762035010449
6,22,11,30.9338672446478,113.03171171762,5.55998700328616,20.5762035010449
6,22,12,21.4117222478417,136.008168964211,5.55998700328616,20.5762035010449
6,22,13,16.6203668654777,176.638935483631,5.55998700328616,20.5762035010449
6,22,14,20.3440249056657,219.506018018099,5.55998700328616,20.5762035010449
6,22,15,29.4728272195911,244.486317431965,5.55998700328616,20.5762035010449
6,22,16,40.3861461409113,259.288286506584,5.55998700328616,20.5762035010449
6,23,8,64.852797102569,79.6608040292399,5.56424408578316,20.5793294868551
6,23,9,53.4509223742979,88.6402789692055,5.56424408578316,20.5793294868551
6,23,10,42.0112798285487,99.018185508862,5.56424408578316,20.5793294868551
6,23,11,30.9786528698617,112.986081101842,5.56424408578316,20.5793294868551
6,23,12,21.4493003972024,135.915349243745,5.56424408578316,20.5793294868551
6,23,13,16.6340557184666,176.468425777556,5.56424408578316,20.5793294868551
6,23,14,20.3275961861983,219.367908502416,5.56424408578316,20.5793294868551
6,23,15,29.4434057719678,244.402143383085,5.56424408578316,20.5793294868551
6,23,16,40.3525784283367,259.229331590485,5.56424408578316,20.5793294868551
6,24,8,64.9026769084058,79.6448572796733,5.56898466525636,20.5819415404386
6,24,9,53.5013062450589,88.6240967901518,5.56898466525636,20.5819415404386
6,24,10,42.0615848459898,98.9977754396985,5.56898466525636,20.5819415404386
6,24,11,31.0276590741868,112.951077039362,5.56898466525636,20.5819415404386
6,24,12,21.4923657175392,135.834244850311,5.56898466525636,20.5819415404386
6,24,13,16.65471249173,176.30032211886,5.56898466525636,20.5819415404386
6,24,14,20.3172260328318,219.219773821376,5.56898466525636,20.5819415404386
6,24,15,29.4187414152729,244.307661784772,5.56898466525636,20.5819415404386
6,24,16,40.3231734828204,259.161842417945,5.56898466525636,20.5819415404386
6,25,8,64.9562159489293,79.635317379309,5.57420148659092,20.5840344668799
6,25,9,53.5552100940128,88.6152450083393,5.57420148659092,20.5840344668799
6,25,10,42.1155135122869,98.9860801539984,5.57420148659092,20.5840344668799
6,25,11,31.0808122936372,112.926752324095,5.57420148659092,20.5840344668799
6,25,12,21.5408495597605,135.765008252668,5.57420148659092,20.5840344668799
6,25,13,16.6823192278827,176.135089642008,5.57420148659092,20.5840344668799
6,25,14,20.3129737189337,219.061929747998,5.57420148659092,20.5840344668799
6,25,15,29.3989092395295,244.203008596307,5.57420148659092,20.5840344668799
6,25,16,40.298005573583,259.085900869518,5.57420148659092,20.5840344668799
6,26,8,65.0133421623603,79.6322177554758,5.5798867640415,20.5856034152792
6,26,9,53.6125604823259,88.6137535088294,5.5798867640415,20.5856034152792
6,26,10,42.1729918855745,98.9831294318442,5.5798867640415,20.5856034152792
6,26,11,31.1380387954863,112.913149531761,5.5798867640415,20.5856034152792
6,26,12,21.5946825469889,135.707772013546,5.5798867640415,20.5856034152792
6,26,13,16.7168542649725,175.973187786937,5.5798867640415,20.5856034152792
6,26,14,20.3148977740917,218.89471810856,5.5798867640415,20.5856034152792
6,26,15,29.3839856560601,244.088336005688,5.5798867640415,20.5856034152792
6,26,16,40.277150347784,259.001598402973,5.5798867640415,20.5856034152792
6,27,8,65.0739814094206,79.6355893708915,5.58603216024785,20.5866438669388
6,27,9,53.6732824275879,88.6196486175983,5.58603216024785,20.5866438669388
6,27,10,42.233945069475,98.9889475926198,5.58603216024785,20.5866438669388
6,27,11,31.1992644169689,112.910301571915,5.58603216024785,20.5866438669388
6,27,12,21.6537944241611,135.662649645524,5.58603216024785,20.5866438669388
6,27,13,16.7582921780727,175.815069550631,5.58603216024785,20.5866438669388
6,27,14,20.3230558624746,218.718507006121,5.58603216024785,20.5866438669388
6,27,15,29.3740484529372,243.963813106577,5.58603216024785,20.5866438669388
6,27,16,40.2606849845207,258.909036579418,5.58603216024785,20.5866438669388
6,28,8,65.1380570421967,79.6454608906932,5.59262875227527,20.5871516144078
6,28,9,53.7372989718978,88.6329533045636,5.59262875227527,20.5871516144078
6,28,10,42.2982967933777,99.0035537920782,5.59262875227527,20.5871516144078
6,28,11,31.2644141719115,112.918232233551,5.59262875227527,20.5871516144078
6,28,12,21.7181137734977,135.62973657563,5.59262875227527,20.5871516144078
6,28,13,16.8066036251364,175.661181095825,5.59262875227527,20.5871516144078
6,28,14,20.3375046088994,218.533691255751,5.59262875227527,20.5871516144078
6,28,15,29.3691768276484,243.829626794376,5.59262875227527,20.5871516144078
6,28,16,40.2486883369167,258.808327768878,5.59262875227527,20.5871516144078
6,29,8,65.205489409082,79.6618587622409,5.59966698568349,20.5871227425992
6,29,9,53.8045306899279,88.6536872893145,5.59966698568349,20.5871227425992
6,29,10,42.3659689229613,99.0269622185649,5.59966698568349,20.5871227425992
6,29,11,31.3334117848621,112.936956616217,5.59966698568349,20.5871227425992
6,29,12,21.7875676453551,135.609111030949,5.59966698568349,20.5871227425992
6,29,13,16.8617551094672,175.511961339179,5.59966698568349,20.5871227425992
