Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Q,Page,Note
8/31/21,2,1785,2,0,9,,76,
8/31/21,10,1750,3,1,13,,76,
8/31/21,10,1889,4,0,23,i,76,
8/31/21,16,1814,2,0,2,i,76,prev note about 1889 open on 8/23 was about this plant
8/31/21,17,1685,1,0,1,,76,
8/31/21,17,1832,11,0,37,,76,
8/31/21,20,1643,2,0,5,,76,
8/31/21,21,1681,1,1,1,,76,
8/31/21,29,1676,2,0,6,,76,
8/31/21,38,1570,1,0,1,,76,
8/31/21,38,1630,1,0,3,,76,
8/31/21,53,1825,,,,,76,
8/31/21,55,1525,,,,,76,
8/31/21,55,1536,1,0,1,,76,
8/31/21,63,1591,1,0,1,,76,
8/31/21,67,1904,4,0,15,,76,
8/31/21,70,1533,1,0,5,,76,pv
8/31/21,72,1627,,,,,76,grazed
8/31/21,74,1714,3,0,8,,76,
