Date,Plot,Tag,Fl_Stems,Fl_Open,Fl_Done,Toothpick,Q,Page,Note
7/5/21,2,1011,1,0,2,r,,28,grazing?
7/5/21,2,1160,1,1,0,x,,28,
7/5/21,2,1291,2,6,0,wg,,28,
7/5/21,4,1186,1,0,2,w,,28,
7/5/21,5,1159,2,0,5,wb,,28,
7/5/21,6,1138,0,0,0,w,,28,grazed
7/5/21,6,1152,2,0,14,,,28,
7/5/21,6,1300,0,0,0,r,,28,grazed
7/5/21,7,1136,1,0,5,,,28,
7/5/21,7,1144,1,0,3,,,28,
7/5/21,7,1198,1,0,6,yw,,28,
7/5/21,8,1153,1,0,8,o,,28,
7/5/21,8,1168,1,0,1,b,,28,
7/5/21,8,1201,1,0,1,gg,,28,
7/5/21,8,1205,1,1,6,,,28,
7/5/21,8,1288,1,4,5,gg,,28,
7/5/21,9,1049,2,7,9,w,,28,
7/5/21,9,1218,1,7,1,y,,28,
7/5/21,9,1316,1,10,0,,,28,
7/5/21,10,1217,2,0,10,,,28,
7/5/21,20,1196,1,1,0,,,28,
7/5/21,21,1172,2,1,7,w,,28,
7/5/21,24,1192,1,2,0,b,,28,
7/5/21,25,1083,1,2,0,yw,,28,
7/5/21,27,1202,1,0,4,o,,28,
7/5/21,28,1158,1,0,3,,,28,
7/5/21,28,1286,2,0,15,w,c,29,prev?
7/5/21,34,1124,1,0,7,,,29,
7/5/21,36,1051,1,0,2,y,,29,
7/5/21,37,1082,1,0,1,b,,29,
7/5/21,37,1190,2,0,8,,,29,
7/5/21,37,1310,1,0,1,,,29,
7/5/21,37,1312,1,0,8,,,29,incl. an empty calyx
7/5/21,38,1224,1,4,6,bo,,29,
7/5/21,57,1057,1,0,3,ww,,29,
7/5/21,57,1251,1,2,3,y,,29,
7/5/21,58,1080,1,0,2,ww,,29,
7/5/21,58,1188,1,1,4,w,,29,
7/5/21,59,1055,1,0,1,y,,29,
7/5/21,59,1147,1,0,6,o,,29,
7/5/21,59,1199,1,0,10,r,,29,
7/5/21,59,1301,2,0,25,g,,29,
7/5/21,60,1100,1,0,1,go,,29,
7/5/21,60,1178,0,0,0,wg,,29,yv
7/5/21,60,1249,1,3,2,yg,,29,
7/5/21,60,1274,0,0,0,wo,,29,yv
7/5/21,62,1031,1,0,2,g,,29,
7/5/21,62,1040,1,0,4,wgb,,29,
7/5/21,62,1060,1,0,8,,,29,
7/5/21,62,1065,1,0,2,wyr,,29,
7/5/21,62,1068,1,1,2,wry,c/i,29,check tp - is same as 1065?
7/5/21,62,1070,1,1,10,ggg,,29,
7/5/21,62,1084,2,0,10,www,,29,
