Harvest_Date,Plot,Tag,Fruit_Pres,Fruit_Coll,Return,Page,Harvest_Note
7/29/21,2,1291,6,4,FALSE,H7,
7/29/21,4,1186,2,2,FALSE,H7,
7/29/21,9,1049,5,,FALSE,H7,1 inflorescence brown/dry - aborted?
7/29/21,9,1316,,,TRUE,H7,not ready
7/29/21,20,1196,1,1,FALSE,H7,
7/29/21,34,1124,0,0,FALSE,H7,gotten
7/29/21,57,1251,5,4,FALSE,H7,
7/29/21,60,1178,0,0,FALSE,H7,
7/29/21,60,1274,4,2,FALSE,H7,
7/29/21,62,1068,3,2,FALSE,H7,
7/29/21,62,1126,0,0,FALSE,H7,
7/29/21,62,1150,8,7,FALSE,H7,
7/29/21,62,1194,16,15,FALSE,H7,
7/29/21,71,1019,10,10,FALSE,H7,
7/29/21,73,1069,2,2,FALSE,H7,small collected was found detached
7/29/21,74,1043,7,6,FALSE,H7,
7/29/21,74,1071,11,10,FALSE,H7,
7/29/21,74,1073,7,6,FALSE,H7,
7/29/21,74,1233,12,8,FALSE,H7,
7/29/21,74,1240,7,4,FALSE,H7,
