Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Q,Page,Note
8/5/21,1,1725,1,0,1,,57,bud
8/5/21,1,1797,2,2,0,,57,
8/5/21,2,1564,1,1,0,,57,2pv
8/5/21,2,1803,3,1,2,,57,pv
8/5/21,3,1665,1,0,1,,57,
8/5/21,3,1811,1,0,1,,57,
8/5/21,3,1835,1,0,1,,57,pv
8/5/21,6,1561,3,1,9,,57,
8/5/21,6,1585,1,0,1,,57,pv
8/5/21,6,1669,,,,,57,gone?
8/5/21,6,1802,1,1,0,,57,
8/5/21,6,1818,2,1,5,,57,
8/5/21,6,1848,3,0,4,,57,
8/5/21,6,1894,1,0,4,,57,
8/5/21,6,1903,2,1,2,,57,
8/5/21,7,1625,,,,,57,
8/5/21,7,1730,4,0,4,,57,
8/5/21,7,1822,1,1,2,,57,
8/5/21,7,1864,,,,,57,was collected
8/5/21,7,1870,4,0,4,,57,2pv
8/5/21,7,1885,6,1,5,,57,
8/5/21,7,1888,2,2,2,,57,
8/5/21,7,1891,1,1,1,,57,pv
8/5/21,10,1620,2,1,3,,57,
8/5/21,10,1727,1,0,1,,57,
8/5/21,10,1750,3,2,1,,57,3pv
8/5/21,10,1798,9,5,5,,57,
8/5/21,10,1800,1,0,1,,57,pv
8/5/21,10,1889,3,3,2,,57,3pv
8/5/21,17,1626,1,1,1,,57,pv
8/5/21,7,1673,1,1,0,,58,is plot 7; bud
8/5/21,17,1746,4,1,10,,58,pv
8/5/21,17,1832,11,3,23,,58,pv
8/5/21,20,1643,2,2,0,,58,
8/5/21,23,1507,1,0,1,,58,pv
8/5/21,23,1549,1,0,1,,58,pv
8/5/21,23,1691,1,1,0,,58,bud
8/5/21,25,1867,1,1,0,,58,
8/5/21,26,1901,,,,,58,iggy
8/5/21,28,1721,1,1,0,,58,
8/5/21,34,1569,1,0,1,,58,bud
8/5/21,34,1663,0,0,0,,58,pv
8/5/21,37,1780,2,0,4,,58,
8/5/21,37,1794,2,3,1,,58,
8/5/21,38,1502,,,,,58,can't find
8/5/21,38,1630,2,3,2,,58,one stem grazed
8/5/21,38,1678,1,1,0,,58,
8/5/21,38,1808,1,1,0,,58,
8/5/21,42,1709,,,,,58,gone
8/5/21,42,1793,,,,,58,gone
8/5/21,42,1845,,,,,58,tag found unattached and collected
8/5/21,42,1579,3,0,3,i,58,new tag; was 1858 now is 1579
8/5/21,45,1883,3,4,7,,58,
8/5/21,53,1682,1,1,0,,58,pv
8/5/21,53,1775,2,1,1,i,58,new tag; was 1732 now 1775; pv
8/5/21,53,1856,,,,,58,
8/5/21,53,1857,2,0,2,,58,
8/5/21,53,1860,,,,,58,can't find
8/5/21,53,1882,2,0,2,,58,
8/5/21,53,1892,,,,,58,can't find
8/5/21,53,1906,,,,,58,
8/5/21,53,1907,,,,,59,
8/5/21,53,1910,,,,,59,
8/5/21,57,1530,,,,,59,gone
8/5/21,57,1789,,,,,59,gone; collected
8/5/21,58,1553,2,2,0,,59,
8/5/21,58,1639,,,,,59,can't find
8/5/21,66,1557,1,0,1,,59,
8/5/21,66,1875,2,0,2,,59,
8/5/21,67,1904,4,3,4,,59,2pv
8/5/21,70,1589,2,1,1,,59,pv
8/5/21,70,1594,,,,,59,can't find
8/5/21,70,1790,,,,,59,can't find
8/5/21,70,1841,1,0,1,,59,pv
8/5/21,71,1708,,,,,59,can't find
8/5/21,71,1712,1,1,0,,59,
8/5/21,71,1768,2,2,0,,59,
8/5/21,71,1779,1,0,2,,59,
8/5/21,71,1807,2,1,2,,59,
8/5/21,71,1809,2,1,2,,59,pv
8/5/21,71,1820,,,,,59,
8/5/21,71,1833,,,,,59,can't find
8/5/21,71,1837,,,,,59,can't find
8/5/21,71,1839,,,,,59,can't find
8/5/21,71,1844,,,,,59,can't find
8/5/21,72,1506,1,1,0,,59,
8/5/21,72,1627,0,0,0,,59,2pv
8/5/21,72,1696,0,0,0,,59,pv; two grazed stems
8/5/21,74,1714,1,0,3,,59,bud
8/5/21,74,1895,,,,,59,can't find
8/5/21,74,1905,1,1,2,,59,
8/5/21,79,1614,1,1,0,,59,
8/5/21,79,1684,,,,,60,can't find
8/5/21,79,1824,2,0,2,,60,
8/5/21,82,1604,3,1,2,,60,
8/5/21,82,1742,2,1,2,,60,
8/5/21,82,1806,4,1,3,,60,
8/5/21,82,1825,1,2,3,,60,
