Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Q,Page,Note
8/2/21,1,1636,1,0,1,,53,
8/2/21,1,1731,1,0,1,,53,
8/2/21,1,1797,1,1,0,,53,
8/2/21,2,1803,3,2,1,,53,
8/2/21,3,1665,1,1,0,,53,
8/2/21,3,1805,1,0,1,,53,
8/2/21,3,1811,1,0,1,,53,
8/2/21,3,1835,1,0,1,,53,pv
8/2/21,6,1561,2,0,9,,53,pv
8/2/21,6,1585,1,0,1,,53,pv
8/2/21,6,1669,,,,,53,gone
8/2/21,6,1818,2,1,4,,53,pv
8/2/21,6,1848,3,1,3,,53,
8/2/21,6,1894,1,2,2,,53,
8/2/21,6,1903,2,1,1,,53,pv
8/2/21,7,1625,2,2,3,,53,merged w/ 1865
8/2/21,7,1647,2,0,2,i,53,prev entry error (282 should be 202)
8/2/21,7,1683,1,0,1,,53,
8/2/21,7,1730,5,0,5,,53,merge w/ 1864
8/2/21,7,1822,1,1,2,,53,
8/2/21,7,1864,,,,m,53,is 1730; collected; merge
8/2/21,7,1870,4,1,4,,53,
8/2/21,7,1885,6,3,3,,53,
8/2/21,7,1888,2,0,2,,53,pv
8/2/21,7,1891,1,1,1,,53,
8/2/21,8,1559,1,0,1,,53,
8/2/21,10,1620,2,2,2,,53,pv
8/2/21,10,1727,1,1,0,,53,
8/2/21,10,1750,3,3,0,,53,2pv
8/2/21,10,1798,8,4,4,,53,pv
8/2/21,10,1800,1,1,0,,54,
8/2/21,10,1889,3,2,2,,54,2pv
8/2/21,17,1626,1,0,1,,54,pv
8/2/21,17,1673,,,,c,54,can't find; check
8/2/21,17,1746,4,1,10,,54,
8/2/21,17,1832,12,12,20,,54,pv
8/2/21,23,1507,1,0,1,,54,bud
8/2/21,23,1549,1,1,0,,54,
8/2/21,26,1901,,,,,54,iggy
8/2/21,34,1569,1,0,1,,54,bud
8/2/21,37,1780,2,0,4,,54,
8/2/21,37,1794,1,0,1,,54,pv
8/2/21,38,1502,,,,,54,gone; collected
8/2/21,38,1630,3,2,2,,54,pv
8/2/21,38,1808,1,1,0,,54,
8/2/21,42,1709,,,,,54,uprooted; collected
8/2/21,42,1793,,,,,54,found unattached; gone; collected
8/2/21,42,1858,3,0,3,,54,pv
8/2/21,45,1883,3,5,4,,54,
8/2/21,53,1732,2,2,0,,54,buds
8/2/21,53,1796,1,0,1,,54,
8/2/21,53,1826,1,0,1,,54,
8/2/21,53,1856,,,,,54,
8/2/21,53,1857,2,0,2,,54,
8/2/21,53,1860,1,0,1,,54,
8/2/21,53,1882,2,0,2,,54,bud
8/2/21,53,1892,1,0,1,,54,
8/2/21,53,1906,,,,,54,
8/2/21,53,1907,,,,,54,
8/2/21,53,1910,,,,,54,
8/2/21,57,1530,0,0,0,,54,grazed
8/2/21,58,1553,2,2,0,,55,
8/2/21,58,1639,,,,,55,uprooted; collected
8/2/21,66,1557,1,0,1,,55,
8/2/21,66,1853,1,0,1,,55,
8/2/21,66,1875,2,0,2,,55,
8/2/21,67,1904,4,3,2,,55,stem grazed; 3pv
8/2/21,70,1589,2,1,1,,55,pv
8/2/21,70,1594,,,,,55,found unattached; collected
8/2/21,70,1790,,,,,55,can't find
8/2/21,70,1841,1,0,1,,55,pv
8/2/21,70,1887,0,0,0,,55,grazed
8/2/21,71,1708,,,,,55,tag chewed and unattached; collected
8/2/21,71,1779,1,0,2,,55,
8/2/21,71,1807,2,1,1,,55,pv
8/2/21,71,1809,2,1,1,,55,pv
8/2/21,71,1820,,,,,55,
8/2/21,71,1833,,,,,55,can't find; likely destroyed
8/2/21,71,1837,,,,,55,can't find; likely destroyed
8/2/21,71,1839,,,,,55,found unattached; collected
8/2/21,71,1844,,,,,55,
8/2/21,74,1714,1,0,3,,55,bud
8/2/21,74,1895,,,,,55,can't find
8/2/21,74,1905,1,1,2,c,55,entry error? Check
8/2/21,79,1614,1,1,0,,55,
8/2/21,79,1684,,,,,55,found broken and unattached [collected?]
8/2/21,79,1824,2,0,2,,55,
8/2/21,82,1604,3,1,2,,55,
8/2/21,82,1742,2,0,2,q,55,[prev note?]; pv
8/2/21,82,1806,4,2,2,,55,
8/2/21,82,1825,1,2,3,,55,
8/2/21,82,1886,1,0,1,,55,
