"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_note"
,1,1725,,,,,"1;0;1","old tag; bud"
,1,1797,,,,,"1;1;0",""
,2,1564,,,,,"1;1;0","2pv"
,2,1803,,,,,"3;2;1",""
,3,1665,,,,,"1;1;0",""
,3,1811,,,,,"1;0;1",""
,3,1835,,,,,"1;0;1","pv"
,6,1561,,,,,"2;0;9","pv"
,6,1585,,,,,"1;0;1","pv"
,6,1669,,,,,"0;0;0","grazed"
,6,1802,,,,,"0;0;0","pv"
,6,1818,,,,,"2;1;4","pv"
,6,1848,,,,,"3;1;3",""
,6,1894,,,,,"1;2;2",""
,6,1903,,,,,"2;1;1","pv"
,7,1625,,,,,"2;2;3","merged w/ 1865"
,7,1730,,,,,"5;0;5","merge w/ 1864"
,7,1822,,,,,"1;1;2",""
,7,1864,,,,,"2;1;2",""
,7,1870,,,,,"4;1;4",""
,7,1885,,,,,"6;3;3",""
,7,1888,,,,,"2;0;2","pv"
,7,1891,,,,,"1;1;1",""
,10,1620,,,,,"2;2;2","pv"
,10,1727,,,,,"1;1;0",""
,10,1750,,,,,"3;3;0","2pv"
,10,1798,,,,,"8;4;4","pv"
,10,1800,,,,,"1;1;0",""
,10,1889,,,,,"3;2;2","2pv"
,17,1626,,,,,"1;0;1","pv"
,17,1673,,,,,"NA;NA;NA","can't find; check"
,17,1746,,,,,"4;1;10",""
,17,1832,,,,,"12;12;20","pv"
,20,1643,,,,,"1;1;0","pv"
,23,1507,,,,,"1;0;1","bud"
,23,1549,,,,,"1;1;0",""
,23,1691,,,,,"1;1;0",""
,25,1867,,,,,"0;0;0","pv"
,26,1901,,,,,"0;0;0","pv"
,28,1721,,,,,"0;0;0","2pv"
,34,1569,,,,,"1;0;1","bud"
,34,1663,,,,,"0;0;0","pv"
,37,1780,,,,,"2;0;4",""
,37,1794,,,,,"1;0;1","pv"
,38,1502,,,,,"1;0;1",""
,38,1630,,,,,"3;2;2","pv"
,38,1678,,,,,"1;1;0","pv"
,38,1808,,,,,"1;1;0",""
,42,1709,,,,,"0;0;0","pv"
,42,1793,,,,,"1;1;0","pv"
,42,1845,,,,,"0;0;0","pv"
,42,1858,,,,,"3;0;3","pv"
,45,1883,,,,,"3;5;4",""
,53,1682,,,,,"1;1;0","pv"
,53,1732,,,,,"2;2;0","buds"
,53,1856,,,,,"NA;NA;NA",""
,53,1857,,,,,"2;0;2",""
,53,1860,,,,,"1;0;1",""
,53,1882,,,,,"2;0;2","bud"
,53,1892,,,,,"1;0;1",""
,53,1906,,,,,"NA;NA;NA",""
,53,1907,,,,,"NA;NA;NA",""
,53,1910,,,,,"NA;NA;NA",""
,57,1530,,,,,"0;0;0","grazed"
,57,1789,,,,,"0;0;0","pv"
,58,1553,,,,,"2;2;0",""
,58,1639,,,,,"1;1;0","2pv"
,66,1557,,,,,"1;0;1",""
,66,1875,,,,,"2;0;2",""
,67,1904,,,,,"4;3;2","stem grazed; 3pv"
,70,1589,,,,,"2;1;1","pv"
,70,1594,,,,,"0;0;0","2pv"
,70,1790,,,,,"NA;NA;NA","can't find"
,70,1841,,,,,"1;0;1","pv"
,71,1708,,,,,"1;1;1","pv; old tag; improve?"
,71,1712,,,,,"1;1;0",""
,71,1768,,,,,"2;2;0","regrowth of grazed stems but no old tag"
,71,1779,,,,,"1;0;2",""
,71,1807,,,,,"2;1;1","pv"
,71,1809,,,,,"2;1;1","pv"
,71,1820,,,,,"NA;NA;NA",""
,71,1833,,,,,"NA;NA;NA","can't find; likely destroyed"
,71,1837,,,,,"NA;NA;NA","can't find; likely destroyed"
,71,1839,,,,,"2;1;1",""
,71,1844,,,,,"NA;NA;NA",""
,72,1506,,,,,"0;0;0","pv"
,72,1627,,,,,"0;0;0","pv"
,72,1696,,,,,"0;0;0","pv"
,74,1714,,,,,"1;0;3","bud"
,74,1895,,,,,"NA;NA;NA","can't find"
,74,1905,,,,,"1;1;2","entry error? Check"
,79,1614,,,,,"1;1;0",""
,79,1684,,,,,"0;0;0","3pv"
,79,1824,,,,,"2;0;2",""
,82,1604,,,,,"3;1;2",""
,82,1742,,,,,"2;0;2","[prev note?]; pv"
,82,1806,,,,,"4;2;2",""
,82,1825,,,,,"1;2;3",""
