"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,2,1564,,,,,"2;1;2",2021-08-31,""
,10,1750,,,,,"3;1;13",2021-08-31,""
,10,1889,,,,,"4;0;23",2021-08-31,""
,16,1814,,,,,"2;0;2",2021-08-31,"prev note about 1889 open on 8/23 was about this plant"
,17,1685,,,,,"1;0;1",2021-08-31,""
,21,1681,,,,,"1;1;1",2021-08-31,""
,29,1676,,,,,"2;0;6",2021-08-31,""
,39,,,,,,"0;0;0",2021-08-31,"pv; add tag when added"
,55,1536,,,,,"1;0;1",2021-08-31,""
,70,1533,,,,,"1;0;5",2021-08-31,"pv"
,72,1627,,,,,"NA;NA;NA",2021-08-31,"grazed"
,74,1714,,,,,"3;0;8",2021-08-31,""
