"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
2,1011,"r",,,,,,"6/28/21","0;0;0","","yv"
2,1160,"x",,,,,,"6/28/21","0;0;0","","yv"
4,1186,"w",,,,,,"6/28/21","1;1;0","",""
5,1159,"wb",,,,,,"6/28/21","2;5;0","",""
6,1128,"",,,,,"done","6/28/21","1;0;3","",""
6,1211,"",,,,,"done","6/28/21","1;0;4","",""
6,1138,"w",,,,,,"6/28/21","1;3;0","",""
6,1149,"gw",,,,,,"6/28/21","0;0;0","","yv"
6,1152,"",,,,,,"6/28/21","1;7;4","","yv"
6,1165,"ww",,,,,,"6/28/21","1;0;2","",""
6,1300,"r",,,,,,"6/28/21","1;5;0","",""
7,1136,"",,,,,,"6/28/21","1;4;0","",""
7,1144,"",,,,,,"6/28/21","1;5;1","",""
7,1198,"yw",,,,,,"6/28/21","1;2;0","",""
7,1210,"",,,,,,"6/28/21","1;1;0","",""
8,1139,"",,,,,"done","6/28/21","1;0;2","",""
8,1143,"",,,,,"done","6/28/21","1;0;2","",""
8,1157,"",,,,,"done","6/28/21","1;0;1","",""
8,1313,"",,,,,"done","6/28/21","1;0;2","",""
8,1153,"o",,,,,,"6/28/21","1;5;0","",""
8,1168,"b",,,,,,"6/28/21","1;1;0","",""
8,1201,"gg",,,,,,"6/28/21","1;1;0","","yv"
8,1205,"",,,,,,"6/28/21","2;5;0","",""
8,1307,"wro",,,,,,"6/28/21","1;0;2","i",""
9,1049,"w",,,,,,"6/28/21","1;6;0","","yv"
9,1218,"y",,,,,,"6/28/21","0;0;0","","yv"
9,1316,"",,,,,,"6/28/21","0;0;0","","yv"
10,1217,"",,,,,,"6/28/21","2;11;0","",""
20,1196,"",,,,,,"6/28/21","0;0;0","","yv"
21,1172,"w",,,,,,"6/28/21","2;7;0","",""
24,1192,"b",,,,,,"6/28/21","1;2;0","",""
27,1202,"o",,,,,,"6/28/21","1;4;0","",""
28,1158,"",,,,,,"6/28/21","1;3;0","",""
28,1286,"w",,,,,,"6/28/21","2;9;0","",""
34,1124,"",,,,,,"6/28/21","1;6;0","",""
36,1051,"y",,,,,,"6/28/21","1;2;0","",""
37,1140,"",,,,,"done","6/28/21","1;0;2","",""
37,1148,"rg",,,,,"done","6/28/21","0;0;0","",""
37,1185,"",,,,,"done","6/28/21","0;0;0","",""
37,1082,"b",,,,,,"6/28/21","0;0;0","","yv"
37,1137,"",,,,,,"6/28/21","1;2;10","",""
37,1190,"",,,,,,"6/28/21","1;5;3","",""
37,1310,"",,,,,,"6/28/21","1;1;0","",""
37,1312,"",,,,,,"6/28/21","1;7;4","","one done fl lost (counted) fell off"
38,1224,"bo",,,,,,"6/28/21","1;4;0","",""
57,1057,"ww",,,,,,"6/28/21","1;1;0","",""
57,1251,"y",,,,,,"6/28/21","0;0;0","","yv"
58,1080,"ww",,,,,,"6/28/21","0;0;0","","yv"
58,1188,"w",,,,,,"6/28/21","0;0;0","","yv"
59,1025,"w",,,,,"done","6/28/21","0;0;0","",""
59,1055,"y",,,,,,"6/28/21","1;1;0","",""
59,1142,"ww",,,,,,"6/28/21","1;2;5","",""
59,1145,"b",,,,,,"6/28/21","2;5;3","",""
59,1147,"o",,,,,,"6/28/21","1;6;0","",""
59,1199,"r",,,,,,"6/28/21","1;9;0","",""
59,1301,"g",,,,,,"6/28/21","3;23;4","",""
60,1100,"go",,,,,,"6/28/21","1;1;0","",""
60,1249,"yg",,,,,,"6/28/21","0;0;0","","yv"
62,1045,"ww",,,,,"done","6/28/21","1;0;2","",""
62,1255,"rr",,,,,"done","6/28/21","1;0;2","",""
62,1040,"wgb",,,,,,"6/28/21","1;1;4","",""
62,1060,"",,,,,,"6/28/21","1;4;0","",""
62,1065,"wyr",,,,,,"6/28/21","1;3;0","",""
62,1070,"ggg",,,,,,"6/28/21","1;2;0","",""
62,1084,"www",,,,,,"6/28/21","2;6;2","",""
62,1126,"",,,,,,"6/28/21","0;0;0","i","yv; tp is o (possibly w)"
62,1134,"",,,,,,"6/28/21","2;7;6","",""
62,1150,"",,,,,,"6/28/21","1;1;4","",""
62,1151,"",,,,,,"6/28/21","2;4;5","",""
62,1166,"wrb",,,,,,"6/28/21","1;7;0","",""
62,1181,"",,,,,,"6/28/21","1;4;0","","cf other stem"
62,1194,"wgr",,,,,,"6/28/21","4;21;6","","counted one lost done fl (fell off)"
62,1220,"yo",,,,,,"6/28/21","1;8;4","",""
62,1260,"wo",,,,,,"6/28/21","1;1;1","",""
62,1276,"wry",,,,,,"6/28/21","2;9;3","",""
62,1315,"b",,,,,,"6/28/21","1;0;2","",""
66,1269,"b",,,,,,"6/28/21","0;0;0","","yv"
66,1306,"y",,,,,,"6/28/21","0;0;0","","yv"
70,1032,"y",,,,,,"6/28/21","2;4;0","",""
70,1248,"wr",,,,,,"6/28/21","1;5;0","",""
71,1005,"wro",,,,,,"6/28/21","0;0;0","","yv"
71,1016,"bo",,,,,,"6/28/21","1;2;0","",""
71,1019,"y",,,,,,"6/28/21","0;0;0","","yv"
71,1041,"yr",,,,,,"6/28/21","2;4;1","",""
71,1050,"wggr",,,,,,"6/28/21","2;4;9","",""
71,1052,"r",,,,,,"6/28/21","1;4;1","",""
71,1078,"rro",,,,,,"6/28/21","1;5;0","",""
71,1106,"yy",,,,,,"6/28/21","2;6;2","","yv"
71,1289,"ygg",,,,,,"6/28/21","1;4;0","",""
71,1308,"oy",,,,,,"6/28/21","1;5;4","",""
73,1127,"",,,,,"done","6/28/21","1;0;5","",""
73,1133,"",,,,,"done","6/28/21","1;0;5","",""
73,1135,"wb",,,,,"done","6/28/21","1;0;4","",""
73,1039,"ygo",,,,,,"6/28/21","1;5;1","",""
73,1067,"wr",,,,,,"6/28/21","1;2;0","",""
73,1103,"or",,,,,,"6/28/21","3;11;8","",""
73,1107,"",,,,,,"6/28/21","1;1;3","",""
73,1108,"y",,,,,,"6/28/21","1;3;2","","broke open flower off (counted)"
73,1132,"",,,,,,"6/28/21","1;2;4","",""
73,1280,"rr",,,,,,"6/28/21","1;2;6","",""
74,1007,"yyy",,,,,,"6/28/21","1;5;0","",""
74,1009,"x",,,,,,"6/28/21","2;11;0","",""
74,1021,"wb",,,,,,"6/28/21","1;5;1","",""
74,1033,"y",,,,,,"6/28/21","2;4;0","",""
74,1043,"wy",,,,,,"6/28/21","1;8;0","",""
74,1046,"bb",,,,,,"6/28/21","5;27;4","",""
74,1054,"",,,,,,"6/28/21","1;3;5","",""
74,1055,"w",,,,,,"6/28/21","1;5;0","",""
74,1056,"ry",,,,,,"6/28/21","2;5;3","",""
74,1058,"wg",,,,,,"6/28/21","NA;NA;NA","","cf"
74,1071,"by",,,,,,"6/28/21","2;13;2","",""
74,1073,"oo",,,,,,"6/28/21","0;0;0","","yv"
74,1088,"wwb",,,,,,"6/28/21","1;1;0","",""
74,1113,"bo",,,,,,"6/28/21","1;3;0","",""
74,1122,"",,,,,,"6/28/21","1;5;5","",""
74,1129,"bwo",,,,,,"6/28/21","1;6;0","q","check b tp date; is 1046?"
74,1131,"",,,,,,"6/28/21","2;9;3","",""
74,1200,"wwg",,,,,,"6/28/21","1;6;0","",""
74,1223,"rob",,,,,,"6/28/21","1;5;5","",""
74,1227,"",,,,,,"6/28/21","1;3;0","",""
74,1233,"www",,,,,,"6/28/21","4;19;1","",""
74,1258,"ro",,,,,,"6/28/21","1;4;1","","stem seriously kinked"
74,1281,"x",,,,,,"6/28/21","0;0;0","","yv"
74,1297,"ww",,,,,,"6/28/21","2;14;1","",""
75,1079,"b",,,,,,"6/28/21","0;0;0","","yv"
76,1010,"rr",,,,,,"6/28/21","0;0;0","","yv"
76,1013,"b",,,,,,"6/28/21","1;6;0","",""
76,1077,"bo",,,,,,"6/28/21","0;0;0","","yv"
76,1094,"ww",,,,,,"6/28/21","1;2;0","",""
76,1119,"rg",,,,,,"6/28/21","1;1;0","",""
76,1284,"wb",,,,,,"6/28/21","1;4;0","",""
79,1283,"bo",,,,,,"6/28/21","1;3;0","",""
