"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_note"
,6,1561,,,,,"2;3;2",""
,6,1585,,,,,"1;1;0",""
,6,1669,,,,,"0;0;0","grazed"
,6,1818,,,,,"2;1;1","pv"
,6,1848,,,,,"1;1;0",""
,6,1903,,,,,"1;0;1","bud"
,7,1625,,,,,"2;1;1","bud"
,7,1647,,,,,"2;2;0",""
,7,1683,,,,,"0;0;0","pv"
,7,1730,,,,,"1;1;0",""
,7,1751,,,,,"3;3;0","old tag"
,7,1822,,,,,"1;0;1","bud"
,7,1865,,,,,"1;1;0",""
,7,1870,,,,,"1;1;0","3pv"
,7,1888,,,,,"2;1;1",""
,7,1891,,,,,"1;1;0",""
,10,1620,,,,,"0;0;0","pv"
,17,1626,,,,,"1;0;1","bud"
,17,1746,,,,,"4;2;2","2pv"
,17,1832,,,,,"5;4;2","pv"
,26,1901,,,,,"0;0;0","pv"
,34,1569,,,,,"0;0;0","pv"
,37,1780,,,,,"2;1;2",""
,37,1900,,,,,"2;1;1",""
,38,1630,,,,,"0;0;0","pv"
,53,1629,,,,,"0;0;0","pv"
,53,1856,,,,,"2;2;0",""
,53,1876,,,,,"2;2;0",""
,53,1882,,,,,"2;1;1",""
,53,1906,,,,,"0;0;0","4pv"
,53,1907,,,,,"6;5;1",""
,53,1910,,,,,"1;1;0","2pv"
,66,1875,,,,,"0;0;0","pv; almost open"
,67,1904,,,,,"1;1;0","2pv; uncounted pv snapped @ stem"
,71,1779,,,,,"1;0;1","prev; bud"
,71,1809,,,,,"2;0;2",""
,71,1839,,,,,"2;2;0",""
,71,1902,,,,,"1;1;0",""
,71,1909,,,,,"1;0;1",""
,73,1720,,,,,"3;0;3",""
,73,1810,,,,,"1;0;1",""
,74,1714,,,,,"1;1;0",""
,74,1895,,,,,"0;0;0","pv"
,74,1905,,,,,"3;3;2",""
,82,1604,,,,,"0;0;0","pv"
,82,1742,,,,,"0;0;0","pv"
,82,1806,,,,,"0;0;0","pv"
,82,1825,,,,,"2;2;0",""
