"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,2,1785,,,,,"2;5;4",2021-08-20,""
,3,1537,,,,,"1;0;1",2021-08-20,""
,6,1561,,,,,"3;0;11",2021-08-20,""
,7,1673,,,,,"1;0;3",2021-08-20,""
,7,1885,,,,,"8;0;8",2021-08-20,""
,10,1620,,,,,"1;0;4",2021-08-20,""
,10,1750,,,,,"3;0;12",2021-08-20,""
,10,1798,,,,,"11;0;23",2021-08-20,"pv"
,10,1800,,,,,"2;1;3",2021-08-20,""
,10,1889,,,,,"3;6;12",2021-08-20,"pv; one stem snapped"
,16,1814,,,,,"1;0;1",2021-08-20,""
,17,1832,,,,,"11;1;36",2021-08-20,""
,20,1643,,,,,"2;1;4",2021-08-20,""
,23,1563,,,,,"1;0;1",2021-08-20,"is new (purple)"
,23,1691,,,,,"2;0;4",2021-08-20,""
,23,1707,,,,,"1;0;2",2021-08-20,""
,25,1541,,,,,"NA;NA;NA",2021-08-16,"should be 1843?"
,29,1657,,,,,"1;0;1",2021-08-20,""
,29,1676,,,,,"2;3;3",2021-08-20,""
,32,1680,,,,,"NA;NA;NA",2021-08-20,"grazed"
,34,1774,,,,,"NA;NA;NA",2021-08-20,"grazed"
,37,1794,,,,,"2;0;4",2021-08-20,"bud"
,38,1570,,,,,"1;1;0",2021-08-20,""
,38,1630,,,,,"NA;NA;NA",2021-08-20,"can't find"
,40,1590,,,,,"1;0;1",2021-08-20,""
,40,1699,,,,,"NA;NA;NA",2021-08-20,"can't find"
,40,1801,,,,,"NA;NA;NA",2021-08-20,""
,40,1871,,,,,"NA;NA;NA",2021-08-20,"can't find"
,42,1579,,,,,"2;0;2",2021-08-20,"done"
,44,1716,,,,,"NA;NA;NA",2021-08-20,"grazed"
,45,1883,,,,,"NA;NA;NA",2021-08-20,""
,53,1775,,,,,"2;0;5",2021-08-20,"prev was mistake"
,53,1825,,,,,"NA;NA;NA",2021-08-20,""
,55,1525,,,,,"0;0;0",2021-08-20,"pv"
,55,1655,,,,,"0;0;0",2021-08-16,"grazed"
,55,1724,,,,,"1;1;0",2021-08-20,""
,58,1553,,,,,"NA;NA;NA",2021-08-20,"grazed"
,63,1591,,,,,"1;1;0",2021-08-20,""
,63,1878,,,,,"NA;NA;NA",2021-08-20,"grazed"
,67,1904,,,,,"4;1;14",2021-08-20,""
,70,1533,,,,,"1;0;5",2021-08-20,"bud"
,71,1884,,,,,"NA;NA;NA",2021-08-20,"can't find"
,72,1627,,,,,"2;1;4",2021-08-20,""
,74,1714,,,,,"3;3;4",2021-08-20,"pv"
