"Tag","Fruit_no","Full_fruit_wt","Total_n_seeds","Full__n_seeds","All_seeds__wt","Date_counted","Notes"
1196,1,NA,NA,NA,NA,NA,NA
1016,1,NA,NA,NA,NA,NA,NA
1016,2,NA,NA,NA,NA,NA,NA
1103,1,NA,NA,NA,NA,NA,NA
1103,2,NA,NA,NA,NA,NA,NA
1103,3,NA,NA,NA,NA,NA,NA
1103,4,NA,NA,NA,NA,NA,NA
1103,5,NA,NA,NA,NA,NA,NA
1214,1,NA,NA,NA,NA,NA,NA
1214,2,NA,NA,NA,NA,NA,NA
1214,3,NA,NA,NA,NA,NA,NA
1214,4,NA,NA,NA,NA,NA,NA
1214,5,NA,NA,NA,NA,NA,NA
1214,6,NA,NA,NA,NA,NA,NA
1284,1,NA,NA,NA,NA,NA,NA
1127,1,NA,NA,NA,NA,NA,NA
1127,2,NA,NA,NA,NA,NA,NA
1060,1,NA,NA,NA,NA,NA,NA
1060,2,NA,NA,NA,NA,NA,NA
1060,3,NA,NA,NA,NA,NA,NA
1060,4,NA,NA,NA,NA,NA,NA
1248,1,NA,NA,NA,NA,NA,NA
1248,2,NA,NA,NA,NA,NA,NA
1129,1,NA,NA,NA,NA,NA,NA
1129,2,NA,NA,NA,NA,NA,NA
1129,3,NA,NA,NA,NA,NA,NA
1129,4,NA,NA,NA,NA,NA,NA
1078,4,NA,NA,NA,NA,NA,NA
1108,1,NA,NA,NA,NA,NA,NA
1019,1,NA,NA,NA,NA,NA,NA
1019,2,NA,NA,NA,NA,NA,NA
1019,3,NA,NA,NA,NA,NA,NA
1019,4,NA,NA,NA,NA,NA,NA
1019,5,NA,NA,NA,NA,NA,NA
1019,6,NA,NA,NA,NA,NA,NA
1019,7,NA,NA,NA,NA,NA,NA
1019,8,NA,NA,NA,NA,NA,NA
1019,9,NA,NA,NA,NA,NA,NA
1019,10,NA,NA,NA,NA,NA,NA
1055,1,NA,NA,NA,NA,NA,NA
1194,1,NA,NA,NA,NA,NA,NA
1194,2,NA,NA,NA,NA,NA,NA
1194,3,NA,NA,NA,NA,NA,NA
1194,4,NA,NA,NA,NA,NA,NA
1194,5,NA,NA,NA,NA,NA,NA
1194,6,NA,NA,NA,NA,NA,NA
1194,7,NA,NA,NA,NA,NA,NA
1194,8,NA,NA,NA,NA,NA,NA
1194,9,NA,NA,NA,NA,NA,NA
1194,10,NA,NA,NA,NA,NA,NA
1194,11,NA,NA,NA,NA,NA,NA
1194,12,NA,NA,NA,NA,NA,NA
1194,13,NA,NA,NA,NA,NA,NA
1194,14,NA,NA,NA,NA,NA,NA
1194,15,NA,NA,NA,NA,NA,NA
1065,1,NA,NA,NA,NA,NA,NA
1065,2,NA,NA,NA,NA,NA,NA
1145,1,NA,NA,NA,NA,NA,NA
1145,2,NA,NA,NA,NA,NA,NA
1145,3,NA,NA,NA,NA,NA,NA
1145,4,NA,NA,NA,NA,NA,NA
1145,5,NA,NA,NA,NA,NA,NA
1145,6,NA,NA,NA,NA,NA,NA
1039,1,NA,NA,NA,NA,NA,NA
1039,2,NA,NA,NA,NA,NA,NA
1039,3,NA,NA,NA,NA,NA,NA
1158,1,NA,NA,NA,NA,NA,NA
1158,2,NA,NA,NA,NA,NA,NA
1297,1,NA,NA,NA,NA,NA,NA
1297,2,NA,NA,NA,NA,NA,NA
1297,3,NA,NA,NA,NA,NA,NA
1297,4,NA,NA,NA,NA,NA,NA
1297,5,NA,NA,NA,NA,NA,NA
1297,6,NA,NA,NA,NA,NA,NA
1297,7,NA,NA,NA,NA,NA,NA
1297,8,NA,NA,NA,NA,NA,NA
1297,9,NA,NA,NA,NA,NA,NA
1291,1,NA,NA,NA,NA,NA,NA
1291,2,NA,NA,NA,NA,NA,NA
1291,3,NA,NA,NA,NA,NA,NA
1291,4,NA,NA,NA,NA,NA,NA
1289,1,NA,NA,NA,NA,NA,NA
1289,2,NA,NA,NA,NA,NA,NA
1251,1,NA,NA,NA,NA,NA,NA
1251,2,NA,NA,NA,NA,NA,NA
1251,3,NA,NA,NA,NA,NA,NA
1251,4,NA,NA,NA,NA,NA,NA
1215,1,NA,NA,NA,NA,NA,NA
1151,1,NA,NA,NA,NA,NA,NA
1151,2,NA,NA,NA,NA,NA,NA
1108,2,NA,NA,NA,NA,NA,NA
1108,3,NA,NA,NA,NA,NA,NA
1170,1,NA,NA,NA,NA,NA,NA
1170,2,NA,NA,NA,NA,NA,NA
1170,3,NA,NA,NA,NA,NA,NA
1170,4,NA,NA,NA,NA,NA,NA
1080,1,NA,NA,NA,NA,NA,NA
1186,1,NA,NA,NA,NA,NA,NA
1186,2,NA,NA,NA,NA,NA,NA
1160,1,NA,NA,NA,NA,NA,NA
1269,1,NA,NA,NA,NA,NA,NA
1269,2,NA,NA,NA,NA,NA,NA
1269,3,NA,NA,NA,NA,NA,NA
1269,4,NA,NA,NA,NA,NA,NA
1041,2,NA,NA,NA,NA,NA,NA
1041,3,NA,NA,NA,NA,NA,NA
1041,4,NA,NA,NA,NA,NA,NA
1158,3,NA,NA,NA,NA,NA,NA
1067,1,NA,NA,NA,NA,NA,NA
1067,2,NA,NA,NA,NA,NA,NA
1067,3,NA,NA,NA,NA,NA,NA
1276,1,NA,NA,NA,NA,NA,NA
1276,2,NA,NA,NA,NA,NA,NA
1276,3,NA,NA,NA,NA,NA,NA
1276,4,NA,NA,NA,NA,NA,NA
1217,1,NA,NA,NA,NA,NA,NA
1217,2,NA,NA,NA,NA,NA,NA
1217,3,NA,NA,NA,NA,NA,NA
1217,4,NA,NA,NA,NA,NA,NA
1217,5,NA,NA,NA,NA,NA,NA
1217,6,NA,NA,NA,NA,NA,NA
1217,7,NA,NA,NA,NA,NA,NA
1217,8,NA,NA,NA,NA,NA,NA
1217,9,NA,NA,NA,NA,NA,NA
1217,10,NA,NA,NA,NA,NA,NA
1199,1,NA,NA,NA,NA,NA,NA
1199,2,NA,NA,NA,NA,NA,NA
1199,3,NA,NA,NA,NA,NA,NA
1199,4,NA,NA,NA,NA,NA,NA
1199,5,NA,NA,NA,NA,NA,NA
1199,6,NA,NA,NA,NA,NA,NA
1199,7,NA,NA,NA,NA,NA,NA
