"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_note"
,6,1561,,,,,"1;1;0","3pv"
,6,1561,,,,,"2;1;1","pv"
,6,1669,,,,,"1;1;0",""
,6,1669,,,,,"1;0;1","pv"
,6,1818,,,,,"2;1;1",""
,6,1848,,,,,"0;0;0","pv"
,6,1903,,,,,"0;0;0","pv"
,7,1625,,,,,"0;0;0","pv"
,7,1625,,,,,"1;1;0",""
,7,1730,,,,,"0;0;0","pv"
,7,1822,,,,,"1;1;0",""
,7,1870,,,,,"0;0;0","pv"
,7,1888,,,,,"1;1;0","pv"
,7,1891,,,,,"0;0;0","pv; is furthest N in plot"
,17,1626,,,,,"0;0;0","pv"
,17,1626,,,,,"1;0;1",""
,17,1746,,,,,"0;0;0","3pv"
,17,1746,,,,,"3;2;1","pv"
,17,1832,,,,,"0;0;0","pv"
,26,1901,,,,,"0;0;0","pv"
,37,1780,,,,,"1;1;0","pv"
,37,1780,,,,,"2;0;2",""
,37,1900,,,,,"1;1;0","pv"
,53,1856,,,,,"0;0;0","2pv"
,53,1882,,,,,"2;2;0",""
,53,1906,,,,,"0;0;0","4pv"
,53,1907,,,,,"1;1;0","pv"
,53,1910,,,,,"0;0;0","2pv"
,67,1904,,,,,"0;0;0","3pv"
,71,1779,,,,,"0;0;0","2pv"
,71,1779,,,,,"2;1;1",""
,71,1809,,,,,"2;2;0","was prev untagged pv"
,71,1809,,,,,"2;0;2",""
,71,1839,,,,,"0;0;0","2pv"
,71,1902,,,,,"0;0;0","pv"
,71,1909,,,,,"1;1;0",""
,73,1720,,,,,"1;1;0","do not include S neighbors"
,73,1720,,,,,"3;2;1",""
,73,1810,,,,,"0;0;0","pv"
,73,1810,,,,,"1;1;0","mid-shriv"
,74,1895,,,,,"0;0;0","pv"
,74,1905,,,,,"2;1;1","pv"
,82,1825,,,,,"0;0;0","pv"
