"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,2,1785,,,,,"2;4;5",2021-08-23,""
,7,1885,,,,,"9;0;10",2021-08-23,"prev missed? White and not new"
,10,1750,,,,,"3;1;12",2021-08-23,""
,10,1798,,,,,"9;0;23",2021-08-23,""
,10,1800,,,,,"2;0;4",2021-08-23,""
,10,1889,,,,,"3;5;18",2021-08-23,""
,16,1814,,,,,"1;0;1",2021-08-23,"pv"
,17,1685,,,,,"0;0;0",2021-08-23,"pv"
,17,1832,,,,,"11;1;37",2021-08-23,""
,20,1643,,,,,"2;1;4",2021-08-23,""
,25,1541,,,,,"NA;NA;NA",2021-08-16,"should be 1843?"
,29,1676,,,,,"2;2;4",2021-08-23,""
,32,1680,,,,,"0;0;0",2021-08-23,""
,34,1774,,,,,"0;0;0",2021-08-23,""
,37,1794,,,,,"2;0;4",2021-08-23,""
,38,1570,,,,,"1;1;0",2021-08-23,""
,38,1630,,,,,"NA;NA;NA",2021-08-20,"can't find"
,44,1716,,,,,"0;0;0",2021-08-23,""
,53,1825,,,,,"NA;NA;NA",2021-08-20,""
,55,1525,,,,,"0;0;0",2021-08-23,"grazed"
,55,1724,,,,,"1;0;1",2021-08-23,""
,58,1553,,,,,"0;0;0",2021-08-23,""
,63,1591,,,,,"1;1;0",2021-08-20,""
,67,1904,,,,,"4;1;14",2021-08-23,""
,70,1533,,,,,"1;0;5",2021-08-23,"bud"
,72,1627,,,,,"2;0;4",2021-08-23,"pv; not seeing fifth"
,74,1714,,,,,"3;2;5",2021-08-23,"pv"
