"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
2,1011,"r",,,,,"done",2021-07-12,"1;0;1","",""
2,1160,"x",,,,,,2021-07-12,"1;0;1","",""
2,1291,"wg",,,,,,2021-07-12,"2;0;6","",""
4,1186,"w",,,,,"done",2021-07-12,"1;0;2","",""
5,1159,"wb",,,,,"done",2021-07-08,"2;0;5","",""
6,1138,"w",,,,,"done",2021-07-08,"0;0;0","","grazed"
6,1152,"",,,,,"done",2021-07-12,"2;0;11","",""
6,1300,"r",,,,,"done",2021-07-08,"0;0;0","","grazed"
7,1136,"",,,,,"done",2021-07-08,"1;0;5","",""
7,1144,"",,,,,"done",2021-07-08,"1;0;3","",""
7,1198,"yw",,,,,"done",2021-07-08,"1;0;6","",""
8,1153,"o",,,,,"done",2021-07-12,"1;0;7","",""
8,1168,"b",,,,,"done",2021-07-08,"1;0;1","",""
8,1201,"gg",,,,,"done",2021-07-08,"1;0;1","",""
8,1205,"",,,,,,2021-07-12,"2;0;7","i","was 2 st. previously"
8,1288,"gg",,,,,,2021-07-12,"1;0;9","",""
9,1049,"w",,,,,,2021-07-12,"2;0;17","",""
9,1218,"y",,,,,,2021-07-12,"1;1;7","",""
9,1316,"",,,,,,2021-07-12,"1;3;7","",""
10,1217,"",,,,,,2021-07-12,"2;0;12","i","second stem likely missed before (2;0;12)"
20,1196,"",,,,,,2021-07-12,"1;0;1","",""
21,1172,"w",,,,,,2021-07-12,"2;0;8","",""
24,1192,"b",,,,,,2021-07-12,"1;0;2","",""
25,1083,"yw",,,,,,2021-07-12,"2;6;0","",""
27,1202,"o",,,,,"done",2021-07-08,"1;0;4","",""
28,1158,"",,,,,"done",2021-07-08,"1;0;3","",""
28,1286,"w",,,,,"done",2021-07-12,"2;0;14","",""
34,1124,"",,,,,"done",2021-07-12,"1;0;5","",""
36,1051,"y",,,,,"done",2021-07-08,"1;0;2","",""
37,1082,"b",,,,,"done",2021-07-12,"1;0;1","",""
37,1190,"",,,,,"done",2021-07-08,"2;0;8","",""
37,1310,"",,,,,"done",2021-07-08,"1;0;1","",""
37,1312,"",,,,,"done",2021-07-08,"1;0;8","","incl. an empty calyx"
38,1224,"bo",,,,,,2021-07-12,"1;0;9","",""
57,1057,"ww",,,,,"done",2021-07-12,"1;0;3","",""
57,1251,"y",,,,,,2021-07-12,"1;1;4","",""
58,1080,"ww",,,,,"done",2021-07-08,"1;0;2","",""
