"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,1,1725,,,,,"1;0;2",2021-08-16,""
,2,1785,,,,,"2;2;2",2021-08-16,"pv"
,2,1803,,,,,"3;0;5",2021-08-16,""
,3,1537,,,,,"1;1;0",2021-08-16,""
,5,1879,,,,,"2;0;2",2021-08-16,""
,6,1561,,,,,"3;1;10",2021-08-16,""
,7,1673,,,,,"1;2;1",2021-08-16,""
,7,1843,,,,,"NA;NA;NA",2021-08-16,"plot 25?"
,7,1870,,,,,"5;0;7",2021-08-16,""
,7,1885,,,,,"9;1;9",2021-08-16,""
,10,1620,,,,,"1;1;3",2021-08-16,""
,10,1750,,,,,"3;2;10",2021-08-16,""
,10,1798,,,,,"10;3;21",2021-08-16,""
,10,1800,,,,,"1;0;3",2021-08-16,"pv"
,10,1889,,,,,"3;1;13",2021-08-16,"2pv"
,16,1814,,,,,"1;0;1",2021-08-16,"bud"
,17,1832,,,,,"11;1;40",2021-08-16,"pv"
,20,1643,,,,,"2;2;2",2021-08-16,"pv"
,23,1549,,,,,"1;0;3",2021-08-16,""
,23,1691,,,,,"2;2;2",2021-08-16,""
,23,1707,,,,,"1;1;1",2021-08-16,""
,25,1541,,,,,"NA;NA;NA",2021-08-16,"should be 1843?"
,28,1758,,,,,"1;0;1",2021-08-16,""
,29,1657,,,,,"1;1;0",2021-08-16,""
,29,1676,,,,,"2;2;2",2021-08-16,"2pv"
,30,1605,,,,,"1;1;0",2021-08-12,""
,32,1680,,,,,"1;1;0",2021-08-12,"bud"
,34,1569,,,,,"1;0;2",2021-08-16,""
,34,1774,,,,,"1;0;2",2021-08-16,""
,37,1794,,,,,"2;0;4",2021-08-16,"bud"
,38,1570,,,,,"0;0;0",2021-08-16,"pv"
,38,1630,,,,,"2;1;7",2021-08-12,""
,38,1808,,,,,"1;0;2",2021-08-16,""
,40,1590,,,,,"1;1;0",2021-08-16,"new tag; was 1801 now 1590"
,40,1699,,,,,"1;1;0",2021-08-12,""
,40,1801,,,,,"0;0;0",2021-08-12,"pv"
,40,1871,,,,,"1;1;0",2021-08-12,""
,42,1579,,,,,"NA;NA;NA",2021-08-16,""
,44,1716,,,,,"0;0;0",2021-08-16,"pv"
,45,1883,,,,,"3;0;26",2021-08-16,"uprooted and done"
,53,1682,,,,,"3;0;4",2021-08-16,""
,53,1772,,,,,"1;0;1",2021-08-16,""
,53,1775,,,,,"1;0;3",2021-08-16,"one stem grazed"
,53,1825,,,,,"2;1;1",2021-08-12,"dupe tag?"
,53,1826,,,,,"2;0;2",2021-08-16,"tag is 1826 (was mistakenly written as 1825)"
,53,1882,,,,,"2;0;4",2021-08-16,""
,55,1525,,,,,"0;0;0",2021-08-16,"grazed; pv"
,55,1655,,,,,"0;0;0",2021-08-16,"grazed"
,55,1724,,,,,"0;0;0",2021-08-16,"pv"
,57,1580,,,,,"1;0;1",2021-08-16,""
,58,1553,,,,,"2;0;3",2021-08-16,""
,63,1591,,,,,"1;1;0",2021-08-16,""
,63,1878,,,,,"1;0;1",2021-08-16,""
,67,1904,,,,,"4;1;13",2021-08-16,"pv"
,70,1533,,,,,"1;2;4",2021-08-16,"old pla new tag; look for 104 and merge"
,70,1841,,,,,"1;0;2",2021-08-16,""
,71,1884,,,,,"1;1;0",2021-08-12,""
,72,1627,,,,,"2;1;2",2021-08-16,"pv"
,74,1714,,,,,"3;1;4",2021-08-16,"pv"
