"Tag","Harvest_Date","Plot","Fruit_Pres","Fruit_Coll","Last_Date","Last_Info","Last_Note","Harvest_Note"
1160,,2,,,"7/15/21","1:1","",
1011,,2,,,"7/12/21","1:1","",
1291,,2,,,"7/15/21","2:6","",
1186,,4,,,"7/12/21","1:2","",
1159,,5,,,"7/8/21","2:5","",
1152,,6,,,"7/12/21","2:11","",
1198,,7,,,"7/8/21","1:6","",
1136,,7,,,"7/8/21","1:5","",
1144,,7,,,"7/8/21","1:3","",
1153,,8,,,"7/12/21","1:7","",
1288,,8,,,"7/15/21","1:9","",
1201,,8,,,"7/8/21","1:1","",
1205,,8,,,"7/15/21","2:6","",
1168,,8,,,"7/8/21","1:1","",
1217,,10,,,"7/15/21","2:12","",
1196,,20,,,"7/15/21","1:1","",
1172,,21,,,"7/15/21","2:6","",
1192,,24,,,"7/15/21","1:1","",
1202,,27,,,"7/8/21","1:4","",
1286,,28,,,"7/12/21","2:14","",
1158,,28,,,"7/8/21","1:3","",
1124,,34,,,"7/12/21","1:5","",
1051,,36,,,"7/8/21","1:2","",
1310,,37,,,"7/8/21","1:1","",
1082,,37,,,"7/12/21","1:1","",
1312,,37,,,"7/8/21","1:8","incl. an empty calyx",
1190,,37,,,"7/8/21","2:8","",
1224,,38,,,"7/15/21","1:9","",
1057,,57,,,"7/12/21","1:3","",
1080,,58,,,"7/8/21","1:2","",
1188,,58,,,"7/15/21","1:4","",
1147,,59,,,"7/8/21","1:6","",
1055,,59,,,"7/8/21","1:1","",
1301,,59,,,"7/8/21","2:25","",
1199,,59,,,"7/12/21","1:9","",
1249,,60,,,"7/15/21","1:6","",
1100,,60,,,"7/8/21","1:1","",
1031,,62,,,"7/8/21","1:2","",
1060,,62,,,"7/12/21","1:8","",
1040,,62,,,"7/8/21","1:4","",
1084,,62,,,"7/8/21","2:10","",
1151,,62,,,"7/8/21","1:5","",
1070,,62,,,"7/15/21","1:11","",
1276,,62,,,"7/12/21","2:10","incl empty calyx",
1220,,62,,,"7/15/21","4:26","",
1306,,66,,,"7/15/21","1:1","",
1269,,66,,,"7/15/21","1:8","uncounted dud",
1248,,70,,,"7/15/21","1:10","puny fruit",
1032,,70,,,"7/12/21","2:5","two damaged won't fruit",
1106,,71,,,"7/12/21","2:11","",
1050,,71,,,"7/8/21","2:4","",
1078,,71,,,"7/8/21","1:4","",
1016,,71,,,"7/12/21","1:2","",
1041,,71,,,"7/8/21","2:5","",
1308,,71,,,"7/8/21","1:7","",
1289,,71,,,"7/8/21","1:4","",
1052,,71,,,"7/8/21","1:6","",
1067,,73,,,"7/15/21","1:9","",
1103,,73,,,"7/12/21","3:16","",
1108,,73,,,"7/8/21","1:4","",
1039,,73,,,"7/8/21","1:5","",
1088,,74,,,"7/15/21","1:8","",
1122,,74,,,"7/12/21","1:10","",
1056,,74,,,"7/8/21","1:6","",
1007,,74,,,"7/12/21","1:9","",
1021,,74,,,"7/8/21","1:5","",
1009,,74,,,"7/12/21","2:11","",
1033,,74,,,"7/8/21","1:3","",
1131,,74,,,"7/15/21","2:11","",
1079,,75,,,"7/15/21","1:11","",
1174,,75,,,"7/15/21","1:2","stem broken",
1284,,76,,,"7/8/21","1:3","",
1206,,76,,,"7/15/21","2:8","",
1077,,76,,,"7/12/21","0:0","",
1119,,76,,,"7/12/21","1:3","",
1094,,76,,,"7/8/21","1:2","",
1125,,76,,,"7/15/21","1:2","",
1013,,76,,,"7/15/21","1:6","",
1283,,79,,,"7/8/21","1:3","",
