"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,1,1725,,,,,"1;0;1",2021-08-05,"bud"
,1,1797,,,,,"2;2;0",2021-08-05,""
,2,1564,,,,,"1;1;0",2021-08-05,"2pv"
,2,1753,,,,,"1;1;0",2021-08-05,""
,2,1803,,,,,"3;1;2",2021-08-05,"pv"
,3,1665,,,,,"1;0;1",2021-08-05,""
,3,1835,,,,,"1;0;1",2021-08-05,"pv"
,5,1879,,,,,"0;0;0",2021-08-05,"pv"
,6,1561,,,,,"3;1;9",2021-08-05,""
,6,1585,,,,,"1;0;1",2021-08-05,"pv"
,6,1669,,,,,"0;0;0",2021-07-22,"grazed"
,6,1802,,,,,"1;1;0",2021-08-05,""
,6,1818,,,,,"2;1;5",2021-08-05,""
,6,1848,,,,,"3;0;4",2021-08-05,""
,6,1894,,,,,"1;0;4",2021-08-05,""
,6,1903,,,,,"2;1;2",2021-08-05,""
,7,1625,,,,,"NA;NA;NA",2021-08-05,""
,7,1673,,,,,"1;1;0",2021-08-05,"is plot 7; bud"
,7,1822,,,,,"1;1;2",2021-08-05,""
,7,1864,,,,,"2;1;2",2021-07-29,""
,7,1870,,,,,"4;0;4",2021-08-05,"2pv"
,7,1885,,,,,"6;1;5",2021-08-05,""
,7,1888,,,,,"2;2;2",2021-08-05,""
,7,1891,,,,,"1;1;1",2021-08-05,"pv"
,10,1620,,,,,"2;1;3",2021-08-05,""
,10,1727,,,,,"1;0;1",2021-08-05,""
,10,1750,,,,,"3;2;1",2021-08-05,"3pv"
,10,1798,,,,,"9;5;5",2021-08-05,""
,10,1800,,,,,"1;0;1",2021-08-05,"pv"
,10,1889,,,,,"3;3;2",2021-08-05,"3pv"
,17,1626,,,,,"1;1;1",2021-08-05,"pv"
,17,1746,,,,,"4;1;10",2021-08-05,"pv"
,17,1832,,,,,"11;3;23",2021-08-05,"pv"
,20,1643,,,,,"2;2;0",2021-08-05,""
,23,1507,,,,,"1;0;1",2021-08-05,"pv"
,23,1549,,,,,"1;0;1",2021-08-05,"pv"
,23,1691,,,,,"1;1;0",2021-08-05,"bud"
,23,1707,,,,,"1;1;0",2021-08-05,""
,25,1689,,,,,"1;1;0",2021-08-05,"pv"
,25,1867,,,,,"1;1;0",2021-08-05,""
,26,1901,,,,,"0;0;0",2021-07-19,"pv"
,28,1660,,,,,"1;1;0",2021-08-05,"possibly 1721"
,28,1721,,,,,"1;1;0",2021-08-05,""
,29,1676,,,,,"1;1;0",2021-08-05,"pv"
,34,1569,,,,,"1;0;1",2021-08-05,"bud"
,34,1663,,,,,"0;0;0",2021-08-05,"pv"
,34,1774,,,,,"0;0;0",2021-08-05,"pv"
,37,1794,,,,,"2;3;1",2021-08-05,""
,38,1502,,,,,"NA;NA;NA",2021-08-05,"can't find"
,38,1630,,,,,"2;3;2",2021-08-05,"one stem grazed"
,38,1678,,,,,"1;1;0",2021-08-05,""
,38,1808,,,,,"1;1;0",2021-08-05,""
,38,1855,,,,,"1;1;0",2021-08-05,"on edge; possibly previously missed"
,42,1579,,,,,"3;0;3",2021-08-05,"new tag; was 1858 now is 1579"
,42,1709,,,,,"0;0;0",2021-07-29,"pv"
,42,1793,,,,,"1;1;0",2021-07-29,"pv"
,42,1845,,,,,"0;0;0",2021-08-02,"pv"
,42,1858,,,,,"3;0;3",2021-08-02,"pv"
,45,1883,,,,,"3;4;7",2021-08-05,""
,53,1682,,,,,"1;1;0",2021-08-05,"pv"
,53,1732,,,,,"2;2;0",2021-08-02,"buds"
,53,1775,,,,,"2;1;1",2021-08-05,"new tag; was 1732 now 1775; pv"
,53,1860,,,,,"NA;NA;NA",2021-08-05,"can't find"
,53,1882,,,,,"2;0;2",2021-08-05,""
,53,1892,,,,,"NA;NA;NA",2021-08-05,"can't find"
,54,1824,,,,,"0;0;0",2021-08-05,"pv"
,57,1530,,,,,"0;0;0",2021-08-02,"grazed"
,57,1789,,,,,"0;0;0",2021-08-02,"pv"
,58,1553,,,,,"2;2;0",2021-08-05,""
,58,1639,,,,,"NA;NA;NA",2021-08-05,"can't find"
,63,1812,,,,,"0;0;0",2021-08-05,"pv"
,67,1904,,,,,"4;3;4",2021-08-05,"2pv"
,70,1589,,,,,"2;1;1",2021-08-05,"pv"
,70,1594,,,,,"NA;NA;NA",2021-08-05,"can't find"
,70,1841,,,,,"1;0;1",2021-08-05,"pv"
,71,1708,,,,,"NA;NA;NA",2021-08-05,"can't find"
,71,1712,,,,,"1;1;0",2021-08-05,""
,71,1768,,,,,"2;2;0",2021-08-05,""
,71,1807,,,,,"2;1;2",2021-08-05,""
,71,1809,,,,,"2;1;2",2021-08-05,"pv"
,71,1839,,,,,"NA;NA;NA",2021-08-05,"can't find"
,72,1506,,,,,"1;1;0",2021-08-05,""
,72,1627,,,,,"0;0;0",2021-08-05,"2pv"
,72,1696,,,,,"0;0;0",2021-08-05,"pv; two grazed stems"
,74,1714,,,,,"1;0;3",2021-08-05,"bud"
,74,1905,,,,,"1;1;2",2021-08-05,""
,79,1614,,,,,"1;1;0",2021-08-05,""
,79,1684,,,,,"NA;NA;NA",2021-08-05,"can't find"
,82,1604,,,,,"3;1;2",2021-08-05,""
,82,1742,,,,,"2;1;2",2021-08-05,""
,82,1806,,,,,"4;1;3",2021-08-05,""
,82,1825,,,,,"1;2;3",2021-08-05,""
