"Tag","Harvest_Date","Plot","Fruit_Pres","Fruit_Coll","Last_Date","Last_Info","Last_Note","Harvest_Note"
1291,,2,,,"7/15/21","2:6","",
1186,,4,,,"7/12/21","1:2","",
1049,,9,,,"7/19/21","2:13","",
1316,,9,,,"7/19/21","1:10","",
1196,,20,,,"7/15/21","1:1","",
1124,,34,,,"7/12/21","1:5","",
1251,,57,,,"7/19/21","1:4","",
1178,,60,,,"7/19/21","1:1","",
1274,,60,,,"7/19/21","1:4","",
1068,,62,,,"7/15/21","1:3","",
1126,,62,,,"7/12/21","1:4","",
1150,,62,,,"7/15/21","2:10","",
1194,,62,,,"7/12/21","3:20","",
1019,,71,,,"7/15/21","2:10","",
1069,,73,,,"7/19/21","1:2","",
1043,,74,,,"7/12/21","1:8","",
1071,,74,,,"7/12/21","2:15","",
1073,,74,,,"7/19/21","1:8","",
1233,,74,,,"7/12/21","4:18","",
1240,,74,,,"7/19/21","1:7","",
