"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Last_date","Old_info","Old_q","Old_note"
74,1056,"ry",,,,,"6/24/21","2;6;1","","2 uncounted look like duds"
74,1058,"wg",,,,,"6/24/21","1;5;2","q","tp may be go"
74,1071,"by",,,,,"6/24/21","2;14;1","",""
74,1073,"oo",,,,,"6/24/21","0;0;0","","yv"
74,1088,"wwb",,,,,"6/24/21","0;0;0","","yv"
74,1113,"bo",,,,,"6/24/21","1;3;0","",""
74,1122,"",,,,,"6/24/21","1;6;4","",""
74,1129,"bwo",,,,,"6/24/21","1;5;0","",""
74,1131,"",,,,,"6/24/21","2;10;2","",""
74,1200,"wwg",,,,,"6/24/21","1;5;0","",""
74,1223,"rob",,,,,"6/24/21","1;6;4","",""
74,1227,"",,,,,"6/24/21","1;3;0","","yv"
74,1233,"www",,,,,"6/24/21","4;19;0","",""
74,1258,"ro",,,,,"6/24/21","1;5;1","",""
74,1297,"ww",,,,,"6/24/21","2;15;1","",""
75,1079,"b",,,,,"6/24/21","0;0;0","","yv"
76,1010,"rr",,,,,"6/24/21","0;0;0","","yv"
76,1013,"b",,,,,"6/24/21","1;3;0","","yv"
76,1077,"bo",,,,,"6/24/21","0;0;0","",""
76,1094,"ww",,,,,"6/24/21","1;2;0","",""
76,1119,"rg",,,,,"6/24/21","1;1;0","q","two tps? Rg and g; is rgg?"
76,1284,"wb",,,,,"6/24/21","1;4;0","",""
79,1283,"bo",,,,,"6/24/21","1;3;0","",""
