"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
2,1011,"r",,,,,,"7/1/21","1;3;0","",""
2,1160,"x",,,,,,"7/1/21","0;0;0","","yv"
4,1186,"w",,,,,,"7/1/21","1;3;0","",""
5,1159,"wb",,,,,,"7/1/21","2;5;0","",""
6,1128,"",,,,,"done","6/28/21","1;0;3","",""
6,1165,"ww",,,,,"done","7/1/21","1;0;2","",""
6,1211,"",,,,,"done","6/28/21","1;0;4","",""
6,1138,"w",,,,,,"7/1/21","1;2;1","",""
6,1149,"gw",,,,,,"7/1/21","0;0;0","",""
6,1152,"",,,,,,"7/1/21","1;6;6","","yv"
6,1300,"r",,,,,,"7/1/21","1;1;4","",""
7,1136,"",,,,,,"7/1/21","1;4;1","",""
7,1144,"",,,,,,"7/1/21","1;3;4","","broke off one counted done fl"
7,1198,"yw",,,,,,"7/1/21","1;4;1","",""
7,1210,"",,,,,,"7/1/21","1;0;1","","damaged"
8,1139,"",,,,,"done","6/28/21","1;0;2","",""
8,1143,"",,,,,"done","6/28/21","1;0;2","",""
8,1157,"",,,,,"done","6/28/21","1;0;1","",""
8,1313,"",,,,,"done","6/28/21","1;0;2","",""
8,1153,"o",,,,,,"7/1/21","1;8;0","",""
8,1168,"b",,,,,,"7/1/21","1;1;0","",""
8,1201,"gg",,,,,,"7/1/21","1;1;0","",""
8,1205,"",,,,,,"7/1/21","2;7;0","",""
8,1307,"wro",,,,,,"7/1/21","1;0;7","i",""
9,1049,"w",,,,,,"7/1/21","1;7;0","",""
9,1218,"y",,,,,,"7/1/21","1;3;0","",""
9,1316,"",,,,,,"7/1/21","1;1;0","",""
10,1217,"",,,,,,"7/1/21","2;12;1","",""
20,1196,"",,,,,,"7/1/21","0;0;0","","yv"
21,1172,"w",,,,,,"7/1/21","2;8;0","",""
24,1192,"b",,,,,,"7/1/21","1;2;0","",""
27,1202,"o",,,,,,"7/1/21","1;5;0","",""
28,1158,"",,,,,,"7/1/21","1;3;0","",""
28,1286,"w",,,,,,"7/1/21","2;13;0","",""
34,1124,"",,,,,,"7/1/21","1;7;0","",""
36,1051,"y",,,,,,"7/1/21","1;2;0","",""
37,1140,"",,,,,"done","6/28/21","1;0;2","",""
37,1148,"rg",,,,,"done","6/28/21","0;0;0","",""
37,1185,"",,,,,"done","6/28/21","0;0;0","",""
37,1082,"b",,,,,,"7/1/21","0;0;0","","yv"
37,1137,"",,,,,,"7/1/21","1;0;12","",""
37,1190,"",,,,,,"7/1/21","1;2;6","",""
37,1310,"",,,,,,"7/1/21","1;1;0","",""
37,1312,"",,,,,,"7/1/21","1;2;8","",""
38,1224,"bo",,,,,,"7/1/21","1;6;0","",""
57,1057,"ww",,,,,,"7/1/21","1;2;0","",""
57,1251,"y",,,,,,"7/1/21","1;1;0","",""
58,1080,"ww",,,,,,"7/1/21","1;2;0","",""
58,1188,"w",,,,,,"7/1/21","1;1;0","",""
59,1025,"w",,,,,"done","6/28/21","0;0;0","",""
59,1055,"y",,,,,,"7/1/21","1;2;0","",""
59,1142,"ww",,,,,,"7/1/21","1;0;7","",""
59,1145,"b",,,,,,"7/1/21","2;0;8","",""
59,1147,"o",,,,,,"7/1/21","1;2;4","",""
59,1199,"r",,,,,,"7/1/21","1;9;1","",""
59,1301,"g",,,,,,"7/1/21","2;17;6","",""
60,1100,"go",,,,,,"7/1/21","1;1;0","",""
