"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
9,1049,"w",,,,,,2021-07-15,"2;0;18",,""
9,1218,"y",,,,,,2021-07-15,"1;1;4",,""
9,1316,"",,,,,,2021-07-15,"1;0;10",,""
25,1083,"yw",,,,,,2021-07-15,"2;6;2",,""
57,1251,"y",,,,,,2021-07-15,"1;0;5",,""
60,1178,"wg",,,,,,2021-07-15,"1;0;1",,""
60,1215,"www",,,,,,2021-07-15,"1;1;0",,""
60,1274,"wo",,,,,,2021-07-15,"1;0;4",,""
70,1095,"w",,,,,,2021-07-15,"1;3;4",,""
73,1069,"yg",,,,,,2021-07-15,"1;0;2",,""
74,1058,"wg",,,,,,2021-07-12,"NA;NA;NA","",""
74,1073,"oo",,,,,,2021-07-15,"1;0;8",,""
74,1240,"r",,,,,,2021-07-15,"1;0;7",,""
74,1281,"x",,,,,,2021-07-12,"NA;NA;NA","",""
