"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,2,1785,,,,,"2;0;10",2021-08-26,""
,10,1750,,,,,"3;0;13",2021-08-26,"pv"
,10,1889,,,,,"4;2;21",2021-08-26,"saw fl open afternoon of 8/23"
,16,1814,,,,,"2;1;1",2021-08-26,""
,17,1685,,,,,"1;1;0",2021-08-26,""
,17,1832,,,,,"11;0;38",2021-08-26,""
,20,1643,,,,,"2;0;5",2021-08-26,""
,21,1681,,,,,"1;1;0",2021-08-26,""
,29,1676,,,,,"2;2;4",2021-08-26,""
,38,1570,,,,,"1;0;1",2021-08-26,""
,38,1630,,,,,"1;0;3",2021-08-26,""
,53,1825,,,,,"NA;NA;NA",2021-08-20,""
,55,1525,,,,,"NA;NA;NA",2021-08-26,""
,55,1536,,,,,"1;1;0",2021-08-26,""
,63,1591,,,,,"1;0;1",2021-08-26,""
,67,1904,,,,,"4;0;15",2021-08-26,""
,70,1533,,,,,"1;0;5",2021-08-26,""
,72,1627,,,,,"2;1;4",2021-08-26,""
,74,1714,,,,,"3;1;7",2021-08-26,""
