"Date","Plot","Tag","Fl_stems","Fl_open","Fl_done","Q","Prev","Prev_date","Prev_note"
,1,1725,,,,,"1;1;1",2021-08-12,""
,2,1564,,,,,"3;0;3",2021-08-12,""
,2,1785,,,,,"2;2;0",2021-08-12,"2pv"
,2,1803,,,,,"3;1;4",2021-08-12,""
,3,1835,,,,,"1;0;2",2021-08-12,""
,5,1879,,,,,"2;1;1",2021-08-12,""
,6,1561,,,,,"2;0;10",2021-08-12,""
,6,1585,,,,,"2;0;4",2021-08-12,""
,6,1818,,,,,"2;0;7",2021-08-12,""
,7,1673,,,,,"1;0;1",2021-08-12,"pv"
,7,1843,,,,,"2;0;3",2021-08-12,""
,7,1870,,,,,"4;0;5",2021-08-12,""
,7,1885,,,,,"9;1;8",2021-08-12,"pv"
,7,1888,,,,,"2;0;4",2021-08-12,""
,7,1891,,,,,"2;0;3",2021-08-12,""
,10,1620,,,,,"1;1;3",2021-08-12,""
,10,1750,,,,,"3;5;5",2021-08-12,"pv"
,10,1798,,,,,"10;7;13",2021-08-12,"2pv"
,10,1800,,,,,"1;2;1",2021-08-12,""
,10,1889,,,,,"3;3;11",2021-08-12,""
,16,1638,,,,,"1;0;1",2021-08-12,""
,16,1814,,,,,"1;1;0",2021-08-12,"bud"
,17,1626,,,,,"2;0;3",2021-08-12,""
,17,1746,,,,,"4;0;12",2021-08-12,""
,17,1832,,,,,"12;2;38",2021-08-12,""
,20,1643,,,,,"2;0;2",2021-08-12,"pv"
,23,1507,,,,,"1;0;3",2021-08-12,""
,23,1549,,,,,"2;1;1",2021-08-12,"pv"
,23,1691,,,,,"1;1;1",2021-08-12,"B. sylv visit; 2pv"
,25,1541,,,,,"1;0;1",2021-08-12,""
,25,1689,,,,,"2;0;2",2021-08-12,""
,25,1867,,,,,"1;0;1",2021-08-12,""
,28,1660,,,,,"1;0;1",2021-08-12,""
,28,1721,,,,,"1;0;1",2021-08-12,""
,28,1758,,,,,"1;1;0",2021-08-12,""
,29,1657,,,,,"1;1;0",2021-08-12,""
,29,1676,,,,,"2;1;1",2021-08-12,"2pv"
,30,1605,,,,,"1;1;0",2021-08-12,""
,32,1680,,,,,"1;1;0",2021-08-12,"bud"
,34,1569,,,,,"1;1;1",2021-08-12,""
,34,1663,,,,,"1;0;1",2021-08-12,""
,34,1774,,,,,"1;1;0",2021-08-12,"pv"
,35,1710,,,,,"1;0;1",2021-08-12,""
,37,1794,,,,,"2;0;4",2021-08-12,"bud"
,38,1630,,,,,"2;1;7",2021-08-12,""
,38,1808,,,,,"1;1;1",2021-08-12,""
,40,1699,,,,,"1;1;0",2021-08-12,""
,40,1801,,,,,"0;0;0",2021-08-12,"pv"
,40,1871,,,,,"1;1;0",2021-08-12,""
,42,1579,,,,,"2;0;2",2021-08-12,"two fruit appear aborted"
,45,1883,,,,,"4;4;24",2021-08-12,"pv"
,53,1682,,,,,"3;1;3",2021-08-12,""
,53,1772,,,,,"1;1;0",2021-08-12,"possibly prev. uprooted pla w/ new tag added; exclude from start analysis"
,53,1775,,,,,"2;2;3",2021-08-12,""
,53,1825,,,,,"2;1;1",2021-08-12,"dupe tag?"
,53,1882,,,,,"2;2;2",2021-08-12,""
,54,1824,,,,,"NA;NA;NA",2021-08-12,"can't find"
,55,1525,,,,,"2;2;0",2021-08-12,""
,55,1655,,,,,"0;0;0",2021-08-12,"pv"
,57,1580,,,,,"1;1;0",2021-08-12,""
,58,1553,,,,,"2;1;1",2021-08-12,""
,61,1548,,,,,"1;0;1",2021-08-12,""
,63,1878,,,,,"1;1;0",2021-08-12,""
,67,1904,,,,,"4;2;11",2021-08-12,""
,70,1589,,,,,"3;0;4",2021-08-12,""
,70,1841,,,,,"1;1;1",2021-08-12,""
,71,1637,,,,,"1;0;3",2021-08-12,""
,71,1768,,,,,"2;0;2",2021-08-12,""
,71,1809,,,,,"NA;NA;NA",2021-08-12,"can't find"
,71,1884,,,,,"1;1;0",2021-08-12,""
,72,1627,,,,,"3;1;2",2021-08-12,""
,72,1696,,,,,"1;0;1",2021-08-12,""
,74,1714,,,,,"2;1;3",2021-08-12,"2pv"
